# 20251205_144541
# primespec:	data/AuAu200_cc_(0,5)/primaryspec/spec_20251205_143618_048/spectr.txt
# qmax:	4
# ma:	0.56
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.242487
# [=>] Eabc:	0.28
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1203.95
0.0204082,1207.8
0.0408163,1226.17
0.0612245,1252.09
0.0816327,1287.22
0.102041,1335.49
0.122449,1389.5
0.142857,1435.8
0.163265,1446.02
0.183673,1415.81
0.204082,1328.81
0.22449,1195.34
0.244898,1004.93
0.265306,786.16
0.285714,599.798
0.306122,461.114
0.326531,345.08
0.346939,257.767
0.367347,194.581
0.387755,145.32
0.408163,111.593
0.428571,86.5116
0.44898,68.1745
0.469388,54.8963
0.489796,43.9741
0.510204,36.1737
0.530612,29.6302
0.55102,24.767
0.571429,21.0335
0.591837,17.6532
0.612245,15.3486
0.632653,13.049
0.653061,11.3298
0.673469,9.71344
0.693878,8.3195
0.714286,7.20866
0.734694,6.18561
0.755102,5.51091
0.77551,4.86352
0.795918,4.39405
0.816327,3.93991
0.836735,3.52076
0.857143,3.1294
0.877551,2.71295
0.897959,2.44454
0.918367,2.15608
0.938776,1.95583
0.959184,1.79774
0.979592,1.64568
1,1.52348
