# 20251205_144804
# primespec:	data/AuAu200_cc_(0,5)/primaryspec/spec_20251205_143806_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,532.882
0.0204082,534.603
0.0408163,536.605
0.0612245,541.045
0.0816327,546.813
0.102041,554.411
0.122449,563.384
0.142857,574.309
0.163265,585.842
0.183673,599.211
0.204082,612.582
0.22449,628.873
0.244898,643.479
0.265306,659.742
0.285714,678.068
0.306122,695.365
0.326531,709.913
0.346939,717.697
0.367347,711.845
0.387755,686.445
0.408163,653.23
0.428571,606.472
0.44898,560.031
0.469388,512.237
0.489796,463.976
0.510204,413.388
0.530612,367.092
0.55102,322.378
0.571429,277.764
0.591837,238.592
0.612245,201.45
0.632653,167.627
0.653061,140.691
0.673469,117.624
0.693878,99.1482
0.714286,83.872
0.734694,71.2596
0.755102,61.0339
0.77551,52.9038
0.795918,45.9285
0.816327,40.7358
0.836735,35.7783
0.857143,31.7847
0.877551,28.4721
0.897959,25.2059
0.918367,22.6708
0.938776,20.1678
0.959184,18.1419
0.979592,16.2833
1,14.6408
