# 20251205_145010
qT,primespec
0,482.827
0.004004,484.871
0.00800801,487.1
0.012012,490.814
0.016016,497.41
0.02002,505.524
0.024024,514.989
0.028028,526.197
0.032032,538.324
0.036036,551.808
0.04004,566.078
0.044044,580.964
0.048048,596.442
0.0520521,611.888
0.0560561,627.48
0.0600601,642.675
0.0640641,657.315
0.0680681,671.363
0.0720721,684.265
0.0760761,696.318
0.0800801,707.106
0.0840841,716.614
0.0880881,725.044
0.0920921,732.098
0.0960961,738.146
0.1001,743.285
0.104104,747.539
0.108108,751.242
0.112112,754.785
0.116116,758.042
0.12012,761.515
0.124124,765.492
0.128128,769.959
0.132132,775.212
0.136136,781.512
0.14014,788.698
0.144144,796.935
0.148148,806.266
0.152152,816.25
0.156156,827.169
0.16016,838.451
0.164164,849.925
0.168168,861.487
0.172172,872.34
0.176176,882.823
0.18018,892.023
0.184184,899.972
0.188188,906.674
0.192192,910.583
0.196196,913.357
0.2002,914.64
0.204204,913.551
0.208208,910.705
0.212212,907.085
0.216216,901.452
0.22022,894.904
0.224224,888.008
0.228228,880.606
0.232232,873.686
0.236236,866.938
0.24024,861.177
0.244244,856.448
0.248248,852.607
0.252252,850.901
0.256256,849.99
0.26026,849.591
0.264264,850.322
0.268268,852.064
0.272272,853.684
0.276276,855.498
0.28028,856.558
0.284284,856.184
0.288288,855.022
0.292292,853.091
0.296296,848.336
0.3003,841.8
0.304304,833.738
0.308308,823.396
0.312312,812.043
0.316316,799.063
0.32032,785.363
0.324324,771.425
0.328328,757.227
0.332332,743.917
0.336336,731.156
0.34034,719.687
0.344344,709.826
0.348348,701.163
0.352352,694.258
0.356356,688.671
0.36036,683.965
0.364364,680.101
0.368368,676.74
0.372372,672.928
0.376376,668.745
0.38038,663.811
0.384384,657.436
0.388388,649.478
0.392392,640.232
0.396396,628.975
0.4004,616.462
0.404404,603.13
0.408408,588.76
0.412412,574.085
0.416416,558.695
0.42042,543.91
0.424424,530.501
0.428428,518.096
0.432432,507.522
0.436436,498.304
0.44044,490.538
0.444444,484.39
0.448448,479.238
0.452452,474.555
0.456456,470.497
0.46046,466.304
0.464464,461.346
0.468468,455.727
0.472472,449.076
0.476476,440.887
0.48048,431.558
0.484484,421.145
0.488488,409.526
0.492492,397.674
0.496496,385.313
0.500501,373.261
0.504505,362.023
0.508509,351.436
0.512513,342.462
0.516517,334.656
0.520521,328.195
0.524525,323.301
0.528529,319.318
0.532533,315.896
0.536537,313.115
0.540541,310.304
0.544545,306.887
0.548549,302.965
0.552553,298.234
0.556557,292.209
0.560561,285.263
0.564565,277.519
0.568569,268.849
0.572573,260.159
0.576577,251.229
0.580581,242.76
0.584585,235.217
0.588589,228.35
0.592593,223.016
0.596597,218.704
0.600601,215.447
0.604605,213.424
0.608609,211.961
0.612613,210.592
0.616617,209.411
0.620621,208.068
0.624625,205.983
0.628629,203.028
0.632633,199.446
0.636637,194.748
0.640641,189.374
0.644645,183.683
0.648649,177.558
0.652653,171.89
0.656657,166.448
0.660661,161.815
0.664665,158.345
0.668669,155.508
0.672673,154.184
0.676677,153.594
0.680681,153.298
0.684685,153.395
0.688689,153.692
0.692693,153.775
0.696697,153.052
0.700701,151.734
0.704705,149.777
0.708709,146.601
0.712713,143.033
0.716717,138.812
0.720721,134.407
0.724725,130.292
0.728729,126.325
0.732733,123.399
0.736737,120.976
0.740741,119.507
0.744745,119.458
0.748749,119.619
0.752753,119.889
0.756757,120.808
0.760761,121.671
0.764765,121.653
0.768769,121.308
0.772773,120.721
0.776777,118.841
0.780781,116.061
0.784785,113.003
0.788789,109.312
0.792793,105.79
0.796797,102.303
0.800801,99.3193
0.804805,97.2395
0.808809,95.5563
0.812813,95.027
0.816817,95.1725
0.820821,95.4462
0.824825,95.9242
0.828829,96.6987
0.832833,96.9985
0.836837,96.6416
0.840841,95.925
0.844845,94.6733
0.848849,92.3005
0.852853,89.6373
0.856857,86.5484
0.860861,83.367
0.864865,80.5417
0.868869,77.8876
0.872873,76.1721
0.876877,75.0387
0.880881,74.3675
0.884885,74.4522
0.888889,74.9654
0.892893,75.4685
0.896897,75.9641
0.900901,76.3283
0.904905,76.1531
0.908909,75.2627
0.912913,74.0606
0.916917,72.1379
0.920921,69.7409
0.924925,67.3486
0.928929,64.8031
0.932933,62.7718
0.936937,61.0066
0.940941,59.8364
0.944945,59.7567
0.948949,59.8816
0.952953,60.0927
0.956957,60.8996
0.960961,61.8375
0.964965,62.1392
0.968969,62.2953
0.972973,62.3294
0.976977,61.4785
0.980981,59.9378
0.984985,58.2387
0.988989,56.0782
0.992993,54.0651
0.996997,52.1036
1.001,50.5439
1.00501,49.8842
1.00901,49.4752
1.01301,49.3485
1.01702,49.8871
1.02102,50.7872
1.02503,51.5501
1.02903,52.337
1.03303,52.6554
1.03704,52.3779
1.04104,51.7922
1.04505,50.8718
1.04905,49.1928
1.05305,47.4084
1.05706,45.5178
