# 20251205_143628
# initdata:	data/AuAu200_cc_(0,5)/initdata.csv
# freezeout file: 	data/AuAu200_cc_(0,5)/freezeout.csv
# particle mass:	0.6
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,3038.44
0.0100251,3007.88
0.0200501,2921.31
0.0300752,2792.83
0.0401003,2642.26
0.0501253,2490.4
0.0601504,2353.95
0.0701754,2241.36
0.0802005,2150.91
0.0902256,2071.98
0.100251,1989.22
0.110276,1888.96
0.120301,1765.11
0.130326,1622.62
0.140351,1476.28
0.150376,1344.92
0.160401,1243.13
0.170426,1174.18
0.180451,1127.87
0.190476,1085.03
0.200501,1026.92
0.210526,944.891
0.220551,845.012
0.230576,744.623
0.240602,662.395
0.250627,607.518
0.260652,574.592
0.270677,547.52
0.280702,510.133
0.290727,456.688
0.300752,395.205
0.310777,341.328
0.320802,307.013
0.330827,292.071
0.340852,284.658
0.350877,270.278
0.360902,242.475
0.370927,207.081
0.380952,176.898
0.390977,161.177
0.401003,158.362
0.411028,157.823
0.421053,148.913
0.431078,129.643
0.441103,107.768
0.451128,93.6073
0.461153,91.0259
0.471178,94.4169
0.481203,94.0943
0.491228,85.0232
0.501253,70.989
0.511278,60.635
0.521303,59.2779
0.531328,64.1396
0.541353,67.268
0.551378,63.1176
0.561404,53.5281
0.571429,45.5187
0.581454,44.292
0.591479,48.3177
0.601504,51.1259
0.611529,47.7827
0.621554,39.5622
0.631579,32.3436
0.641604,30.6026
0.651629,33.1303
0.661654,34.6265
0.671679,31.2759
0.681704,24.5095
0.691729,19.2578
0.701754,18.7578
0.711779,21.388
0.721805,22.6652
0.73183,20.0697
0.741855,15.547
0.75188,13.1955
0.761905,14.7981
0.77193,18.0062
0.781955,18.9762
0.79198,16.4717
0.802005,13.0084
0.81203,11.9563
0.822055,13.8722
0.83208,16.0193
0.842105,15.4466
0.85213,12.1603
0.862155,8.97322
0.87218,8.35937
0.882206,9.85909
0.892231,10.8085
0.902256,9.41496
0.912281,6.69235
0.922306,5.19222
0.932331,6.09857
0.942356,7.97832
0.952381,8.49067
0.962406,7.0141
0.972431,5.22201
0.982456,5.06709
0.992481,6.55007
1.00251,7.78522
1.01253,7.18344
1.02256,5.2074
1.03258,3.74975
1.04261,3.95262
1.05263,4.99984
1.06266,5.18806
1.07268,3.93565
1.08271,2.39616
1.09273,2.04856
1.10276,2.98762
1.11278,3.89607
1.12281,3.65234
1.13283,2.63649
1.14286,2.22227
1.15288,3.10775
1.16291,4.46836
1.17293,4.90015
1.18296,4.01646
1.19298,2.83908
1.20301,2.57776
1.21303,3.25963
1.22306,3.77861
1.23308,3.23485
1.24311,1.95999
1.25313,1.07339
1.26316,1.1718
1.27318,1.71802
1.28321,1.78725
1.29323,1.20474
1.30326,0.705593
1.31328,0.980109
1.32331,1.80326
1.33333,2.29791
1.34336,1.98472
1.35338,1.33746
1.36341,1.18899
1.37343,1.7246
1.38346,2.27204
1.39348,2.11624
1.40351,1.34416
1.41353,0.721633
1.42356,0.783938
1.43358,1.24414
1.44361,1.40056
1.45363,1.01126
1.46366,0.569477
1.47368,0.673094
1.48371,1.27887
1.49373,1.74544
1.50376,1.59571
1.51378,1.06943
1.52381,0.81371
1.53383,1.10565
1.54386,1.54103
1.55388,1.53508
1.56391,1.0088
1.57393,0.448349
1.58396,0.30924
1.59398,0.511078
1.60401,0.61031
1.61404,0.389223
1.62406,0.115181
1.63409,0.171358
1.64411,0.549982
1.65414,0.851135
1.66416,0.781317
1.67419,0.520954
1.68421,0.499082
1.69424,0.852754
1.70426,1.23816
1.71429,1.22704
1.72431,0.808142
1.73434,0.393871
1.74436,0.33672
1.75439,0.543817
1.76441,0.636521
1.77444,0.43267
1.78446,0.156094
1.79449,0.137203
1.80451,0.395727
1.81454,0.621359
1.82456,0.560605
1.83459,0.321601
1.84461,0.226657
1.85464,0.407805
1.86466,0.646953
1.87469,0.646133
1.88471,0.38375
1.89474,0.124505
1.90476,0.09057
1.91479,0.212011
1.92481,0.253046
1.93484,0.13168
1.94486,0.0200798
1.95489,0.107109
1.96491,0.338004
1.97494,0.470836
1.98496,0.382086
1.99499,0.232707
2.00501,0.276847
2.01504,0.54223
2.02506,0.777101
2.03509,0.73578
2.04511,0.462305
2.05514,0.234964
2.06516,0.244093
2.07519,0.389572
2.08521,0.426846
2.09524,0.267783
2.10526,0.0714696
2.11529,0.0336053
2.12531,0.149592
2.13534,0.239178
2.14536,0.183865
2.15539,0.0709864
2.16541,0.0705748
2.17544,0.211113
2.18546,0.338822
2.19549,0.306275
2.20551,0.149455
2.21554,0.0360085
2.22556,0.0586172
2.23559,0.135297
2.24561,0.13307
2.25564,0.0469009
2.26566,0.00326201
2.27569,0.0883316
2.28571,0.226627
2.29574,0.270159
2.30576,0.187985
2.31579,0.114488
2.32581,0.18849
2.33584,0.376895
2.34586,0.500078
2.35589,0.432622
2.36591,0.242384
2.37594,0.107921
2.38596,0.119132
2.39599,0.195369
2.40602,0.202435
2.41604,0.11289
2.42607,0.01971
2.43609,0.00678008
2.44612,0.0498693
2.45614,0.065347
2.46617,0.0287232
2.47619,0.00395303
2.48622,0.0503081
2.49624,0.134742
2.50627,0.16661
2.51629,0.109972
2.52632,0.0281911
2.53634,0.0046681
2.54637,0.0424578
2.55639,0.0701976
2.56642,0.042623
2.57644,0.00250335
2.58647,0.022769
2.59649,0.104574
2.60652,0.166254
2.61654,0.142803
2.62657,0.0720212
2.63659,0.0555058
2.64662,0.136906
2.65664,0.244361
2.66667,0.268314
2.67669,0.183276
2.68672,0.0716312
2.69674,0.0277163
2.70677,0.0593217
2.71679,0.0970955
2.72682,0.0863408
2.73684,0.0435089
2.74687,0.0181317
2.75689,0.0231765
2.76692,0.0273311
2.77694,0.0109684
2.78697,0.00150737
2.79699,0.0358085
2.80702,0.1004
2.81704,0.134819
2.82707,0.1016
2.83709,0.0356606
2.84712,0.00645767
2.85714,0.0362461
2.86717,0.0756194
2.87719,0.0678332
2.88722,0.0217432
2.89724,0.00125307
2.90727,0.043581
2.91729,0.108864
2.92732,0.126006
2.93734,0.0800561
2.94737,0.0335728
2.95739,0.0540984
