# 20251205_143743
# initdata:	data/AuAu200_cc_(0,5)/initdata.csv
# freezeout file: 	data/AuAu200_cc_(0,5)/freezeout.csv
# particle mass:	0.908571
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,1655.51
0.0100251,1643.57
0.0200501,1609.66
0.0300752,1559.22
0.0401003,1500.17
0.0501253,1441.52
0.0601504,1391.62
0.0701754,1356.5
0.0802005,1338.58
0.0902256,1336.04
0.100251,1343.14
0.110276,1351.56
0.120301,1352.52
0.130326,1339.5
0.140351,1310.24
0.150376,1267.76
0.160401,1219.51
0.170426,1174.78
0.180451,1141.17
0.190476,1121.27
0.200501,1111.19
0.210526,1101.76
0.220551,1082.17
0.230576,1044.78
0.240602,988.749
0.250627,920.917
0.260652,852.945
0.270677,796.028
0.280702,755.587
0.290727,728.71
0.300752,705.84
0.310777,676.039
0.320802,633.065
0.330827,578.926
0.340852,522.775
0.350877,475.646
0.360902,444.046
0.370927,426.204
0.380952,413.331
0.390977,395.179
0.401003,366.441
0.411028,329.919
0.421053,294.389
0.431078,268.586
0.441103,255.337
0.451128,249.826
0.461153,243.159
0.471178,228.685
0.481203,206.569
0.491228,183.343
0.501253,166.852
0.511278,160.351
0.521303,160.191
0.531328,158.786
0.541353,150.505
0.551378,135.911
0.561404,121.06
0.571429,112.481
0.581454,111.892
0.591479,114.904
0.601504,114.703
0.611529,107.628
0.621554,96.0361
0.631579,86.1306
0.641604,82.6396
0.651629,84.8793
0.661654,87.4932
0.671679,85.1399
0.681704,77.0276
0.691729,67.3931
0.701754,61.6198
0.711779,61.5035
0.721805,63.8539
0.73183,63.563
0.741855,58.2661
0.75188,50.3559
0.761905,44.6121
0.77193,43.7483
0.781955,46.0213
0.79198,47.0489
0.802005,44.0139
0.81203,38.2502
0.822055,33.8237
0.83208,33.5579
0.842105,36.3563
0.85213,38.3427
0.862155,36.6385
0.87218,32.0742
0.882206,28.2479
0.892231,27.935
0.902256,30.4063
0.912281,32.2429
0.922306,30.7528
0.932331,26.5624
0.942356,22.863
0.952381,22.164
0.962406,23.8518
0.972431,24.9516
0.982456,23.223
0.992481,19.3865
1.00251,16.295
1.01253,15.9764
1.02256,17.6365
1.03258,18.6144
1.04261,17.2016
1.05263,14.3598
1.06266,12.6057
1.07268,13.3155
1.08271,15.3043
1.09273,16.1235
1.10276,14.636
1.11278,12.138
1.12281,10.8995
1.13283,11.7398
1.14286,13.2267
1.15288,13.2841
1.16291,11.425
1.17293,9.21541
1.18296,8.53643
1.19298,9.57334
1.20301,10.6932
1.21303,10.2792
1.22306,8.48171
1.23308,6.99847
1.24311,7.18357
1.25313,8.58414
1.26316,9.47877
1.27318,8.77398
1.28321,7.15489
1.29323,6.26347
1.30326,6.86597
1.31328,8.04146
1.32331,8.24319
1.33333,7.00529
1.34336,5.40324
1.35338,4.81294
1.36341,5.40058
1.37343,6.01872
1.38346,5.56303
1.39348,4.2208
1.40351,3.22226
1.41353,3.42797
1.42356,4.38096
1.43358,4.87502
1.44361,4.34933
1.45363,3.50332
1.46366,3.45235
1.47368,4.41908
1.48371,5.4614
1.49373,5.53055
1.50376,4.63786
1.51378,3.80681
1.52381,3.89396
1.53383,4.63439
1.54386,4.98016
1.55388,4.31069
1.56391,3.12067
1.57393,2.43261
1.58396,2.64424
1.59398,3.13641
1.60401,3.04863
1.61404,2.28628
1.62406,1.5971
1.63409,1.67002
1.64411,2.3351
1.65414,2.78773
1.66416,2.54068
1.67419,1.9731
1.68421,1.84682
1.69424,2.38342
1.70426,2.99363
1.71429,2.96471
1.72431,2.28608
1.73434,1.65014
1.74436,1.64553
1.75439,2.09877
1.76441,2.32135
1.77444,1.94451
1.78446,1.34925
1.79449,1.20032
1.80451,1.65522
1.81454,2.18481
1.82456,2.20156
1.83459,1.7399
1.84461,1.39056
1.85464,1.5851
1.86466,2.08527
1.87469,2.26896
1.88471,1.8571
1.89474,1.2229
1.90476,0.939686
1.91479,1.12463
1.92481,1.34911
1.93484,1.18959
1.94486,0.737573
1.95489,0.466525
1.96491,0.644005
1.97494,1.01408
1.98496,1.12598
1.99499,0.893402
2.00501,0.697481
2.01504,0.910173
2.02506,1.42129
2.03509,1.74615
2.04511,1.58824
2.05514,1.18346
2.06516,1.01679
2.07519,1.25181
2.08521,1.54986
2.09524,1.48324
2.10526,1.04226
2.11529,0.638404
2.12531,0.616894
2.13534,0.868599
2.14536,0.992363
2.15539,0.790814
2.16541,0.496597
2.17544,0.470467
2.18546,0.753341
2.19549,1.01616
2.20551,0.956734
2.21554,0.653998
2.22556,0.457179
2.23559,0.558115
2.24561,0.77086
2.25564,0.77556
2.26566,0.515426
2.27569,0.261056
2.28571,0.274816
2.29574,0.495875
2.30576,0.630344
2.31579,0.525879
2.32581,0.363324
2.33584,0.42873
2.34586,0.747894
2.35589,1.03442
2.36591,1.01936
2.37594,0.765382
2.38596,0.588673
2.39599,0.68397
2.40602,0.901423
2.41604,0.933847
2.42607,0.680941
2.43609,0.357328
2.44612,0.231218
2.45614,0.320795
2.46617,0.406423
2.47619,0.32057
2.48622,0.1485
2.49624,0.102842
2.50627,0.245202
2.51629,0.407249
2.52632,0.402987
2.53634,0.25962
2.54637,0.178332
2.55639,0.278262
2.56642,0.445689
2.57644,0.474776
2.58647,0.322319
2.59649,0.160174
2.60652,0.163455
2.61654,0.299393
2.62657,0.376798
2.63659,0.290414
2.64662,0.154583
2.65664,0.160986
2.66667,0.337927
2.67669,0.509192
2.68672,0.503393
2.69674,0.357502
2.70677,0.26769
2.71679,0.350142
2.72682,0.50268
2.73684,0.529366
2.74687,0.371386
2.75689,0.167036
2.76692,0.0809563
2.77694,0.120068
2.78697,0.154563
2.79699,0.0993694
2.80702,0.0193586
2.81704,0.0319878
2.82707,0.14336
2.83709,0.233763
2.84712,0.211445
2.85714,0.134974
2.86717,0.142753
2.87719,0.27413
2.88722,0.407871
2.89724,0.400852
2.90727,0.260093
2.91729,0.136863
2.92732,0.148491
2.93734,0.244767
2.94737,0.278895
2.95739,0.192387
2.96742,0.086066
2.97744,0.0931772
2.98747,0.213864
2.99749,0.314104
3.00752,0.287279
3.01754,0.17891
3.02757,0.125166
3.03759,0.185664
3.04762,0.275391
3.05764,0.272465
3.06767,0.163303
3.07769,0.0501878
3.08772,0.0224432
3.09774,0.05774
3.10777,0.0699393
3.11779,0.0302845
3.12782,0.00162828
3.13784,0.0459449
3.14787,0.132328
3.15789,0.170698
3.16792,0.130361
3.17794,0.0879165
3.18797,0.135478
3.19799,0.259536
3.20802,0.344448
3.21805,0.303516
3.22807,0.181111
3.2381,0.101441
3.24812,0.125184
3.25815,0.186299
3.26817,0.181311
3.2782,0.0980146
3.28822,0.0266058
3.29825,0.0449999
3.30827,0.123395
3.3183,0.164383
3.32832,0.124283
3.33835,0.0635014
3.34837,0.0664682
3.3584,0.134519
3.36842,0.184737
3.37845,0.152442
3.38847,0.0674584
3.3985,0.0125276
3.40852,0.0219568
3.41855,0.0494105
3.42857,0.0399587
3.4386,0.00734068
3.44862,0.0143705
3.45865,0.0834058
3.46867,0.156899
3.4787,0.164695
3.48872,0.115285
3.49875,0.0923373
3.50877,0.153792
3.5188,0.255375
3.52882,0.295141
3.53885,0.229407
3.54887,0.122609
3.5589,0.0726
3.56892,0.101725
3.57895,0.141393
3.58897,0.121764
3.599,0.0536521
3.60902,0.006903
3.61905,0.0203811
3.62907,0.0584208
3.6391,0.0630857
3.64912,0.0297365
3.65915,0.00909478
3.66917,0.037132
3.6792,0.0858753
3.68922,0.0979928
3.69925,0.0588641
3.70927,0.0132083
3.7193,0.00687548
3.72932,0.0308666
3.73935,0.039594
3.74937,0.0171286
3.7594,0.00213132
3.76942,0.0364968
3.77945,0.104175
3.78947,0.143023
3.7995,0.120191
3.80952,0.0770953
3.81955,0.0834601
3.82957,0.152251
3.8396,0.218937
3.84962,0.212696
