# 20251205_143806
# initdata:	data/AuAu200_cc_(0,5)/initdata.csv
# freezeout file: 	data/AuAu200_cc_(0,5)/freezeout.csv
# particle mass:	1
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,1439.66
0.0100251,1430.1
0.0200501,1402.45
0.0300752,1359.83
0.0401003,1307.12
0.0501253,1250.46
0.0601504,1196.63
0.0701754,1152.22
0.0802005,1122.62
0.0902256,1110.95
0.100251,1117.12
0.110276,1137.83
0.120301,1165.96
0.130326,1192.89
0.140351,1210.08
0.150376,1211.63
0.160401,1196.15
0.170426,1167.34
0.180451,1132.8
0.190476,1101.3
0.200501,1079.23
0.210526,1067.96
0.220551,1062.93
0.230576,1055.4
0.240602,1036.16
0.250627,999.739
0.260652,947.202
0.270677,886.023
0.280702,826.927
0.290727,779.009
0.300752,745.488
0.310777,722.289
0.320802,700.339
0.330827,670.521
0.340852,628.69
0.350877,578.037
0.360902,527.314
0.370927,485.896
0.380952,458.405
0.390977,442.085
0.401003,428.564
0.411028,409.006
0.421053,379.528
0.431078,343.499
0.441103,309.235
0.451128,284.53
0.461153,271.581
0.471178,265.66
0.481203,258.419
0.491228,243.591
0.501253,221.163
0.511278,197.148
0.521303,179.135
0.531328,170.835
0.541353,169.531
0.551378,168.256
0.561404,161.018
0.571429,147.159
0.581454,131.577
0.591479,120.737
0.601504,117.601
0.611529,119.434
0.621554,120.133
0.631579,115.158
0.641604,105.065
0.651629,94.8268
0.661654,89.5797
0.671679,90.3408
0.681704,93.2514
0.691729,92.9091
0.701754,86.9274
0.711779,77.8468
0.721805,70.819
0.73183,69.1122
0.741855,71.3439
0.75188,72.8024
0.761905,69.6348
0.77193,62.188
0.781955,54.5779
0.79198,50.9549
0.802005,51.8486
0.81203,53.8514
0.822055,52.8375
0.83208,47.7178
0.842105,41.309
0.85213,37.6105
0.862155,38.0884
0.87218,40.4307
0.882206,40.8554
0.892231,37.7123
0.902256,32.9554
0.912281,30.1527
0.922306,31.0139
0.932331,33.7871
0.942356,35.0112
0.952381,32.871
0.962406,28.8666
0.972431,26.2378
0.982456,26.7464
0.992481,28.9951
1.00251,29.8813
1.01253,27.6811
1.02256,23.6889
1.03258,20.8435
1.04261,20.7886
1.05263,22.3252
1.06266,22.745
1.07268,20.6111
1.08271,17.15
1.09273,14.9064
1.10276,15.1222
1.11278,16.5478
1.12281,16.8468
1.13283,15.0643
1.14286,12.5767
1.15288,11.5865
1.16291,12.7914
1.17293,14.6776
1.18296,15.1352
1.19298,13.655
1.20301,11.7943
1.21303,11.465
1.22306,12.8945
1.23308,14.4073
1.24311,14.2135
1.25313,12.2708
1.26316,10.2636
1.27318,9.77764
1.28321,10.6596
1.29323,11.2763
1.30326,10.3402
1.31328,8.2856
1.32331,6.75259
1.33333,6.79627
1.34336,7.79454
1.35338,8.20377
1.36341,7.27699
1.37343,5.84631
1.38346,5.34725
1.39348,6.21001
1.40351,7.39872
1.41353,7.57512
1.42356,6.56165
1.43358,5.48816
1.44361,5.49497
1.45363,6.46268
1.46366,7.17217
1.47368,6.68142
1.48371,5.36322
1.49373,4.46369
1.50376,4.70876
1.51378,5.53127
1.52381,5.75789
1.53383,4.94967
1.54386,3.88051
1.55388,3.64162
1.56391,4.40891
1.57393,5.26091
1.58396,5.22471
1.59398,4.34538
1.60401,3.58552
1.61404,3.70444
1.62406,4.40905
1.63409,4.72035
1.64411,4.10197
1.65414,3.05264
1.66416,2.51304
1.67419,2.79987
1.68421,3.29071
1.69424,3.18796
1.70426,2.44967
1.71429,1.81575
1.72431,1.92947
1.73434,2.59536
1.74436,3.02798
1.75439,2.77915
1.76441,2.25098
1.77444,2.2043
1.78446,2.84867
1.79449,3.57778
1.80451,3.65292
1.81454,3.03543
1.82456,2.4115
1.83459,2.39562
1.84461,2.84226
1.85464,3.0465
1.86466,2.57505
1.87469,1.75619
1.88471,1.28381
1.89474,1.42607
1.90476,1.76403
1.91479,1.73352
1.92481,1.30172
1.93484,0.980156
1.94486,1.18447
1.95489,1.72111
1.96491,2.00963
1.97494,1.764
1.98496,1.31784
1.99499,1.2148
2.00501,1.56136
2.01504,1.91038
2.02506,1.80302
2.03509,1.3156
2.04511,0.965221
2.05514,1.09762
2.06516,1.49044
2.07519,1.63602
2.08521,1.35513
2.09524,1.00675
2.10526,1.05124
2.11529,1.49398
2.12531,1.87159
2.13534,1.79092
2.14536,1.379
2.15539,1.11843
2.16541,1.27478
2.17544,1.59501
2.18546,1.62025
2.19549,1.22637
2.20551,0.754589
2.21554,0.598494
2.22556,0.756703
2.23559,0.876561
2.24561,0.709773
2.25564,0.414575
2.26566,0.346552
2.27569,0.610275
2.28571,0.926593
2.29574,0.973533
2.30576,0.778523
2.31579,0.680179
2.32581,0.906148
2.33584,1.2808
2.34586,1.41926
2.35589,1.177
2.36591,0.818092
2.37594,0.704693
2.38596,0.881246
2.39599,1.04377
2.40602,0.91798
2.41604,0.586472
2.42607,0.380838
2.43609,0.482629
2.44612,0.717449
2.45614,0.778766
2.46617,0.597647
2.47619,0.411191
2.48622,0.459522
2.49624,0.688872
2.50627,0.818129
2.51629,0.677151
2.52632,0.402518
2.53634,0.262577
2.54637,0.33766
2.55639,0.445552
2.56642,0.389176
2.57644,0.208386
2.58647,0.125009
2.59649,0.258179
2.60652,0.470267
2.61654,0.535937
2.62657,0.422604
2.63659,0.332171
2.64662,0.449398
2.65664,0.705164
2.66667,0.846691
2.67669,0.732789
2.68672,0.498941
2.69674,0.395458
2.70677,0.495776
2.71679,0.622246
2.72682,0.568999
2.73684,0.346302
2.74687,0.157598
2.75689,0.15133
2.76692,0.255955
2.77694,0.289566
2.78697,0.193837
2.79699,0.0986132
2.80702,0.145642
2.81704,0.300765
2.82707,0.391526
2.83709,0.320087
2.84712,0.183
2.85714,0.149246
2.86717,0.250756
2.87719,0.3467
2.88722,0.303648
2.89724,0.164847
2.90727,0.0975365
2.91729,0.185122
2.92732,0.324065
2.93734,0.354239
2.94737,0.26042
2.95739,0.194419
2.96742,0.286984
2.97744,0.480397
2.98747,0.587181
2.99749,0.506141
3.00752,0.336692
3.01754,0.257521
3.02757,0.319126
3.03759,0.396897
3.04762,0.350754
3.05764,0.191305
3.06767,0.0563972
3.07769,0.0409698
3.08772,0.0952293
3.09774,0.107869
3.10777,0.0559354
3.11779,0.0278356
3.12782,0.0963645
3.13784,0.211718
3.14787,0.255937
3.15789,0.190912
3.16792,0.110186
3.17794,0.125065
3.18797,0.22553
3.19799,0.290619
3.20802,0.23723
3.21805,0.123407
3.22807,0.0779518
3.2381,0.143649
3.24812,0.228047
3.25815,0.221673
3.26817,0.135862
3.2782,0.0892479
3.28822,0.15979
3.29825,0.285234
3.30827,0.334439
3.3183,0.26191
3.32832,0.157899
3.33835,0.136607
3.34837,0.201504
3.3584,0.249102
3.36842,0.199105
3.37845,0.0878699
3.38847,0.0160466
3.3985,0.0250202
3.40852,0.058634
3.41855,0.0505639
3.42857,0.0169834
3.4386,0.032646
3.44862,0.123418
3.45865,0.218616
3.46867,0.230743
3.4787,0.165059
3.48872,0.118501
3.49875,0.16322
3.50877,0.256219
3.5188,0.287831
3.52882,0.212322
3.53885,0.102688
3.54887,0.0641301
3.5589,0.112351
3.56892,0.163096
3.57895,0.140865
3.58897,0.0706026
3.599,0.0418466
3.60902,0.0943463
3.61905,0.168204
3.62907,0.177651
3.6391,0.114164
3.64912,0.0524146
3.65915,0.0563478
3.66917,0.104365
3.6792,0.122888
3.68922,0.0799972
3.69925,0.0202438
3.70927,0.00240388
3.7193,0.0258327
3.72932,0.040295
3.73935,0.0215919
3.74937,0.00915978
3.7594,0.0531673
3.76942,0.139771
3.77945,0.1959
3.78947,0.174711
3.7995,0.116269
3.80952,0.103664
3.81955,0.163375
3.82957,0.230756
3.8396,0.224479
3.84962,0.141404
3.85965,0.058715
3.86967,0.0431446
3.8797,0.078222
3.88972,0.0943997
3.89975,0.0591805
3.90977,0.0142793
3.9198,0.0176704
3.92982,0.0677547
3.93985,0.105426
3.94987,0.0885869
3.9599,0.0431136
3.96992,0.0271662
3.97995,0.0567706
3.98997,0.087687
4,0.0742809
