# 20260615_152816
qT,primespec
0,2662.19
0.004004,2661.1
0.00800801,2659.89
0.012012,2657.64
0.016016,2652.97
0.02002,2646.48
0.024024,2637.14
0.028028,2623.9
0.032032,2607.13
0.036036,2584.07
0.04004,2555.62
0.044044,2520.1
0.048048,2476.18
0.0520521,2425.34
0.0560561,2364.29
0.0600601,2295.24
0.0640641,2217.37
0.0680681,2130.29
0.0720721,2037.13
0.0760761,1935.88
0.0800801,1830.41
0.0840841,1721.39
0.0880881,1609.94
0.0920921,1500.33
0.0960961,1391.45
0.1001,1287.93
0.104104,1190.37
0.108108,1099.5
0.112112,1019.07
0.116116,946.388
0.12012,884.062
0.124124,831.701
0.128128,786.948
0.132132,750.495
0.136136,720.449
0.14014,694.011
0.144144,670.684
0.148148,649.232
0.152152,626.254
0.156156,602.329
0.16016,576.339
0.164164,546.927
0.168168,514.716
0.172172,480.763
0.176176,444.309
0.18018,408.103
0.184184,372.58
0.188188,338.672
0.192192,309.356
0.196196,282.792
0.2002,262.136
0.204204,246.778
0.208208,235.145
0.212212,230.043
0.216216,227.237
0.22022,226.027
0.224224,226.273
0.228228,226.738
0.232232,226.47
0.236236,223.027
0.24024,217.645
0.244244,209.595
0.248248,197.905
0.252252,185.136
0.256256,170.183
0.26026,155.309
0.264264,141.104
0.268268,128.007
0.272272,118.368
0.276276,109.995
0.28028,105.778
0.284284,105.77
0.288288,105.898
0.292292,106.487
0.296296,109.852
0.3003,112.848
0.304304,113.463
0.308308,113.815
0.312312,113.44
0.316316,109.195
0.32032,103.099
0.324324,96.0086
0.328328,87.411
0.332332,79.299
0.336336,71.0764
0.34034,64.6018
0.344344,60.0845
0.348348,56.7264
0.352352,56.0875
0.356356,57.0346
0.36036,58.5537
0.364364,61.2561
0.368368,64.8712
0.372372,65.8592
0.376376,65.7957
0.38038,65.6625
0.384384,64.0674
0.388388,60.0517
0.392392,55.6121
0.396396,50.0542
0.4004,44.5337
0.404404,39.4462
0.408408,34.9307
0.412412,32.499
0.416416,30.9744
0.42042,30.2292
0.424424,30.8287
0.428428,32.496
0.432432,34.0911
0.436436,35.8619
0.44044,37.0028
0.444444,36.7685
0.448448,35.9149
