PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,352.5851012707351
0.13,327.19095897382215
0.15000000000000002,301.6221273440573
0.16999999999999998,276.7067265530556
0.19,252.99450257209986
0.225,215.22756325546098
0.275,170.0944252448422
0.32499999999999996,134.42785350101013
0.375,106.49441832752788
0.42500000000000004,84.62616341965484
0.475,67.45979380078423
0.525,53.93403783465806
0.575,43.236726372873306
0.625,34.74551177980602
0.675,27.983614720553796
0.725,22.58265920572385
0.775,18.257312705039553
0.825,14.785029326400432
0.875,11.991521581554478
0.925,9.739583037446028
0.975,7.920999058254019
1.05,5.822843274035391
1.15,3.878026803774371
1.25,2.593162758026793
1.35,1.7399608048688076
1.45,1.1711395150068813
1.55,0.790460130609859
1.65,0.534855940124215
1.75,0.36263001669353867
1.85,0.246376705234987
1.95,0.16762678038279671
2.05,0.11422441525707347
2.1500000000000004,0.07794181966135465
2.25,0.05324233741520144
2.3499999999999996,0.03640035180089185
2.45,0.024903388969152434
