# 20260615_151614
# initdata:	data/AuAu200_cc_(0,5)plus10/initdata.csv
# freezeout file: 	data/AuAu200_cc_(0,5)plus10/freezeout.csv
# particle mass:	1
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,1619.44
0.0100251,1624.32
0.0200501,1637.93
0.0300752,1657.27
0.0401003,1677.47
0.0501253,1692.26
0.0601504,1694.7
0.0701754,1678.34
0.0802005,1638.53
0.0902256,1573.69
0.100251,1486.01
0.110276,1381.45
0.120301,1268.72
0.130326,1157.55
0.140351,1056.52
0.150376,971.16
0.160401,902.771
0.170426,848.435
0.180451,802.23
0.190476,757.325
0.200501,708.313
0.210526,653.036
0.220551,593.257
0.230576,533.902
0.240602,481.184
0.250627,440.134
0.260652,412.609
0.270677,396.478
0.280702,386.395
0.290727,375.875
0.300752,359.869
0.310777,336.737
0.320802,308.768
0.330827,280.973
0.340852,258.665
0.350877,244.921
0.360902,239.134
0.370927,237.328
0.380952,234.142
0.390977,225.485
0.401003,210.542
0.411028,192.078
0.421053,174.886
0.431078,163.167
0.441103,158.272
0.451128,158.006
0.461153,157.92
0.471178,153.846
0.481203,144.252
0.491228,131.066
0.501253,118.472
0.511278,110.396
0.521303,108.168
0.531328,109.758
0.541353,111.127
0.551378,108.461
0.561404,101
0.571429,90.96
0.581454,82.3309
0.591479,78.243
0.601504,78.9775
0.611529,81.8377
0.621554,82.9527
0.631579,79.8193
0.641604,72.902
0.651629,65.2368
0.661654,60.3269
0.671679,59.7669
0.681704,62.213
0.691729,64.3771
0.701754,63.3346
0.711779,58.5226
0.721805,52.0213
0.73183,47.1048
0.741855,45.6998
0.75188,47.2517
0.761905,49.1057
0.77193,48.5206
0.781955,44.6579
0.79198,39.1263
0.802005,34.7163
0.81203,33.3011
0.822055,34.4835
0.83208,35.9808
0.842105,35.4159
0.85213,32.1264
0.862155,27.6195
0.87218,24.3544
0.882206,23.8283
0.892231,25.4536
0.902256,27.078
0.912281,26.7041
0.922306,24.0366
0.932331,20.6525
0.942356,18.6919
0.952381,19.1428
0.962406,21.089
0.972431,22.4959
0.982456,21.869
0.992481,19.4307
1.00251,16.8815
1.01253,15.9719
1.02256,17.0736
1.03258,18.9109
1.04261,19.6425
1.05263,18.3756
1.06266,15.8608
1.07268,13.8185
1.08271,13.4886
1.09273,14.6242
1.10276,15.7485
1.11278,15.4256
1.12281,13.4587
1.13283,11.0126
1.14286,9.60162
1.15288,9.81946
1.16291,10.8926
1.17293,11.4014
1.18296,10.5166
1.19298,8.67936
1.20301,7.16708
1.21303,6.95719
1.22306,7.89341
1.23308,8.86522
1.24311,8.81178
1.25313,7.64873
1.26316,6.30989
1.27318,5.89126
1.28321,6.67375
1.29323,7.88828
1.30326,8.41407
1.31328,7.77257
1.32331,6.53218
1.33333,5.77853
1.34336,6.13839
1.35338,7.22991
1.36341,8.01555
1.37343,7.72458
1.38346,6.51642
1.39348,5.30744
1.40351,4.94075
1.41353,5.45441
1.42356,6.09175
1.43358,6.01498
1.44361,5.05889
1.45363,3.84998
1.46366,3.21102
1.47368,3.41666
1.48371,3.97839
1.49373,4.13224
1.50376,3.55677
1.51378,2.6559
1.52381,2.16147
1.53383,2.44406
1.54386,3.17802
1.55388,3.66076
1.56391,3.47421
1.57393,2.86503
1.58396,2.49551
1.59398,2.80871
1.60401,3.60622
1.61404,4.22864
1.62406,4.16288
1.63409,3.50713
1.64411,2.86609
1.65414,2.78467
1.66416,3.25139
1.67419,3.7278
1.68421,3.66121
1.69424,2.99531
1.70426,2.20821
1.71429,1.85893
1.72431,2.07787
1.73434,2.47313
1.74436,2.52195
1.75439,2.06333
1.76441,1.42955
1.77444,1.11014
1.78446,1.28475
1.79449,1.67092
1.80451,1.81825
1.81454,1.55124
1.82456,1.13123
1.83459,0.989689
1.84461,1.30035
1.85464,1.80702
1.86466,2.06971
1.87469,1.88647
1.88471,1.48258
1.89474,1.28819
1.90476,1.52191
1.91479,1.98106
1.92481,2.23565
1.93484,2.03544
1.94486,1.5405
1.95489,1.16128
1.96491,1.1696
1.97494,1.45425
1.98496,1.64705
1.99499,1.48632
2.00501,1.06396
2.01504,0.725191
2.02506,0.729565
2.03509,1.00647
2.04511,1.23632
2.05514,1.16763
2.06516,0.856386
2.07519,0.598961
2.08521,0.634042
2.09524,0.910245
2.10526,1.14355
2.11529,1.10042
2.12531,0.824339
2.13534,0.585807
2.14536,0.611301
2.15539,0.861369
2.16541,1.07383
2.17544,1.02423
2.18546,0.744132
2.19549,0.48502
2.20551,0.468791
2.21554,0.673959
2.22556,0.866053
2.23559,0.83644
2.24561,0.609784
2.25564,0.415817
2.26566,0.45732
2.27569,0.707113
2.28571,0.934841
2.29574,0.935291
2.30576,0.730778
2.31579,0.548012
2.32581,0.593412
2.33584,0.848582
2.34586,1.08597
2.35589,1.08729
2.36591,0.8504
2.37594,0.58535
2.38596,0.508418
2.39599,0.638384
2.40602,0.790359
2.41604,0.765332
2.42607,0.544024
2.43609,0.297018
2.44612,0.209982
2.45614,0.303751
2.46617,0.426779
2.47619,0.419763
2.48622,0.280663
2.49624,0.163087
2.50627,0.213353
2.51629,0.415123
2.52632,0.601239
2.53634,0.621686
2.54637,0.497577
2.55639,0.403841
2.56642,0.494777
2.57644,0.74489
2.58647,0.964304
2.59649,0.976467
2.60652,0.785827
2.61654,0.572743
2.62657,0.521451
2.63659,0.648201
2.64662,0.793341
2.65664,0.779844
2.66667,0.58108
2.67669,0.338124
2.68672,0.2179
2.69674,0.256944
2.70677,0.341597
2.71679,0.334838
2.72682,0.216028
2.73684,0.0944601
2.74687,0.0899655
2.75689,0.207197
2.76692,0.331706
2.77694,0.348453
2.78697,0.259057
2.79699,0.177853
2.80702,0.212084
2.81704,0.349347
2.82707,0.466959
2.83709,0.453637
2.84712,0.320654
2.85714,0.190976
2.86717,0.178226
2.87719,0.276952
2.88722,0.372648
2.89724,0.358949
2.90727,0.243225
2.91729,0.13609
2.92732,0.13816
2.93734,0.239632
2.94737,0.332644
2.95739,0.32159
2.96742,0.218976
2.97744,0.131182
2.98747,0.150403
2.99749,0.262298
3.00752,0.360936
3.01754,0.353932
3.02757,0.251689
3.03759,0.153249
3.04762,0.146091
3.05764,0.221522
3.06767,0.288097
3.07769,0.265395
3.08772,0.161912
3.09774,0.0611879
3.10777,0.0353098
3.11779,0.0764236
3.12782,0.113964
3.13784,0.0948485
3.14787,0.0403153
3.15789,0.0205132
3.16792,0.075631
3.17794,0.168415
3.18797,0.219638
3.19799,0.190736
3.20802,0.127269
3.21805,0.11582
3.22807,0.195791
3.2381,0.315279
3.24812,0.377478
3.25815,0.333473
3.26817,0.230121
3.2782,0.165547
3.28822,0.195646
3.29825,0.282504
3.30827,0.333235
3.3183,0.28909
3.32832,0.177824
3.33835,0.081708
3.34837,0.0574154
3.3584,0.088002
3.36842,0.1103
3.37845,0.0839582
3.38847,0.0297949
3.3985,0.00143642
3.40852,0.0246979
3.41855,0.0703609
3.42857,0.0878295
3.4386,0.0617132
3.44862,0.0297123
3.45865,0.0420573
3.46867,0.105328
3.4787,0.170807
3.48872,0.181472
3.49875,0.130208
3.50877,0.0690022
3.5188,0.0583631
3.52882,0.10743
3.53885,0.165181
3.54887,0.171669
3.5589,0.117616
3.56892,0.0526541
3.57895,0.0348191
3.58897,0.0730177
3.599,0.120321
3.60902,0.123611
3.61905,0.0781283
3.62907,0.0315491
3.6391,0.0343551
3.64912,0.0877802
3.65915,0.142215
3.66917,0.14702
3.6792,0.10074
3.68922,0.0512875
3.69925,0.0470008
3.70927,0.0887698
3.7193,0.130855
3.72932,0.127751
3.73935,0.0784999
3.74937,0.0245525
3.7594,0.00603413
3.76942,0.0230824
3.77945,0.0413193
3.78947,0.0330194
