# 20260615_163512
# primespec:	data/AuAu200_cc_(0,5)plus15/primaryspec/spec_20260615_155932_167/spectr.txt
# qmax:	4
# ma:	1.24
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.603987
# [=>] Eabc:	0.62
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,222.043
0.0204082,222.375
0.0408163,223.549
0.0612245,225.309
0.0816327,227.447
0.102041,229.693
0.122449,232.47
0.142857,235.722
0.163265,239.286
0.183673,242.792
0.204082,246.962
0.22449,250.729
0.244898,255.199
0.265306,259.531
0.285714,263.087
0.306122,267.159
0.326531,271.136
0.346939,274.519
0.367347,277.359
0.387755,280.181
0.408163,282.749
0.428571,284.454
0.44898,285.009
0.469388,287.102
0.489796,290.765
0.510204,297.053
0.530612,300.513
0.55102,298.743
0.571429,285.005
0.591837,259.601
0.612245,229.692
0.632653,196.594
0.653061,162.506
0.673469,132.908
0.693878,110.482
0.714286,93.4233
0.734694,80.7282
0.755102,71.7628
0.77551,64.4308
0.795918,57.9385
0.816327,52.4288
0.836735,47.3015
0.857143,42.4483
0.877551,38.3554
0.897959,34.5613
0.918367,31.1173
0.938776,28.2895
0.959184,25.6869
0.979592,23.2956
1,21.3372
