# 20260615_161058
qT,primespec
0,1874.52
0.004004,1874.47
0.00800801,1874.42
0.012012,1874.25
0.016016,1873.69
0.02002,1872.8
0.024024,1871.09
0.028028,1868.25
0.032032,1864.42
0.036036,1858.48
0.04004,1850.82
0.044044,1840.73
0.048048,1827.65
0.0520521,1812.12
0.0560561,1792.74
0.0600601,1770.21
0.0640641,1744.07
0.0680681,1713.89
0.0720721,1680.65
0.0760761,1643.27
0.0800801,1602.87
0.0840841,1559.47
0.0880881,1513.07
0.0920921,1465
0.0960961,1414.73
0.1001,1363.59
0.104104,1311.95
0.108108,1260.06
0.112112,1209.29
0.116116,1159.26
0.12012,1111.11
0.124124,1065.12
0.128128,1021.25
0.132132,980.337
0.136136,941.941
0.14014,906.258
0.144144,873.348
0.148148,842.739
0.152152,814.154
0.156156,787.568
0.16016,762.129
0.164164,737.629
0.168168,713.874
0.172172,689.922
0.176176,666.001
0.18018,641.62
0.184184,616.457
0.188188,590.684
0.192192,564.278
0.196196,537.13
0.2002,509.82
0.204204,482.42
0.208208,455.201
0.212212,429.052
0.216216,403.637
0.22022,380.014
0.224224,358.31
0.228228,338.496
0.232232,321.626
0.236236,306.757
0.24024,294.62
0.244244,285.108
0.248248,277.392
0.252252,271.999
0.256256,268.041
0.26026,264.984
0.264264,262.728
0.268268,260.869
0.272272,258.583
0.276276,255.879
0.28028,252.584
0.284284,248.201
0.288288,242.654
0.292292,236.366
0.296296,228.904
0.3003,220.893
0.304304,212.561
0.308308,203.971
0.312312,195.992
0.316316,188.297
0.32032,181.725
0.324324,176.344
0.328328,171.924
0.332332,169.687
0.336336,168.344
0.34034,167.715
0.344344,168.28
0.348348,169.751
0.352352,171.236
0.356356,173.07
0.36036,174.221
0.364364,174.131
0.368368,173.761
0.372372,172.996
0.376376,170.193
0.38038,166.238
0.384384,161.614
0.388388,155.859
0.392392,149.918
0.396396,143.534
0.4004,137.383
0.404404,131.768
0.408408,126.632
0.412412,122.814
0.416416,119.567
0.42042,117.666
0.424424,117.304
0.428428,117.112
0.432432,117.171
0.436436,118.185
0.44044,119.184
0.444444,119.434
0.448448,119.58
0.452452,119.484
0.456456,117.899
0.46046,115.405
0.464464,112.306
0.468468,108.12
0.472472,103.668
0.476476,98.7052
0.48048,93.7867
0.484484,89.2152
0.488488,84.9458
0.492492,81.7337
0.496496,78.9573
0.500501,77.3298
0.504505,77.113
0.508509,77.0132
0.512513,77.0681
0.516517,78.0172
0.520521,79.1112
0.524525,79.6429
0.528529,80.0327
0.532533,80.0611
0.536537,79.0256
0.540541,77.3302
0.544545,75.1309
0.548549,72.0503
0.552553,68.8134
0.556557,65.2436
0.560561,61.8
0.564565,58.7381
0.568569,55.9734
0.572573,54.261
