# 20260615_161357
# primespec:	data/AuAu200_cc_(0,5)plus15/primaryspec/spec_20260615_160000_192/spectr.txt
# qmax:	4
# ma:	1.38286
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.677108
# [=>] Eabc:	0.69143
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,196.397
0.0204082,196.594
0.0408163,197.255
0.0612245,198.37
0.0816327,200.32
0.102041,202.149
0.122449,204.348
0.142857,206.679
0.163265,209.375
0.183673,212.31
0.204082,215.165
0.22449,218.463
0.244898,221.599
0.265306,225.048
0.285714,228.293
0.306122,231.976
0.326531,234.932
0.346939,237.975
0.367347,241.476
0.387755,244.253
0.408163,246.664
0.428571,248.742
0.44898,250.771
0.469388,252.675
0.489796,253.251
0.510204,254.297
0.530612,255.036
0.55102,256.517
0.571429,260.882
0.591837,265.49
0.612245,265.889
0.632653,260.16
0.653061,242.836
0.673469,220.537
0.693878,194.505
0.714286,165.446
0.734694,137.901
0.755102,114.836
0.77551,97.4208
0.795918,84.2859
0.816327,74.3984
0.836735,66.9981
0.857143,60.5102
0.877551,55.0447
0.897959,50.1909
0.918367,45.5068
0.938776,41.3273
0.959184,37.5974
0.979592,34.0816
1,31.0514
