# 20260615_155619
# initdata:	data/AuAu200_cc_(0,5)plus15/initdata.csv
# freezeout file: 	data/AuAu200_cc_(0,5)plus15/freezeout.csv
# particle mass:	0.394286
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,1899.77
0.0100251,1898.03
0.0200501,1893.08
0.0300752,1885.06
0.0401003,1872.24
0.0501253,1849.57
0.0601504,1808.97
0.0701754,1736.7
0.0802005,1626.43
0.0902256,1474.28
0.100251,1286.94
0.110276,1081.14
0.120301,880.076
0.130326,706.755
0.140351,576.488
0.150376,491.767
0.160401,441.974
0.170426,408.46
0.180451,372.939
0.190476,325.367
0.200501,267.509
0.210526,210.432
0.220551,167.329
0.230576,145.622
0.240602,142.708
0.250627,147.671
0.260652,147.75
0.270677,135.617
0.280702,113.035
0.290727,88.825
0.300752,72.6386
0.310777,68.6877
0.320802,73.3863
0.330827,78.2632
0.340852,75.8957
0.350877,64.744
0.360902,49.6829
0.370927,38.1313
0.380952,34.7097
0.390977,38.2422
0.401003,43.0476
0.411028,43.3272
0.421053,37.3067
0.431078,28.1609
0.441103,21.2719
0.451128,20.0741
0.461153,23.6481
0.471178,27.7254
0.481203,28.1191
0.491228,23.8364
0.501253,17.5531
0.511278,13.2755
0.521303,13.1743
0.531328,16.0714
0.541353,18.6155
0.551378,18.0399
0.561404,14.2454
0.571429,9.64205
0.581454,7.05463
0.591479,7.48483
0.601504,9.50584
0.611529,10.6282
0.621554,9.38532
0.631579,6.41077
0.641604,3.72762
0.651629,2.97689
0.661654,4.11514
0.671679,5.60743
0.681704,5.83496
0.691729,4.45522
0.701754,2.58509
0.711779,1.73965
0.721805,2.50507
0.73183,4.08432
0.741855,5.04728
0.75188,4.57474
0.761905,3.12029
0.77193,1.95382
0.781955,2.03835
0.79198,3.22488
0.802005,4.42926
0.81203,4.58779
0.822055,3.54292
0.83208,2.11871
0.842105,1.37258
0.85213,1.70495
0.862155,2.58241
0.87218,3.06289
0.882206,2.62055
0.892231,1.55182
0.902256,0.652735
0.912281,0.501187
0.922306,0.98964
0.932331,1.48886
0.942356,1.4495
0.952381,0.882674
0.962406,0.305984
0.972431,0.240073
0.982456,0.731231
0.992481,1.32564
1.00251,1.49622
1.01253,1.12002
1.02256,0.577049
1.03258,0.39589
1.04261,0.776337
1.05263,1.4155
1.06266,1.78038
1.07268,1.57204
1.08271,0.970764
1.09273,0.460351
1.10276,0.40442
1.11278,0.752146
1.12281,1.1165
1.13283,1.13108
1.14286,0.758422
1.15288,0.28906
1.16291,0.0592752
1.17293,0.158469
1.18296,0.383662
1.19298,0.458679
1.20301,0.297594
1.21303,0.0687334
1.22306,0.0142031
1.23308,0.207821
1.24311,0.482513
1.25313,0.591455
1.26316,0.446438
1.27318,0.207941
1.28321,0.141521
1.29323,0.372052
1.30326,0.760639
1.31328,1.01683
1.32331,0.946619
1.33333,0.617009
1.34336,0.295301
1.35338,0.221389
1.36341,0.413257
1.37343,0.668487
1.38346,0.748001
1.39348,0.57424
1.40351,0.276421
1.41353,0.0601021
1.42356,0.030345
1.43358,0.12451
1.44361,0.198128
1.45363,0.168172
1.46366,0.0772805
1.47368,0.0297259
1.48371,0.0746192
1.49373,0.155846
1.50376,0.175678
1.51378,0.104422
1.52381,0.0230966
1.53383,0.0518465
1.54386,0.229264
1.55388,0.459032
1.56391,0.580982
1.57393,0.50836
1.58396,0.308896
1.59398,0.154174
1.60401,0.177934
1.61404,0.364736
1.62406,0.563899
1.63409,0.614625
1.64411,0.474175
1.65414,0.243094
1.66416,0.0739484
1.67419,0.0483012
1.68421,0.125834
1.69424,0.19869
1.70426,0.191766
1.71429,0.11765
1.72431,0.0459514
1.73434,0.0276114
1.74436,0.0502814
1.75439,0.0629924
1.76441,0.0380623
1.77444,0.00424248
1.78446,0.0170943
1.79449,0.096966
1.80451,0.198206
1.81454,0.243609
1.82456,0.194627
1.83459,0.0914921
1.84461,0.023218
1.85464,0.051706
1.86466,0.15716
1.87469,0.253878
1.88471,0.262795
1.89474,0.17705
1.90476,0.0642758
1.91479,0.00623895
1.92481,0.0308973
1.93484,0.095502
1.94486,0.1313
1.95489,0.105827
1.96491,0.0466431
1.97494,0.00899771
1.98496,0.0216161
1.99499,0.062124
2.00501,0.0828492
2.01504,0.0596747
2.02506,0.0163237
2.03509,0.00141244
2.04511,0.0408029
2.05514,0.110644
2.06516,0.156543
2.07519,0.141282
2.08521,0.0776118
2.09524,0.0170113
2.10526,0.00548237
2.11529,0.0461247
2.12531,0.100194
2.13534,0.122755
2.14536,0.0993583
2.15539,0.0525399
2.16541,0.0166534
2.17544,0.00765265
2.18546,0.0154215
2.19549,0.0217225
2.20551,0.0220083
2.21554,0.0279728
2.22556,0.0496192
2.23559,0.0778015
2.24561,0.0882395
2.25564,0.0657177
2.26566,0.0248493
2.27569,0.00424087
2.28571,0.0350622
2.29574,0.110591
2.30576,0.185481
2.31579,0.208765
2.32581,0.164526
2.33584,0.0860191
2.34586,0.0306509
2.35589,0.0360658
2.36591,0.0928917
2.37594,0.154924
2.38596,0.17613
2.39599,0.143387
2.40602,0.0805518
2.41604,0.0252714
2.42607,0.00122813
2.43609,0.00763796
2.44612,0.029256
2.45614,0.0522288
2.46617,0.0703488
2.47619,0.0801339
2.48622,0.0758273
2.49624,0.0537707
2.50627,0.0223271
2.51629,0.00386074
2.52632,0.0208845
2.53634,0.0750941
2.54637,0.13887
2.55639,0.171251
2.56642,0.149126
2.57644,0.0883981
2.58647,0.0353438
2.59649,0.0322859
2.60652,0.0842379
2.61654,0.153925
2.62657,0.189994
2.63659,0.166035
2.64662,0.0993039
2.65664,0.0352481
2.66667,0.0118534
2.67669,0.0330937
2.68672,0.0711075
2.69674,0.0919136
2.70677,0.0813226
2.71679,0.0507289
2.72682,0.0219457
2.73684,0.00776627
2.74687,0.0055418
2.75689,0.00638315
2.76692,0.00765557
2.77694,0.015136
2.78697,0.0334458
2.79699,0.0561788
2.80702,0.067727
2.81704,0.0567735
2.82707,0.0288358
2.83709,0.00476799
2.84712,0.00468213
2.85714,0.0307084
2.86717,0.0640573
2.87719,0.0796701
2.88722,0.0662248
2.89724,0.0345021
2.90727,0.00739121
2.91729,0.000813971
2.92732,0.0122118
2.93734,0.0257211
2.94737,0.0280093
2.95739,0.0197859
2.96742,0.0129893
2.97744,0.0174033
2.98747,0.0301014
2.99749,0.0379591
3.00752,0.030835
3.01754,0.0128086
3.02757,0.000459294
3.03759,0.00899029
3.04762,0.0382073
3.05764,0.0708295
3.06767,0.0850719
3.07769,0.0712842
3.08772,0.0391943
3.09774,0.0103521
3.10777,0.00237686
3.11779,0.0173972
3.12782,0.0425711
3.13784,0.0605581
3.14787,0.0609926
3.15789,0.0451695
3.16792,0.0227877
3.17794,0.0052125
3.18797,0.000198045
3.19799,0.00970433
3.20802,0.0296939
3.21805,0.0510898
3.22807,0.0627579
3.2381,0.0571307
3.24812,0.0361444
3.25815,0.0126232
3.26817,0.00385164
3.2782,0.0199621
3.28822,0.055184
3.29825,0.0895847
3.30827,0.101694
3.3183,0.0836452
3.32832,0.0475701
3.33835,0.0178576
3.34837,0.0145143
3.3584,0.0395322
3.36842,0.0760049
3.37845,0.10011
3.38847,0.0969297
3.3985,0.0691139
3.40852,0.0334715
3.41855,0.00930818
3.42857,0.00709835
3.4386,0.0241757
3.44862,0.0483455
3.45865,0.0655546
3.46867,0.0668349
3.4787,0.05178
3.48872,0.0281234
3.49875,0.0080815
3.50877,0.00255038
3.5188,0.0151927
3.52882,0.0395228
3.53885,0.0616119
3.54887,0.0680066
3.5589,0.0544104
3.56892,0.0291133
3.57895,0.00804899
3.58897,0.00430768
3.599,0.0193339
3.60902,0.0421681
3.61905,0.0572464
3.62907,0.054977
3.6391,0.0374839
3.64912,0.0159132
3.65915,0.00209799
3.66917,0.00109811
3.6792,0.00953638
3.68922,0.0196823
3.69925,0.0251832
3.70927,0.024197
3.7193,0.0187225
3.72932,0.0120327
3.73935,0.0067082
3.74937,0.00416606
3.7594,0.00482517
3.76942,0.00800661
3.77945,0.0118036
3.78947,0.0138067
3.7995,0.0127363
3.80952,0.00965082
3.81955,0.007273
3.82957,0.00761164
3.8396,0.00997623
3.84962,0.0115013
3.85965,0.0100278
3.86967,0.00666423
3.8797,0.00522523
3.88972,0.0085658
3.89975,0.0151137
3.90977,0.019326
3.9198,0.0164562
3.92982,0.0076979
3.93985,0.000643248
3.94987,0.00364327
3.9599,0.0182549
3.96992,0.0364273
3.97995,0.045722
3.98997,0.0390813
4,0.0212723
