# 20260608_160406
# initdata:	data/AuAu200_cc_(0,5)plus5/initdata.csv
# freezeout file: 	data/AuAu200_cc_(0,5)plus5/freezeout.csv
# particle mass:	0.931429
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,1531.85
0.0100251,1535.7
0.0200501,1546.05
0.0300752,1559.47
0.0401003,1570.8
0.0501253,1574.05
0.0601504,1563.63
0.0701754,1535.65
0.0802005,1489.36
0.0902256,1427.48
0.100251,1356.15
0.110276,1283.67
0.120301,1218.31
0.130326,1166.05
0.140351,1128.66
0.150376,1103.04
0.160401,1082.22
0.170426,1057.57
0.180451,1021.94
0.190476,972.314
0.200501,911.088
0.210526,845.328
0.220551,784.106
0.230576,734.963
0.240602,700.782
0.250627,678.596
0.260652,660.797
0.270677,638.526
0.280702,605.657
0.290727,561.625
0.300752,511.704
0.310777,464.464
0.320802,427.601
0.330827,404.113
0.340852,390.941
0.350877,380.609
0.360902,365.293
0.370927,341.008
0.380952,309.674
0.390977,277.87
0.401003,252.951
0.411028,238.806
0.421053,233.446
0.431078,230.683
0.441103,223.575
0.451128,208.83
0.461153,188.629
0.471178,169.019
0.481203,155.88
0.491228,151.091
0.501253,151.405
0.511278,150.744
0.521303,144.343
0.531328,131.904
0.541353,117.63
0.551378,107.123
0.561404,103.395
0.571429,104.799
0.581454,106.338
0.591479,103.37
0.601504,94.9547
0.611529,84.4177
0.621554,76.7319
0.631579,74.736
0.641604,77.0394
0.651629,79.1866
0.661654,77.1144
0.671679,70.2491
0.681704,61.8208
0.691729,56.2257
0.701754,55.5538
0.711779,58.03
0.721805,59.5589
0.73183,57.0674
0.741855,50.919
0.75188,44.4817
0.761905,41.271
0.77193,42.0776
0.781955,44.4252
0.79198,44.7725
0.802005,41.4929
0.81203,36.1667
0.822055,32.1128
0.83208,31.4969
0.842105,33.5189
0.85213,35.2029
0.862155,34.0364
0.87218,30.1269
0.882206,26.0133
0.892231,24.3613
0.902256,25.6159
0.912281,27.679
0.922306,27.8405
0.932331,25.1933
0.942356,21.374
0.952381,19.0169
0.962406,19.3707
0.972431,21.2393
0.982456,22.1563
0.992481,20.6612
1.00251,17.5761
1.01253,15.1575
1.02256,14.9711
1.03258,16.4835
1.04261,17.6451
1.05263,16.8556
1.06266,14.44
1.07268,12.2739
1.08271,11.9636
1.09273,13.3377
1.10276,14.6579
1.11278,14.3037
1.12281,12.2952
1.13283,10.2153
1.14286,9.65469
1.15288,10.7006
1.16291,11.9088
1.17293,11.7382
1.18296,10.0287
1.19298,8.10297
1.20301,7.4411
1.21303,8.25464
1.22306,9.34225
1.23308,9.32039
1.24311,7.98532
1.25313,6.46908
1.26316,6.07696
1.27318,6.98987
1.28321,8.11594
1.29323,8.20607
1.30326,7.09606
1.31328,5.83867
1.32331,5.62325
1.33333,6.58289
1.34336,7.67676
1.35338,7.73759
1.36341,6.61558
1.37343,5.28417
1.38346,4.83587
1.39348,5.40272
1.40351,6.0757
1.41353,5.86432
1.42356,4.69718
1.43358,3.46033
1.44361,3.07384
1.45363,3.57645
1.46366,4.14275
1.47368,3.97725
1.48371,3.13821
1.49373,2.44809
1.50376,2.61149
1.51378,3.4742
1.52381,4.18798
1.53383,4.09284
1.54386,3.38959
1.55388,2.91064
1.56391,3.24078
1.57393,4.10645
1.58396,4.65859
1.59398,4.342
1.60401,3.44864
1.61404,2.7964
1.62406,2.88605
1.63409,3.41275
1.64411,3.61685
1.65414,3.0841
1.66416,2.15833
1.67419,1.56117
1.68421,1.64505
1.69424,2.06543
1.70426,2.18951
1.71429,1.77977
1.72431,1.22441
1.73434,1.09187
1.74436,1.50873
1.75439,2.02877
1.76441,2.11976
1.77444,1.73194
1.78446,1.33963
1.79449,1.4197
1.80451,1.93354
1.81454,2.36557
1.82456,2.26894
1.83459,1.733
1.84461,1.27989
1.85464,1.31135
1.86466,1.6983
1.87469,1.94016
1.88471,1.70851
1.89474,1.18891
1.90476,0.868258
1.91479,1.01061
1.92481,1.38865
1.93484,1.54686
1.94486,1.29828
1.95489,0.916454
1.96491,0.825992
1.97494,1.13677
1.98496,1.5252
1.99499,1.58146
2.00501,1.24053
2.01504,0.836642
2.02506,0.735517
2.03509,0.950928
2.04511,1.1531
2.05514,1.0433
2.06516,0.677388
2.07519,0.39207
2.08521,0.430123
2.09524,0.682897
2.10526,0.82753
2.11529,0.695997
2.12531,0.462785
2.13534,0.445582
2.14536,0.743732
2.15539,1.11644
2.16541,1.23651
2.17544,1.04218
2.18546,0.802378
2.19549,0.824112
2.20551,1.119
2.21554,1.38779
2.22556,1.33629
2.23559,0.981592
2.24561,0.625819
2.25564,0.536058
2.26566,0.678756
2.27569,0.7843
2.28571,0.654319
2.29574,0.370549
2.30576,0.188071
2.31579,0.247054
2.32581,0.427101
2.33584,0.496458
2.34586,0.377698
2.35589,0.229205
2.36591,0.256596
2.37594,0.471827
2.38596,0.672269
2.39599,0.662228
2.40602,0.46859
2.41604,0.310626
2.42607,0.358779
2.43609,0.549972
2.44612,0.661482
2.45614,0.558367
2.46617,0.340244
2.47619,0.228604
2.48622,0.323441
2.49624,0.498599
2.50627,0.5475
2.51629,0.413715
2.52632,0.251052
2.53634,0.250269
2.54637,0.426909
2.55639,0.603388
2.56642,0.601902
2.57644,0.433234
2.58647,0.277922
2.59649,0.28637
2.60652,0.420095
2.61654,0.502954
2.62657,0.417056
2.63659,0.224703
2.64662,0.0895419
2.65664,0.095553
2.66667,0.168397
2.67669,0.17845
2.68672,0.0978247
2.69674,0.0291433
2.70677,0.077682
2.71679,0.220019
2.72682,0.324556
2.73684,0.302234
2.74687,0.213618
2.75689,0.20548
2.76692,0.343526
2.77694,0.528673
2.78697,0.594529
2.79699,0.483071
2.80702,0.307048
2.81704,0.230805
2.82707,0.299227
2.83709,0.398826
2.84712,0.388322
2.85714,0.252082
2.86717,0.110601
2.87719,0.0837995
2.88722,0.162935
2.89724,0.230364
2.90727,0.197601
2.91729,0.102906
2.92732,0.0613419
2.93734,0.129083
2.94737,0.237875
2.95739,0.272191
2.96742,0.198959
2.97744,0.102614
2.98747,0.087888
2.99749,0.162319
3.00752,0.230918
3.01754,0.206355
3.02757,0.1079
3.03759,0.037726
3.04762,0.0640266
3.05764,0.145561
3.06767,0.183113
3.07769,0.137541
3.08772,0.0780631
3.09774,0.103904
3.10777,0.227193
3.11779,0.350641
3.12782,0.368331
3.13784,0.279838
3.14787,0.191624
3.15789,0.203132
3.16792,0.301156
3.17794,0.375708
3.18797,0.337432
3.19799,0.208562
3.20802,0.0931265
3.21805,0.0656289
3.22807,0.101683
3.2381,0.119942
3.24812,0.0791181
3.25815,0.0186236
3.26817,0.00311928
3.2782,0.0426171
3.28822,0.0830413
3.29825,0.075264
3.30827,0.0376482
3.3183,0.035915
3.32832,0.102704
3.33835,0.191712
3.34837,0.223071
3.3584,0.17127
3.36842,0.0958444
3.37845,0.0779241
3.38847,0.131938
3.3985,0.190769
3.40852,0.181092
3.41855,0.10502
3.42857,0.037542
3.4386,0.0435685
3.44862,0.107707
3.45865,0.154345
3.46867,0.13407
3.4787,0.0789749
3.48872,0.0654847
3.49875,0.127008
3.50877,0.21383
3.5188,0.244139
3.52882,0.189409
3.53885,0.101551
3.54887,0.0554243
3.5589,0.0723126
3.56892,0.106288
3.57895,0.102046
3.58897,0.0552155
3.599,0.00971014
3.60902,0.002125
3.61905,0.021584
3.62907,0.0300523
3.6391,0.01431
3.64912,0.00431509
3.65915,0.0349311
3.66917,0.0974581
3.6792,0.141508
3.68922,0.12924
3.69925,0.0809226
3.70927,0.057258
3.7193,0.0944823
3.72932,0.162974
3.73935,0.196137
3.74937,0.159497
3.7594,0.0857385
3.76942,0.0389442
3.77945,0.0482656
3.78947,0.0825017
3.7995,0.0897386
3.80952,0.0549618
3.81955,0.0123195
3.82957,0.00257214
3.8396,0.0271075
3.84962,0.0500422
3.85965,0.0425255
3.86967,0.0159532
3.8797,0.00638476
3.88972,0.0303382
3.89975,0.0644319
3.90977,0.0719902
3.9198,0.0446811
3.92982,0.0107921
3.93985,0.00176067
3.94987,0.0172069
3.9599,0.0291747
3.96992,0.0190312
3.97995,0.00174594
3.98997,0.00769259
4,0.0434262
