# 20251205_151202
qT,primespec
0,100571
0.004004,99660.7
0.00800801,98677.8
0.012012,97043.2
0.016016,94169.9
0.02002,90696.6
0.024024,86701.9
0.028028,82074.8
0.032032,77171.7
0.036036,71856.1
0.04004,66375.2
0.044044,60803.2
0.048048,55184.7
0.0520521,49707.7
0.0560561,44353.7
0.0600601,39261.3
0.0640641,34467.1
0.0680681,30000
0.0720721,25936.9
0.0760761,22240.5
0.0800801,18969.3
0.0840841,16092.1
0.0880881,13596.1
0.0920921,11498.7
0.0960961,9711.26
0.1001,8266.7
0.104104,7098.89
0.108108,6162.65
0.112112,5477.24
0.116116,4937.61
0.12012,4560.57
0.124124,4310.43
0.128128,4130.44
0.132132,4034.34
0.136136,3976.67
0.14014,3935.23
0.144144,3905.64
0.148148,3880.91
0.152152,3842.4
0.156156,3782.38
0.16016,3706.01
0.164164,3606.53
0.168168,3481.83
0.172172,3346.07
0.176176,3192.03
0.18018,3033
0.184184,2873.64
0.188188,2715.28
0.192192,2570.34
0.196196,2434.64
0.2002,2314.96
0.204204,2213.11
0.208208,2124.27
0.212212,2049.78
0.216216,1987.27
0.22022,1930.58
0.224224,1877.94
0.228228,1828.34
0.232232,1775.91
0.236236,1721.01
0.24024,1664.11
0.244244,1603.87
0.248248,1541.96
0.252252,1482.6
0.256256,1424.29
0.26026,1371.5
0.264264,1325.89
0.268268,1285.61
0.272272,1252.82
0.276276,1226.19
0.28028,1202.16
0.284284,1179.89
0.288288,1158.75
0.292292,1134.41
0.296296,1106.49
0.3003,1075.56
0.304304,1040.43
0.308308,1001.93
0.312312,964.078
0.316316,925.554
0.32032,890.621
0.324324,860.994
0.328328,835.211
0.332332,816.076
0.336336,801.834
0.34034,789.639
0.344344,778.883
0.348348,768.999
0.352352,756.334
0.356356,739.739
0.36036,720.202
0.364364,696.798
0.368368,669.818
0.372372,643.432
0.376376,616.365
0.38038,592.582
0.384384,573.693
0.388388,557.982
0.392392,548.392
0.396396,542.617
0.4004,537.897
0.404404,533.528
0.408408,529.444
0.412412,523.187
0.416416,512.298
0.42042,498.646
0.424424,482.428
0.428428,463.495
0.432432,446.129
0.436436,429.064
0.44044,415.673
0.444444,407.163
0.448448,400.86
0.452452,399.272
0.456456,399.214
0.46046,399.146
0.464464,397.895
0.468468,394.184
0.472472,388.85
0.476476,378.49
0.48048,365.668
0.484484,352.066
0.488488,337.364
0.492492,325.65
0.496496,315.378
0.500501,308.627
0.504505,306.542
0.508509,305.366
0.512513,304.321
0.516517,303.546
0.520521,302.483
0.524525,298.684
0.528529,290.515
0.532533,281.046
0.536537,268.67
0.540541,256.056
0.544545,244.936
0.548549,234.83
0.552553,229.455
0.556557,226.399
0.560561,224.846
0.564565,225.173
0.568569,226.094
0.572573,226.248
0.576577,223.514
0.580581,218.909
0.584585,212.417
0.588589,203.072
0.592593,194.401
0.596597,185.403
0.600601,179.019
0.604605,177.069
0.608609,175.933
0.612613,175.863
0.616617,178.901
0.620621,181.898
0.624625,181.889
0.628629,181.223
0.632633,179.911
0.636637,174.343
0.640641,166.858
0.644645,159.702
0.648649,152.306
0.652653,148.117
0.656657,145.741
0.660661,144.477
0.664665,145.293
0.668669,147.613
0.672673,148.479
0.676677,147.84
0.680681,146.551
0.684685,143.356
0.688689,136.677
0.692693,129.911
0.696697,122.492
0.700701,116.313
0.704705,112.936
0.708709,110.497
0.712713,109.867
0.716717,111.058
0.720721,112.299
0.724725,112.171
0.728729,111.307
0.732733,109.891
0.736737,105.808
0.740741,100.595
0.744745,95.7162
0.748749,90.8178
0.752753,89.2179
0.756757,89.2256
0.760761,89.2442
0.764765,90.3181
0.768769,93.4123
0.772773,94.7202
0.776777,94.5156
0.780781,94.0652
0.784785,92.3456
0.788789,88.0507
0.792793,84.1533
0.796797,80.3841
0.800801,77.8304
0.804805,77.8073
0.808809,78.4283
0.812813,79.2648
0.816817,80.9211
0.820821,82.3829
0.824825,81.9989
0.828829,79.9944
0.832833,77.3308
0.836837,72.818
0.840841,67.9002
0.844845,64.0933
0.848849,60.7089
0.852853,59.585
0.856857,59.9825
0.860861,60.648
0.864865,61.3813
0.868869,62.2753
0.872873,62.576
0.876877,60.9505
0.880881,58.1988
0.884885,55.0499
0.888889,51.1516
0.892893,48.9879
0.896897,48.0725
0.900901,47.5729
0.904905,48.2072
0.908909,50.6922
0.912913,52.712
0.916917,53.9745
0.920921,54.7865
0.924925,54.2852
0.928929,52.0404
0.932933,49.647
0.936937,46.7839
0.940941,44.5945
0.944945,44.4423
0.948949,44.7042
0.952953,45.1359
0.956957,46.696
0.960961,48.3724
0.964965,48.3976
0.968969,47.6432
0.972973,46.495
0.976977,43.71
0.980981,40.3029
0.984985,37.7041
0.988989,35.3489
0.992993,34.486
0.996997,34.9058
1.001,35.6455
1.00501,36.4146
1.00901,37.3459
1.01301,37.7278
1.01702,36.7498
1.02102,34.9978
1.02503,32.9599
1.02903,30.3401
1.03303,29.1604
1.03704,29.0412
1.04104,28.9826
1.04505,29.4587
1.04905,31.4309
1.05305,32.8393
1.05706,33.3092
1.06106,33.5795
1.06507,33.1583
1.06907,31.2402
1.07307,29.3899
1.07708,27.7138
1.08108,26.4757
1.08509,26.4649
1.08909,27.091
1.09309,27.8205
1.0971,28.7203
1.1011,29.5049
1.10511,29.372
1.10911,28.227
1.11311,26.7873
1.11712,24.6602
1.12112,22.6338
1.12513,21.8479
1.12913,21.4039
1.13313,21.2544
1.13714,22.1454
1.14114,23.4723
1.14515,23.8585
1.14915,24.0047
1.15315,24.0483
1.15716,22.9858
1.16116,21.267
1.16517,20.0512
1.16917,18.9708
1.17317,18.525
1.17718,19.034
1.18118,19.9832
1.18519,20.8275
1.18919,21.7426
1.19319,22.1659
1.1972,21.5595
1.2012,20.3573
1.20521,18.9247
1.20921,16.9597
1.21321,15.8735
1.21722,15.6153
1.22122,15.4739
1.22523,15.7119
1.22923,16.9393
1.23323,17.7285
1.23724,17.7411
1.24124,17.7473
1.24525,17.4541
1.24925,16.022
