# 20251205_151549
# primespec:	data/PbPb276_cc_(0,5)/primaryspec/spec_20251205_150425_249/spectr.txt
# qmax:	4
# ma:	1.70857
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.842735
# [=>] Eabc:	0.854285
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,912.81
0.0204082,913.181
0.0408163,914.306
0.0612245,916.204
0.0816327,918.914
0.102041,922.504
0.122449,927.104
0.142857,933.086
0.163265,940.409
0.183673,947.913
0.204082,955.867
0.22449,964.904
0.244898,974.248
0.265306,984.366
0.285714,995.389
0.306122,1007.18
0.326531,1019.82
0.346939,1033.13
0.367347,1047.12
0.387755,1061.96
0.408163,1078.36
0.428571,1095.02
0.44898,1112.97
0.469388,1132.31
0.489796,1151.97
0.510204,1173.66
0.530612,1196.31
0.55102,1220.87
0.571429,1247.12
0.591837,1275.38
0.612245,1306.94
0.632653,1341.82
0.653061,1379.39
0.673469,1422.85
0.693878,1470.72
0.714286,1527.34
0.734694,1593.84
0.755102,1675.35
0.77551,1773.81
0.795918,1969.5
0.816327,2204.23
0.836735,2053.84
0.857143,1419.83
0.877551,847.046
0.897959,554.213
0.918367,458.876
0.938776,396.761
0.959184,326.283
0.979592,281.183
1,245.08
