# 20251208_101818
qT,primespec
0,114032
0.004004,113234
0.00800801,112371
0.012012,110932
0.016016,108388
0.02002,105290
0.024024,101693
0.028028,97480.9
0.032032,92957.7
0.036036,87980
0.04004,82757
0.044044,77344.2
0.048048,71766.8
0.0520521,66196.2
0.0560561,60608.1
0.0600601,55134.2
0.0640641,49818.8
0.0680681,44694.9
0.0720721,39853.4
0.0760761,35279.7
0.0800801,31044.6
0.0840841,27150.9
0.0880881,23604.6
0.0920921,20439.5
0.0960961,17605.9
0.1001,15146.7
0.104104,13018.6
0.108108,11200.2
0.112112,9711.57
0.116116,8457.64
0.12012,7473.07
0.124124,6704.79
0.128128,6100.64
0.132132,5688.21
0.136136,5375.58
0.14014,5171.39
0.144144,5055.08
0.148148,4975.32
0.152152,4932.89
0.156156,4910.5
0.16016,4887.18
0.164164,4852.69
0.168168,4808.65
0.172172,4748.93
0.176176,4660.47
0.18018,4554.44
0.184184,4431.57
0.188188,4289.89
0.192192,4143.22
0.196196,3987.45
0.2002,3832.04
0.204204,3681.3
0.208208,3534.71
0.212212,3399.01
0.216216,3272.26
0.22022,3155.17
0.224224,3048.57
0.228228,2950.03
0.232232,2857.35
0.236236,2770.76
0.24024,2687.35
0.244244,2605.5
0.248248,2525.8
0.252252,2447.26
0.256256,2369.48
0.26026,2294.57
0.264264,2222.75
0.268268,2154.4
0.272272,2092.65
0.276276,2035.91
0.28028,1985.58
0.284284,1942.41
0.288288,1904.26
0.292292,1870.25
0.296296,1840.51
0.3003,1811.7
0.304304,1782.32
0.308308,1752.62
0.312312,1719.91
0.316316,1683.7
0.32032,1644.91
0.324324,1603.1
0.328328,1558.83
0.332332,1515.12
0.336336,1471.04
0.34034,1429.55
0.344344,1392.06
0.348348,1357.74
0.352352,1328.85
0.356356,1304.3
0.36036,1282.84
0.364364,1264.42
0.368368,1247.96
0.372372,1230.5
0.376376,1212.45
0.38038,1192.72
0.384384,1169.67
0.388388,1143.7
0.392392,1116
0.396396,1085.61
0.4004,1055
0.404404,1025.35
0.408408,996.609
0.412412,971.73
0.416416,949.649
0.42042,931.018
0.424424,916.532
0.428428,904.464
0.432432,893.533
0.436436,884.102
0.44044,874.335
0.444444,862.619
0.448448,849.328
0.452452,834.156
0.456456,816.106
0.46046,796.791
0.464464,776.937
0.468468,756.577
0.472472,738.341
0.476476,721.473
0.48048,707.233
0.484484,696.509
0.488488,687.766
0.492492,680.952
0.496496,675.958
0.500501,671.093
0.504505,665.192
0.508509,658.528
0.512513,650.318
0.516517,639.485
0.520521,627.137
0.524525,613.753
0.528529,599.215
0.532533,585.685
0.536537,572.723
0.540541,561.407
0.544545,552.639
0.548549,545.336
0.552553,539.531
0.556557,535.214
0.560561,531.02
0.564565,525.957
0.568569,520.251
0.572573,513.242
0.576577,503.983
0.580581,493.42
0.584585,482.016
0.588589,469.643
0.592593,458.277
0.596597,447.497
0.600601,438.294
0.604605,431.53
0.608609,426.074
0.612613,422.04
0.616617,419.312
0.620621,416.7
0.624625,413.295
0.628629,409.267
0.632633,404.215
0.636637,397.215
0.640641,389.194
0.644645,380.745
0.648649,371.733
0.652653,364.07
0.656657,357.129
0.660661,351.974
0.664665,349.385
0.668669,347.601
0.672673,347.124
0.676677,347.198
0.680681,347.271
0.684685,346.582
0.688689,344.07
0.692693,340.717
0.696697,335.203
0.700701,328.396
0.704705,321.367
0.708709,313.758
0.712713,307.378
0.716717,301.815
0.720721,297.602
0.724725,295.45
0.728729,294.041
0.732733,292.846
0.736737,291.952
0.740741,290.918
0.744745,288.734
0.748749,284.822
0.752753,280.101
0.756757,273.839
0.760761,266.914
0.764765,260.314
0.768769,253.75
0.772773,248.759
0.776777,244.868
0.780781,242.095
0.784785,240.86
0.788789,240.152
0.792793,239.256
0.796797,238.055
0.800801,236.457
0.804805,233.876
0.808809,229.85
0.812813,225.498
0.816817,220.523
0.820821,215.767
0.824825,212.061
0.828829,208.834
0.832833,207.622
0.836837,207.456
0.840841,207.378
0.844845,207.467
0.848849,207.757
0.852853,207.841
0.856857,206.275
0.860861,203.472
0.864865,200.068
0.868869,195.385
0.872873,190.905
0.876877,186.49
0.880881,182.808
0.884885,180.693
0.888889,179.134
0.892893,178.614
0.896897,178.602
0.900901,178.592
0.904905,178.21
0.908909,176.634
0.912913,174.484
0.916917,170.937
0.920921,166.505
0.924925,162.125
0.928929,157.488
0.932933,154.08
0.936937,151.497
0.940941,149.853
0.944945,149.824
0.948949,150.218
0.952953,150.407
0.956957,150.297
0.960961,150.037
0.964965,149.12
0.968969,146.403
0.972973,143.318
0.976977,139.686
0.980981,136.203
0.984985,133.996
0.988989,132.257
0.992993,131.652
0.996997,132.431
1.001,133.707
1.00501,134.765
1.00901,135.833
1.01301,136.244
1.01702,135.016
1.02102,132.66
1.02503,129.727
1.02903,125.542
1.03303,121.796
1.03704,118.286
1.04104,115.764
1.04505,115.506
1.04905,115.589
1.05305,115.74
1.05706,116.671
1.06106,117.771
1.06507,117.639
1.06907,116.264
1.07307,114.322
1.07708,110.919
1.08108,106.669
1.08509,102.853
1.08909,98.9899
1.09309,97.0989
1.0971,96.6772
1.1011,96.4564
1.10511,96.9146
1.10911,98.8676
1.11311,99.951
1.11712,99.9246
1.12112,99.8544
1.12513,99.1782
1.12913,96.3665
1.13313,93.3379
1.13714,90.1048
1.14114,87.453
1.14515,86.9845
1.14915,86.8925
1.15315,86.871
1.15716,88.2129
1.16116,90.2795
1.16517,91.1489
1.16917,91.6415
1.17317,91.8179
1.17718,90.342
1.18118,87.5557
1.18519,84.7675
1.18919,81.4979
1.19319,79.2181
1.1972,77.9347
1.2012,77.1182
1.20521,77.2561
1.20921,78.3481
1.21321,78.9992
1.21722,78.9787
1.22122,78.9219
1.22523,78.4105
1.22923,76.0495
1.23323,73.3257
1.23724,70.3884
1.24124,67.6462
1.24525,66.3225
1.24925,65.4778
1.25325,65.1511
1.25726,65.9459
1.26126,67.2738
1.26527,67.9301
1.26927,68.3405
1.27327,68.5062
1.27728,67.5056
1.28128,65.5366
1.28529,63.5774
1.28929,61.2374
1.29329,59.9624
1.2973,59.7641
1.3013,59.658
1.30531,59.928
1.30931,61.4668
1.31331,62.8067
1.31732,63.3973
1.32132,63.7867
1.32533,63.5902
1.32933,62.059
1.33333,60.2019
1.33734,58.1559
1.34134,56.1673
1.34535,55.2126
1.34935,54.6257
1.35335,54.3864
1.35736,54.8253
1.36136,55.5216
1.36537,55.6247
1.36937,55.3593
1.37337,54.9121
1.37738,53.6845
1.38138,51.7621
1.38539,50.0338
