# 20251208_101828
# primespec:	data/PbPb276_cc_(0,5)/primaryspec/spec_20251208_100017_442/spectr.txt
# qmax:	4
# ma:	1.80088
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.88949
# [=>] Eabc:	0.90044
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,860.434
0.0204082,860.744
0.0408163,861.681
0.0612245,863.258
0.0816327,865.505
0.102041,868.461
0.122449,872.194
0.142857,876.822
0.163265,882.721
0.183673,889.846
0.204082,896.951
0.22449,904.726
0.244898,912.819
0.265306,921.641
0.285714,930.909
0.306122,941.061
0.326531,951.776
0.346939,962.939
0.367347,974.938
0.387755,987.853
0.408163,1001.35
0.428571,1015.36
0.44898,1030.45
0.469388,1046.15
0.489796,1062.63
0.510204,1080.53
0.530612,1099.07
0.55102,1119.42
0.571429,1140.34
0.591837,1163.41
0.612245,1188.02
0.632653,1213.94
0.653061,1242.48
0.673469,1274
0.693878,1308.73
0.714286,1348.17
0.734694,1392.48
0.755102,1443.02
0.77551,1503.35
0.795918,1575.97
0.816327,1662.77
0.836735,1813.33
0.857143,2057.97
0.877551,2056.9
0.897959,1558.2
0.918367,976.039
0.938776,587.38
0.959184,470
0.979592,398.766
1,337.224
