# 20251205_151447
# primespec:	data/PbPb276_cc_(0,5)/primaryspec/spec_20251205_150330_215/spectr.txt
# qmax:	4
# ma:	1.51429
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.744089
# [=>] Eabc:	0.757145
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1039.04
0.0204082,1039.65
0.0408163,1041.37
0.0612245,1044.29
0.0816327,1048.55
0.102041,1054.69
0.122449,1062.11
0.142857,1070.03
0.163265,1079.28
0.183673,1089.54
0.204082,1100.49
0.22449,1113.18
0.244898,1126.1
0.265306,1140.59
0.285714,1156.63
0.306122,1173.63
0.326531,1191.87
0.346939,1211.28
0.367347,1232.12
0.387755,1254.22
0.408163,1277.86
0.428571,1303.75
0.44898,1330.55
0.469388,1359.94
0.489796,1391.61
0.510204,1426.25
0.530612,1464.91
0.55102,1506.93
0.571429,1554.36
0.591837,1607.34
0.612245,1669.26
0.632653,1740.54
0.653061,1832.17
0.673469,1937.01
0.693878,2129.66
0.714286,2424.85
0.734694,2369.14
0.755102,1695.6
0.77551,995.07
0.795918,606.655
0.816327,489.041
0.836735,408.871
0.857143,344.114
0.877551,289.168
0.897959,249.399
0.918367,216.487
0.938776,188.521
0.959184,166.631
0.979592,147.808
1,131.217
