# 20251205_151709
qT,primespec
0,115187
0.004004,114439
0.00800801,113628
0.012012,112275
0.016016,109878
0.02002,106951
0.024024,103543
0.028028,99534.8
0.032032,95210.9
0.036036,90427.4
0.04004,85379.4
0.044044,80114.9
0.048048,74654
0.0520521,69161.3
0.0560561,63610.2
0.0600601,58131.1
0.0640641,52768.4
0.0680681,47557.7
0.0720721,42595.1
0.0760761,37869.2
0.0800801,33458.6
0.0840841,29371.2
0.0880881,25620.6
0.0920921,22251.7
0.0960961,19217.3
0.1001,16566.1
0.104104,14257.2
0.108108,12272.5
0.112112,10636.6
0.116116,9252.41
0.12012,8156.21
0.124124,7293.6
0.128128,6609.9
0.132132,6131.14
0.136136,5764.49
0.14014,5514.04
0.144144,5358.71
0.148148,5247.76
0.152152,5178.08
0.156156,5133.96
0.16016,5092.29
0.164164,5044.27
0.168168,4992.23
0.172172,4926.03
0.176176,4839.03
0.18018,4738.69
0.184184,4624.82
0.188188,4496.85
0.192192,4364.84
0.196196,4225.97
0.2002,4086.41
0.204204,3949.44
0.208208,3814.26
0.212212,3684.41
0.216216,3559.38
0.22022,3438.77
0.224224,3322.77
0.228228,3210.77
0.232232,3101.53
0.236236,2995.04
0.24024,2891.53
0.244244,2790.43
0.248248,2692.47
0.252252,2599.62
0.256256,2510.58
0.26026,2428.44
0.264264,2353.85
0.268268,2285.87
0.272272,2227.22
0.276276,2175.84
0.28028,2131.04
0.284284,2092.95
0.288288,2059.33
0.292292,2027.09
0.296296,1997.06
0.3003,1966.18
0.304304,1932.29
0.308308,1896.05
0.312312,1856.53
0.316316,1812.75
0.32032,1766.88
0.324324,1719.42
0.328328,1670.83
0.332332,1624.86
0.336336,1580.44
0.34034,1540.16
0.344344,1505.31
0.348348,1474.41
0.352352,1448.63
0.356356,1427.25
0.36036,1407.91
0.364364,1389.93
0.368368,1372.93
0.372372,1353.77
0.376376,1332.28
0.38038,1308.33
0.384384,1280.74
0.388388,1249.77
0.392392,1217.66
0.396396,1183.44
0.4004,1149.93
0.404404,1118.55
0.408408,1088.98
0.412412,1064.31
0.416416,1043.17
0.42042,1025.76
0.424424,1012.63
0.428428,1001.88
0.432432,991.564
0.436436,982.184
0.44044,971.996
0.444444,959.049
0.448448,943.594
0.452452,925.943
0.456456,904.81
0.46046,882.233
0.464464,859.236
0.468468,835.818
0.472472,815.164
0.476476,796.223
0.48048,780.669
0.484484,769.502
0.488488,760.668
0.492492,754.529
0.496496,750.588
0.500501,746.805
0.504505,741.884
0.508509,736.066
0.512513,728.417
0.516517,717.249
0.520521,703.886
0.524525,688.891
0.528529,671.942
0.532533,655.791
0.536537,639.84
0.540541,625.816
0.544545,614.905
0.548549,605.813
0.552553,599.661
0.556557,595.74
0.560561,592.344
0.564565,588.739
0.568569,585.106
0.572573,580.075
0.576577,572.203
0.580581,562.346
0.584585,550.676
0.588589,536.733
0.592593,522.92
0.596597,508.727
0.600601,495.792
0.604605,485.341
0.608609,476.383
0.612613,470.392
0.616617,466.536
0.620621,463.48
0.624625,460.841
0.628629,458.575
0.632633,455.333
0.636637,449.992
0.640641,443.133
0.644645,434.761
0.648649,424.455
0.652653,414.321
0.656657,403.861
0.660661,394.682
0.664665,387.821
0.668669,382.16
0.672673,380.134
0.676677,379.718
0.680681,379.528
0.684685,379.683
0.688689,380.119
0.692693,380.161
0.696697,377.427
0.700701,372.736
0.704705,366.793
0.708709,358.456
0.712713,350.059
0.716717,341.228
0.720721,333.306
0.724725,327.441
0.728729,322.579
0.732733,320.61
0.736737,320.146
0.740741,319.837
0.744745,319.52
0.748749,319.24
0.752753,318.616
0.756757,315.359
0.760761,310.178
0.764765,303.999
0.768769,295.905
0.772773,288
0.776777,279.981
0.780781,273.019
0.784785,268.18
0.788789,264.276
0.792793,262.928
0.796797,262.829
0.800801,262.751
0.804805,262.541
0.808809,262.102
0.812813,261.312
0.816817,258.415
0.820821,254.035
0.824825,249.166
0.828829,243.242
0.832833,238.038
0.836837,233.14
0.840841,229.574
0.844845,228.487
0.848849,227.895
0.852853,227.761
0.856857,228.776
0.860861,229.922
0.864865,229.755
0.868869,228.565
0.872873,226.789
0.876877,222.97
0.880881,217.841
0.884885,212.685
0.888889,207.058
0.892893,202.62
0.896897,198.925
0.900901,196.448
0.904905,196.032
