# 20251205_145919
# initdata:	data/PbPb276_cc_(0,5)/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)/freezeout.csv
# particle mass:	0.68
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,89652
0.0100251,87095.2
0.0200501,79823.6
0.0300752,68940
0.0401003,55998.3
0.0501253,42670.8
0.0601504,30426.1
0.0701754,20297.9
0.0802005,12780.6
0.0902256,7851.94
0.100251,5091.49
0.110276,3855.71
0.120301,3465.99
0.130326,3368.96
0.140351,3232.24
0.150376,2953.46
0.160401,2589.11
0.170426,2243.74
0.180451,1978.32
0.190476,1781.94
0.200501,1606.92
0.210526,1424.93
0.220551,1251.78
0.230576,1123.2
0.240602,1050.53
0.250627,1003.65
0.260652,938.683
0.270677,841.457
0.280702,740.079
0.290727,672.757
0.300752,645.466
0.310777,625.827
0.320802,579.644
0.330827,508.651
0.340852,446.37
0.350877,417.663
0.360902,409.992
0.370927,390.219
0.380952,345.632
0.390977,298.558
0.401003,277.076
0.411028,279.44
0.421053,277.257
0.431078,252.416
0.441103,219.328
0.451128,204.011
0.461153,208.772
0.471178,209.744
0.481203,189.611
0.491228,160.335
0.501253,145.447
0.511278,147.548
0.521303,146.375
0.531328,128.757
0.541353,107.068
0.551378,100.531
0.561404,107.512
0.571429,108.927
0.581454,96.5138
0.591479,83.7949
0.601504,84.4537
0.611529,91.4987
0.621554,88.2333
0.631579,73.4362
0.641604,62.4342
0.651629,63.4661
0.661654,66.1496
0.671679,58.9045
0.681704,47.1992
0.691729,44.3728
0.701754,50.486
0.711779,52.6771
0.721805,45.5857
0.73183,38.9598
0.741855,41.0729
0.75188,45.3905
0.761905,41.5692
0.77193,32.2336
0.781955,28.387
0.79198,31.7393
0.802005,32.9007
0.81203,27.4585
0.822055,22.886
0.83208,25.4631
0.842105,29.6433
0.85213,27.356
0.862155,21.1196
0.87218,19.2304
0.882206,21.8626
0.892231,21.5566
0.902256,16.4674
0.912281,13.4783
0.922306,16.3322
0.932331,19.4355
0.942356,17.5604
0.952381,14.3663
0.962406,15.3828
0.972431,18.1538
0.982456,16.5729
0.992481,11.4863
1.00251,9.1874
1.01253,10.8562
1.02256,11.3247
1.03258,8.67323
1.04261,7.47111
1.05263,10.3228
1.06266,12.9915
1.07268,11.585
1.08271,8.93937
1.09273,9.21007
1.10276,10.6292
1.11278,9.10257
1.12281,5.78046
1.13283,5.08406
1.14286,7.03051
1.15288,7.55365
1.16291,5.82674
1.17293,5.32857
1.18296,7.13516
1.19298,7.83389
1.20301,5.69714
1.21303,3.80233
1.22306,4.58637
1.23308,5.79179
1.24311,4.89029
1.25313,3.66873
1.26316,4.73309
1.27318,6.55225
1.28321,6.07363
1.29323,4.029
1.30326,3.40502
1.31328,4.15118
1.32331,3.72166
1.33333,2.06581
1.34336,1.75549
1.35338,3.23106
1.36341,4.04149
1.37343,3.31428
1.38346,3.09631
1.39348,4.25724
1.40351,4.71425
1.41353,3.24813
1.42356,1.79775
1.43358,2.0616
1.44361,2.71064
1.45363,2.14359
1.46366,1.44813
1.47368,2.15325
1.48371,3.1862
1.49373,2.74794
1.50376,1.54753
1.51378,1.4196
1.52381,2.04748
1.53383,1.83943
1.54386,1.08998
1.55388,1.41129
1.56391,2.59287
1.57393,2.84542
1.58396,1.96245
1.59398,1.53921
1.60401,1.982
1.61404,1.92051
1.62406,0.943237
1.63409,0.415246
1.64411,0.948976
1.65414,1.37946
1.66416,1.06478
1.67419,1.03094
1.68421,1.83047
1.69424,2.29035
1.70426,1.59107
1.71429,0.782059
1.72431,0.913073
1.73434,1.28329
1.74436,0.955835
1.75439,0.537945
1.76441,0.916229
1.77444,1.48309
1.78446,1.23293
1.79449,0.590183
1.80451,0.541845
1.81454,0.832876
1.82456,0.6365
1.83459,0.27203
1.84461,0.604291
1.85464,1.30907
1.86466,1.38056
1.87469,0.943996
1.88471,0.945579
1.89474,1.33881
1.90476,1.19898
1.91479,0.495883
1.92481,0.168006
1.93484,0.434571
1.94486,0.548263
1.95489,0.320784
1.96491,0.416872
1.97494,0.923181
1.98496,1.04969
1.99499,0.580426
2.00501,0.289879
2.01504,0.529516
2.02506,0.672168
2.03509,0.408517
2.04511,0.35341
2.05514,0.810675
2.06516,1.0999
2.07519,0.751864
2.08521,0.318979
2.09524,0.32765
2.10526,0.410358
2.11529,0.183799
2.12531,0.0562512
2.13534,0.394983
2.14536,0.73597
2.15539,0.618908
2.16541,0.441239
2.17544,0.669599
2.18546,0.916061
2.19549,0.652602
2.20551,0.20875
2.21554,0.179447
2.22556,0.391305
2.23559,0.339085
2.24561,0.163252
2.25564,0.297163
2.26566,0.551509
2.27569,0.447017
2.28571,0.131609
2.29574,0.100874
2.30576,0.287307
2.31579,0.276052
2.32581,0.173902
2.33584,0.396733
2.34586,0.781746
2.35589,0.779429
2.36591,0.416017
2.37594,0.230663
2.38596,0.325583
2.39599,0.295203
2.40602,0.0717403
2.41604,0.0320573
2.42607,0.229097
2.43609,0.290227
2.44612,0.156078
2.45614,0.183669
2.46617,0.412327
2.47619,0.44482
2.48622,0.197482
2.49624,0.077329
2.50627,0.240631
2.51629,0.338863
2.52632,0.203907
2.53634,0.145149
2.54637,0.321986
2.55639,0.421939
2.56642,0.239827
2.57644,0.0336193
2.58647,0.0263097
2.59649,0.0604687
2.60652,0.0199349
2.61654,0.0993236
2.62657,0.362524
2.63659,0.501713
2.64662,0.343443
2.65664,0.163868
2.66667,0.198716
2.67669,0.256928
2.68672,0.134135
2.69674,0.00719969
2.70677,0.0784397
2.71679,0.189754
2.72682,0.135114
2.73684,0.0346505
2.74687,0.0653233
2.75689,0.11916
2.76692,0.0540546
2.77694,0.00174579
2.78697,0.105262
2.79699,0.216322
2.80702,0.171025
2.81704,0.111811
2.82707,0.215256
2.83709,0.338592
2.84712,0.263171
2.85714,0.0779158
2.86717,0.00301946
2.87719,0.0250578
2.88722,0.0124988
2.89724,0.00844549
2.90727,0.103851
2.91729,0.188929
2.92732,0.128288
2.93734,0.0290367
2.94737,0.0533734
2.95739,0.121523
2.96742,0.0812928
2.97744,0.0142701
2.98747,0.0800079
2.99749,0.197681
3.00752,0.179969
3.01754,0.0643176
3.02757,0.0244955
3.03759,0.0603228
3.04762,0.0517402
3.05764,0.0195253
3.06767,0.0613122
3.07769,0.123678
3.08772,0.101561
3.09774,0.0699229
3.10777,0.153873
3.11779,0.261737
3.12782,0.216206
3.13784,0.0683665
3.14787,0.011778
3.15789,0.056649
3.16792,0.0585728
3.17794,0.00869715
3.18797,0.0236775
3.19799,0.0910856
3.20802,0.0874727
3.21805,0.0198872
3.22807,0.00468555
3.2381,0.0384384
3.24812,0.0282422
3.25815,0.0121819
3.26817,0.10316
3.2782,0.241418
3.28822,0.252094
3.29825,0.136749
3.30827,0.0671593
3.3183,0.0946065
3.32832,0.101547
3.33835,0.0453762
3.34837,0.01768
3.3584,0.0443054
3.36842,0.0448356
3.37845,0.0123976
3.38847,0.02903
3.3985,0.084117
3.40852,0.0765012
3.41855,0.0139486
3.42857,0.0127227
3.4386,0.0808416
3.44862,0.0997841
3.45865,0.0458351
3.46867,0.0324789
3.4787,0.0971196
3.48872,0.133943
3.49875,0.0840073
3.50877,0.0205834
3.5188,0.0023109
3.52882,0.000504152
3.53885,0.00806166
3.54887,0.0641916
3.5589,0.136916
3.56892,0.133177
3.57895,0.0585362
3.58897,0.0209719
3.599,0.0501469
3.60902,0.0609437
3.61905,0.0211195
3.62907,0.0028767
3.6391,0.0353042
3.64912,0.0520026
3.65915,0.0223698
3.66917,0.000113789
3.6792,0.00961429
3.68922,0.0123446
3.69925,0.00881342
3.70927,0.0445016
3.7193,0.0976164
3.72932,0.094092
3.73935,0.0489768
3.74937,0.0554161
3.7594,0.117264
3.76942,0.133803
3.77945,0.0714916
3.78947,0.0112465
3.7995,0.00209089
3.80952,0.00451497
3.81955,0.00104399
3.82957,0.0264425
3.8396,0.0655351
3.84962,0.0555417
3.85965,0.010307
3.86967,0.009194
3.8797,0.0494365
3.88972,0.0501611
3.89975,0.0144491
3.90977,0.0342469
3.9198,0.112985
3.92982,0.140684
3.93985,0.079152
3.94987,0.0201247
3.9599,0.0212664
3.96992,0.0319224
3.97995,0.0210436
3.98997,0.032215
4,0.069305
