# 20251205_150514
# initdata:	data/PbPb276_cc_(0,5)/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)/freezeout.csv
# particle mass:	1.88571
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,115579
0.0100251,113365
0.0200501,106956
0.0300752,97015.3
0.0401003,84531.5
0.0501253,70677.1
0.0601504,56642.1
0.0701754,43481.1
0.0802005,31996
0.0902256,22669.2
0.100251,15653.2
0.110276,10810.6
0.120301,7792.54
0.130326,6137.04
0.140351,5366.58
0.150376,5067.88
0.160401,4939.66
0.170426,4805.9
0.180451,4597.47
0.190476,4315.59
0.200501,3992.14
0.210526,3660.26
0.220551,3341.09
0.230576,3044.75
0.240602,2777.46
0.250627,2546.45
0.260652,2358.28
0.270677,2213.8
0.280702,2103.28
0.290727,2008.89
0.300752,1912.88
0.310777,1806.82
0.320802,1695.24
0.330827,1590.91
0.340852,1504.63
0.350877,1437.15
0.360902,1378.77
0.370927,1316.83
0.380952,1245.45
0.390977,1169.48
0.401003,1100.09
0.411028,1045.45
0.421053,1004.16
0.431078,966.814
0.441103,924.147
0.451128,874.709
0.461153,825.76
0.471178,786.342
0.481203,759.12
0.491228,738.007
0.501253,713.812
0.511278,682.514
0.521303,648.654
0.531328,620.555
0.541353,601.967
0.551378,588.106
0.561404,570.063
0.571429,543.461
0.581454,512.936
0.591479,487.825
0.601504,473.051
0.611529,464.129
0.621554,451.498
0.631579,430.177
0.641604,405.141
0.651629,386.726
0.661654,380.323
0.671679,380.642
0.681704,376.589
0.691729,362.129
0.701754,342.163
0.711779,327.284
0.721805,322.663
0.73183,322.583
0.741855,316.442
0.75188,299.971
0.761905,279.825
0.77193,266.543
0.781955,263.351
0.79198,262.926
0.802005,255.661
0.81203,240.43
0.822055,225.931
0.83208,221.006
0.842105,224.619
0.85213,226.737
0.862155,219.278
0.87218,204.916
0.882206,193.853
0.892231,192.2
0.902256,195.173
0.912281,192.773
0.922306,181.328
0.932331,167.581
0.942356,160.737
0.952381,161.94
0.962406,163.463
0.972431,158.259
0.982456,148.291
0.992481,141.756
1.00251,142.829
1.01253,146.519
1.02256,144.807
1.03258,136.353
1.04261,127.836
1.05263,125.469
1.06266,127.372
1.07268,126.236
1.08271,118.693
1.09273,109.526
1.10276,105.565
1.11278,107.215
1.12281,108.342
1.13283,104.356
1.14286,97.9335
1.15288,95.1501
1.16291,97.3879
1.17293,99.6164
1.18296,97.0339
1.19298,91.0884
1.20301,87.0785
1.21303,86.9229
1.22306,86.9374
1.23308,83.3244
1.24311,77.5519
1.25313,74.2245
1.26316,74.6135
1.27318,75.0038
1.28321,72.1336
1.29323,67.9637
1.30326,66.9252
1.31328,69.4519
1.32331,71.0105
1.33333,68.2011
1.34336,63.444
1.35338,61.5799
1.36341,63.0587
1.37343,63.314
1.38346,59.2769
1.39348,53.8433
1.40351,51.9252
1.41353,53.6345
1.42356,54.2704
1.43358,51.1193
1.44361,47.3335
1.45363,47.3258
1.46366,50.3076
1.47368,51.2993
1.48371,48.1724
1.49373,44.5809
1.50376,44.5659
1.51378,46.6751
1.52381,46.1158
1.53383,41.7715
1.54386,37.8754
1.55388,37.9639
1.56391,39.9508
1.57393,39.3929
1.58396,35.9902
1.59398,33.8175
1.60401,35.1646
1.61404,37.2592
1.62406,36.5276
1.63409,33.8198
1.64411,32.8101
1.65414,34.245
1.66416,34.858
1.67419,32.4772
1.68421,29.4055
1.69424,28.9238
1.70426,30.3387
1.71429,30.1476
1.72431,27.4431
1.73434,25.2451
1.74436,25.8284
1.75439,27.3342
1.76441,26.7993
1.77444,24.737
1.78446,24.1388
1.79449,25.6156
1.80451,26.399
1.81454,24.7388
1.82456,22.6905
1.83459,22.8512
1.84461,24.211
1.85464,23.6949
1.86466,20.9975
1.87469,19.098
1.88471,19.6666
1.89474,20.6
1.90476,19.501
1.91479,17.5047
1.92481,17.4086
1.93484,19.1733
1.94486,19.9935
1.95489,18.7415
1.96491,17.6287
1.97494,18.4672
1.98496,19.6203
1.99499,18.5776
2.00501,16.0018
2.01504,14.7405
2.02506,15.4075
2.03509,15.6094
2.04511,13.9574
2.05514,12.3456
2.06516,12.8876
