# 20251208_095038
# initdata:	data/PbPb276_cc_(0,5)/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)/freezeout.csv
# particle mass:	0.451657
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,85901.7
0.0100251,82840.1
0.0200501,74239.1
0.0300752,61693
0.0401003,47383.3
0.0501253,33523.1
0.0601504,21839.1
0.0701754,13245.6
0.0802005,7788.01
0.0902256,4852.45
0.100251,3531.92
0.110276,2994.35
0.120301,2707.46
0.130326,2459.18
0.140351,2225.77
0.150376,2015.13
0.160401,1796.81
0.170426,1535.51
0.180451,1250.65
0.190476,1014.95
0.200501,884.404
0.210526,836.92
0.220551,792.361
0.230576,695.653
0.240602,570.374
0.250627,482.44
0.260652,458.39
0.270677,456.374
0.280702,421.639
0.290727,353.557
0.300752,299.606
0.310777,288.437
0.320802,292.696
0.330827,268.977
0.340852,216.957
0.350877,176.373
0.360902,169.756
0.370927,173.412
0.380952,155.436
0.390977,122.159
0.401003,105.77
0.411028,114.865
0.421053,122.823
0.431078,108.887
0.441103,87.5096
0.451128,82.8383
0.461153,90.6874
0.471178,86.8929
0.481203,66.2075
0.491228,49.5747
0.501253,50.4546
0.511278,55.4226
0.521303,48.2804
0.531328,36.2259
0.541353,36.1017
0.551378,45.6069
0.561404,47.2387
0.571429,36.8178
0.581454,28.8264
0.591479,31.4306
0.601504,34.0449
0.611529,26.847
0.621554,17.5947
0.631579,17.8889
0.641604,23.7917
0.651629,23.5643
0.661654,17.6315
0.671679,16.3356
0.681704,20.9729
0.691729,21.7097
0.701754,15.0026
0.711779,9.49704
0.721805,10.96
0.73183,13.3355
0.741855,10.6695
0.75188,7.63735
0.761905,10.3699
0.77193,14.9161
0.781955,13.9424
0.79198,9.17769
0.802005,7.67337
0.81203,9.44452
0.822055,8.54197
0.83208,4.51427
0.842105,3.17671
0.85213,5.99001
0.862155,7.69147
0.87218,5.92213
0.882206,4.93762
0.892231,7.15212
0.902256,8.50505
0.912281,5.91738
0.922306,2.88056
0.932331,3.1955
0.942356,4.65454
0.952381,3.79718
0.962406,2.32897
0.972431,3.48311
0.982456,5.63441
0.992481,5.10296
1.00251,2.69791
1.01253,1.98956
1.02256,2.93499
1.03258,2.62512
1.04261,1.16426
1.05263,1.43768
1.06266,3.48172
1.07268,4.20863
1.08271,2.90626
1.09273,2.23179
1.10276,3.1231
1.11278,3.24904
1.12281,1.60067
1.13283,0.421999
1.14286,1.08273
1.15288,1.81668
1.16291,1.301
1.17293,1.02218
1.18296,2.09797
1.19298,2.87905
1.20301,1.93529
1.21303,0.707177
1.22306,0.875157
1.23308,1.49067
1.24311,1.09495
1.25313,0.542107
1.26316,1.20652
1.27318,2.1893
1.28321,1.87568
1.29323,0.820729
1.30326,0.593021
1.31328,0.962176
1.32331,0.689503
1.33333,0.102336
1.34336,0.425025
1.35338,1.30679
1.36341,1.40043
1.37343,0.85282
1.38346,0.925546
1.39348,1.53324
1.40351,1.40823
1.41353,0.507572
1.42356,0.0940719
1.43358,0.459431
1.44361,0.60959
1.45363,0.288456
1.46366,0.350777
1.47368,0.917768
1.48371,1.02512
1.49373,0.435303
1.50376,0.0823984
1.51378,0.339229
1.52381,0.468715
1.53383,0.208168
1.54386,0.308216
1.55388,0.979565
1.56391,1.30657
1.57393,0.820135
1.58396,0.289069
1.59398,0.314651
1.60401,0.413547
1.61404,0.157441
1.62406,0.0105254
1.63409,0.316021
1.64411,0.556414
1.65414,0.355985
1.66416,0.207836
1.67419,0.482156
1.68421,0.6712
1.69424,0.357468
1.70426,0.029972
1.71429,0.181046
1.72431,0.429089
1.73434,0.30656
