# 20251208_095342
# initdata:	data/PbPb276_cc_(0,5)/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)/freezeout.csv
# particle mass:	0.870499
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,98031.5
0.0100251,95433.5
0.0200501,88008.7
0.0300752,76790.7
0.0401003,63272.4
0.0501253,49118.2
0.0601504,35860.3
0.0701754,24644.9
0.0802005,16085.4
0.0902256,10244.5
0.100251,6741.23
0.110276,4939.29
0.120301,4158.34
0.130326,3843.17
0.140351,3648.06
0.150376,3428.29
0.160401,3167.84
0.170426,2893.8
0.180451,2621.82
0.190476,2348.57
0.200501,2073.8
0.210526,1817.81
0.220551,1614.15
0.230576,1481.71
0.240602,1404.23
0.250627,1338.51
0.260652,1247.25
0.270677,1128.07
0.280702,1011.96
0.290727,932.104
0.300752,891.829
0.310777,862.22
0.320802,811.159
0.330827,734.644
0.340852,658.77
0.350877,610.937
0.360902,590.814
0.370927,571.783
0.380952,530.766
0.390977,473.314
0.401003,426.329
0.411028,407.031
0.421053,403.711
0.431078,390.088
0.441103,356.082
0.451128,318.646
0.461153,300.278
0.471178,301.513
0.481203,300.726
0.491228,280.933
0.501253,250.046
0.511278,229.693
0.521303,227.415
0.531328,227.794
0.541353,213.253
0.551378,186.926
0.561404,167.864
0.571429,165.63
0.581454,168.363
0.591479,159.713
0.601504,141.074
0.611529,128.874
0.621554,131.334
0.631579,137.136
0.641604,131.379
0.651629,116.001
0.661654,106.087
0.671679,107.984
0.681704,110.646
0.691729,102.079
0.701754,86.6411
0.711779,78.3301
0.721805,80.529
0.73183,81.9911
0.741855,74.2928
0.75188,64.2949
0.761905,63.2883
0.77193,69.6782
0.781955,71.366
0.79198,63.8238
0.802005,56.3006
0.81203,57.1403
0.822055,61.0456
0.83208,57.5822
0.842105,47.3362
0.85213,40.8292
0.862155,42.4523
0.87218,44.5625
0.882206,40.2673
0.892231,34.1882
0.902256,34.5138
0.912281,39.6456
0.922306,40.7628
0.932331,35.7086
0.942356,31.7837
0.952381,33.4703
0.962406,35.3222
0.972431,31.2579
0.982456,24.6781
0.992481,22.9692
1.00251,25.7365
1.01253,26.0041
1.02256,21.9209
1.03258,19.4816
1.04261,22.1523
1.05263,24.9507
1.06266,22.6784
1.07268,18.3371
1.08271,17.85
1.09273,20.2685
1.10276,19.8042
1.11278,15.8338
1.12281,13.8857
1.13283,16.2484
1.14286,18.2444
1.15288,16.1851
1.16291,13.2702
1.17293,13.6934
1.18296,15.4481
1.19298,14.0565
1.20301,10.4306
1.21303,9.30371
1.22306,11.2452
1.23308,12.0853
1.24311,10.3579
1.25313,9.60193
1.26316,11.7519
1.27318,13.4469
1.28321,11.7078
1.29323,8.96342
1.30326,8.74619
1.31328,9.7509
1.32331,8.55521
1.33333,5.90206
1.34336,5.46499
1.35338,7.45415
1.36341,8.37061
1.37343,7.11959
1.38346,6.59136
1.39348,8.16003
1.40351,9.08141
1.41353,7.34346
1.42356,5.22944
1.43358,5.35404
1.44361,6.34197
1.45363,5.66137
1.46366,4.23949
1.47368,4.60344
1.48371,6.14195
1.49373,6.10673
1.50376,4.44575
1.51378,3.75893
1.52381,4.63018
1.53383,4.81654
1.54386,3.56296
1.55388,3.05233
1.56391,4.39682
1.57393,5.53005
1.58396,4.8072
1.59398,3.77137
1.60401,4.19394
1.61404,4.87299
1.62406,3.92053
1.63409,2.24151
1.64411,1.94305
1.65414,2.72846
1.66416,2.76743
1.67419,2.16521
1.68421,2.57866
1.69424,3.86948
1.70426,4.12734
1.71429,3.04134
1.72431,2.41038
1.73434,2.90833
1.74436,3.04857
1.75439,2.1076
1.76441,1.50939
1.77444,2.17843
1.78446,2.83391
1.79449,2.33026
1.80451,1.65173
1.81454,1.95405
1.82456,2.41485
1.83459,1.86722
1.84461,1.06977
1.85464,1.35731
1.86466,2.21518
1.87469,2.26753
1.88471,1.77471
1.89474,2.00601
1.90476,2.74527
1.91479,2.60843
1.92481,1.55396
1.93484,0.949219
1.94486,1.17248
1.95489,1.20037
1.96491,0.750042
1.97494,0.813379
1.98496,1.63481
1.99499,2.06792
2.00501,1.59073
2.01504,1.20719
2.02506,1.55831
2.03509,1.78877
2.04511,1.24218
2.05514,0.75016
2.06516,1.10585
2.07519,1.6061
2.08521,1.35915
2.09524,0.869574
2.10526,0.992335
2.11529,1.31929
2.12531,1.01761
2.13534,0.449378
2.14536,0.505512
2.15539,0.974941
2.16541,1.03206
2.17544,0.835474
2.18546,1.15782
2.19549,1.77979
2.20551,1.75136
2.21554,1.07815
2.22556,0.700273
2.23559,0.841555
2.24561,0.792571
2.25564,0.394709
2.26566,0.338973
2.27569,0.777664
2.28571,0.97675
2.29574,0.679185
2.30576,0.554856
2.31579,0.88599
2.32581,1.01924
2.33584,0.633353
2.34586,0.394711
2.35589,0.737433
2.36591,1.06458
2.37594,0.859744
2.38596,0.602711
2.39599,0.80317
2.40602,1.02255
2.41604,0.710099
2.42607,0.234254
2.43609,0.197353
2.44612,0.396653
2.45614,0.360664
2.46617,0.314701
2.47619,0.678677
2.48622,1.11226
2.49624,1.01789
2.50627,0.598428
2.51629,0.480648
2.52632,0.619009
2.53634,0.508256
2.54637,0.215484
2.55639,0.244033
2.56642,0.540569
2.57644,0.572975
2.58647,0.310063
2.59649,0.229363
2.60652,0.388809
2.61654,0.368081
2.62657,0.148105
2.63659,0.182696
2.64662,0.513433
2.65664,0.650262
2.66667,0.469103
