# 20251205_145746
# initdata:	data/PbPb276_cc_(0,5)/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)/freezeout.csv
# particle mass:	0.36
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,81286.4
0.0100251,78133
0.0200501,69318.8
0.0300752,56594.4
0.0401003,42319.2
0.0501253,28825.7
0.0601504,17850.1
0.0701754,10197.3
0.0802005,5724.52
0.0902256,3618.1
0.100251,2837.1
0.110276,2532.4
0.120301,2265.86
0.130326,1964.95
0.140351,1706.32
0.150376,1517.26
0.160401,1334.78
0.170426,1100.98
0.180451,849.348
0.190476,671.696
0.200501,607.869
0.210526,595.881
0.220551,544.919
0.230576,440.014
0.240602,348.165
0.250627,323.258
0.260652,336.602
0.270677,320.765
0.280702,260.388
0.290727,204.941
0.300752,192.729
0.310777,198.702
0.320802,177.014
0.330827,129.472
0.340852,98.7989
0.350877,102.804
0.360902,111.293
0.370927,96.1487
0.380952,72.7174
0.390977,70.4701
0.401003,84.358
0.411028,84.223
0.421053,63.1406
0.431078,45.8299
0.441103,47.2643
0.451128,51.2064
0.461153,40.6912
0.471178,26.3521
0.481203,26.675
0.491228,36.611
0.501253,37.236
0.511278,27.2839
0.521303,22.6965
0.531328,27.8542
0.541353,29.1157
0.551378,19.6686
0.561404,11.0699
0.571429,12.866
0.581454,17.3575
0.591479,14.8179
0.601504,10.3484
0.611529,13.1441
0.621554,19.0885
0.631579,17.8051
0.641604,10.5359
0.651629,7.18395
0.661654,9.20584
0.671679,8.93187
0.681704,4.66763
0.691729,3.44675
0.701754,7.56234
0.711779,10.2423
0.721805,7.77054
0.73183,5.44116
0.741855,7.20391
0.75188,8.65342
0.761905,5.66301
0.77193,2.0691
0.781955,2.63179
0.79198,4.84737
0.802005,4.25207
0.81203,2.54876
0.822055,3.68076
0.83208,5.98687
0.842105,5.17884
0.85213,2.16331
0.862155,1.20736
0.87218,2.40081
0.882206,2.36554
0.892231,1.0987
0.902256,1.75388
0.912281,4.20248
0.922306,4.82833
0.932331,2.8919
0.942356,1.58976
0.952381,2.19751
0.962406,2.30823
0.972431,0.880073
0.982456,0.198841
0.992481,1.3756
1.00251,2.25752
1.01253,1.5407
1.02256,1.03475
1.03258,1.94845
1.04261,2.51474
1.05263,1.3976
1.06266,0.245889
1.07268,0.644099
1.08271,1.37861
1.09273,1.00556
1.10276,0.556758
1.11278,1.31742
1.12281,2.17138
1.13283,1.59812
1.14286,0.420744
1.15288,0.202584
1.16291,0.556569
1.17293,0.347866
1.18296,0.0860846
1.19298,0.792539
1.20301,1.72677
1.21303,1.53949
1.22306,0.696038
1.23308,0.571513
1.24311,0.989879
1.25313,0.791061
1.26316,0.131168
1.27318,0.113852
1.28321,0.653191
1.29323,0.71328
1.30326,0.303305
1.31328,0.335617
1.32331,0.768174
1.33333,0.701807
1.34336,0.158766
1.35338,0.0442124
1.36341,0.430285
1.37343,0.515659
1.38346,0.253367
1.39348,0.422431
1.40351,1.0245
1.41353,1.14058
1.42356,0.545711
1.43358,0.0586223
1.44361,0.0869372
1.45363,0.141405
1.46366,0.00995748
1.47368,0.138385
1.48371,0.565203
1.49373,0.670633
1.50376,0.306911
1.51378,0.0905306
1.52381,0.268145
1.53383,0.335807
1.54386,0.0907482
1.55388,0.0326681
1.56391,0.362015
1.57393,0.551576
1.58396,0.31295
1.59398,0.0963607
1.60401,0.222928
1.61404,0.348848
1.62406,0.199834
1.63409,0.0650235
1.64411,0.157905
1.65414,0.211262
1.66416,0.0970353
1.67419,0.150333
1.68421,0.483473
1.69424,0.646266
1.70426,0.373892
1.71429,0.0505468
1.72431,0.0338588
1.73434,0.114843
1.74436,0.0440353
1.75439,0.013922
1.76441,0.197028
1.77444,0.332934
1.78446,0.198032
1.79449,0.0179229
1.80451,0.0275043
1.81454,0.0733189
1.82456,0.0134451
1.83459,0.0529316
1.84461,0.306563
1.85464,0.470299
1.86466,0.316517
1.87469,0.109512
1.88471,0.146846
1.89474,0.271525
1.90476,0.219095
1.91479,0.0858025
1.92481,0.0728527
1.93484,0.0999415
1.94486,0.0410719
1.95489,0.0302856
1.96491,0.17721
1.97494,0.278971
1.98496,0.160566
1.99499,0.0114519
2.00501,0.0482765
2.01504,0.134907
2.02506,0.0803434
2.03509,0.0256152
2.04511,0.16709
2.05514,0.350308
2.06516,0.312448
2.07519,0.118097
2.08521,0.00708806
2.09524,0.00490725
2.10526,0.00953834
2.11529,0.0667261
2.12531,0.230392
2.13534,0.333971
2.14536,0.226005
2.15539,0.0664125
2.16541,0.0782157
2.17544,0.173755
2.18546,0.139303
2.19549,0.0261157
2.20551,0.0292339
2.21554,0.116722
2.22556,0.109761
2.23559,0.0240596
2.24561,0.0174828
2.25564,0.0846514
2.26566,0.0959291
2.27569,0.0612628
2.28571,0.0811592
2.29574,0.116572
2.30576,0.0759083
2.31579,0.0476419
2.32581,0.170722
2.33584,0.342997
2.34586,0.336581
2.35589,0.15617
2.36591,0.0188618
2.37594,0.0128383
2.38596,0.0318649
2.39599,0.0232743
2.40602,0.0487727
2.41604,0.101146
2.42607,0.0910644
2.43609,0.0263981
2.44612,0.00474458
2.45614,0.0292097
2.46617,0.0211622
2.47619,0.00256135
2.48622,0.0675087
2.49624,0.177914
2.50627,0.188433
2.51629,0.0877742
2.52632,0.0259959
2.53634,0.0759845
2.54637,0.14087
2.55639,0.131478
2.56642,0.0794274
2.57644,0.0377694
2.58647,0.00873049
2.59649,0.00448214
2.60652,0.0539516
2.61654,0.118544
2.62657,0.115011
2.63659,0.0462523
2.64662,0.0027567
2.65664,0.0178173
2.66667,0.0302397
2.67669,0.00956212
2.68672,0.0083682
2.69674,0.0576888
2.70677,0.10523
2.71679,0.0967047
2.72682,0.0480121
2.73684,0.00869082
2.74687,0.0100799
2.75689,0.060707
2.76692,0.136661
2.77694,0.173928
2.78697,0.128762
2.79699,0.0465765
2.80702,0.0150932
2.81704,0.0517747
2.82707,0.0927086
2.83709,0.0881355
2.84712,0.0526841
2.85714,0.0215826
2.86717,0.00811773
2.87719,0.00853086
2.88722,0.0125555
2.89724,0.0108502
2.90727,0.0142693
2.91729,0.0458485
2.92732,0.0920896
2.93734,0.0996033
2.94737,0.0538619
2.95739,0.0190701
2.96742,0.0540667
2.97744,0.125397
2.98747,0.153386
2.99749,0.1143
3.00752,0.0508046
3.01754,0.0095034
3.02757,0.0104887
3.03759,0.0494563
3.04762,0.0903683
3.05764,0.0855348
3.06767,0.0368927
3.07769,0.00252537
3.08772,0.0129293
3.09774,0.0279263
3.10777,0.0127605
3.11779,0.00189141
3.12782,0.0358874
3.13784,0.0832931
3.14787,0.0850848
3.15789,0.0426239
3.16792,0.00709808
3.17794,0.00883094
