# 20251205_150322
# initdata:	data/PbPb276_cc_(0,5)/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)/freezeout.csv
# particle mass:	1.48571
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,111488
0.0100251,109064
0.0200501,102084
0.0300752,91374.2
0.0401003,78146.7
0.0501253,63798.6
0.0601504,49686
0.0701754,36928.1
0.0802005,26275.3
0.0902256,18061.4
0.100251,12239.1
0.110276,8478.74
0.120301,6297.6
0.130326,5184.85
0.140351,4694.59
0.150376,4494.34
0.160401,4371.93
0.170426,4215.32
0.180451,3982.94
0.190476,3677.46
0.200501,3327.13
0.210526,2972.54
0.220551,2653.99
0.230576,2398.44
0.240602,2210.74
0.250627,2073.62
0.260652,1958.59
0.270677,1842.14
0.280702,1717.66
0.290727,1595.51
0.300752,1491.51
0.310777,1412.66
0.320802,1350.9
0.330827,1289.5
0.340852,1216.67
0.350877,1134.92
0.360902,1058.37
0.370927,1000.06
0.380952,960.27
0.390977,926.153
0.401003,883.072
0.411028,827.777
0.421053,771.098
0.431078,727.986
0.441103,703.427
0.451128,687.668
0.461153,665.3
0.471178,629.708
0.481203,589.196
0.491228,558.473
0.501253,543.932
0.511278,537.052
0.521303,522.698
0.531328,494.114
0.541353,459.521
0.551378,433.471
0.561404,421.816
0.571429,415.801
0.581454,401.562
0.591479,375.024
0.601504,346.353
0.611529,329.098
0.621554,325.664
0.631579,324.877
0.641604,314.314
0.651629,293.856
0.661654,275.445
0.671679,269.352
0.681704,272.414
0.691729,271.536
0.701754,258.431
0.711779,238.74
0.721805,225.16
0.73183,222.731
0.741855,223.432
0.75188,216.241
0.761905,200.372
0.77193,185.973
0.781955,181.644
0.79198,184.124
0.802005,182.649
0.81203,172.374
0.822055,160.159
0.83208,155.617
0.842105,158.789
0.85213,159.995
0.862155,151.983
0.87218,138.949
0.882206,131.056
0.892231,131.582
0.902256,133.137
0.912281,127.561
0.922306,116.453
0.932331,108.783
0.942356,109.05
0.952381,111.712
0.962406,108.939
0.972431,100.999
0.982456,95.3997
0.992481,96.3239
1.00251,98.9539
1.01253,96.2426
1.02256,88.5719
1.03258,82.9565
1.04261,83.1363
1.05263,84.5249
1.06266,80.9686
1.07268,73.6055
1.08271,69.2478
1.09273,70.6559
1.10276,72.6248
1.11278,69.4796
1.12281,63.2335
1.13283,60.6782
1.14286,63.5565
1.15288,65.9547
1.16291,62.6693
1.17293,56.5284
1.18296,54.1684
1.19298,56.4644
1.20301,57.4563
1.21303,53.1467
1.22306,47.2517
1.23308,45.6489
1.24311,47.8871
1.25313,48.1951
1.26316,44.2056
1.27318,40.3169
1.28321,40.9056
1.29323,43.7786
1.30326,43.6124
1.31328,39.9397
1.32331,37.5647
1.33333,39.0106
1.34336,40.649
1.35338,38.3203
1.36341,33.6718
1.37343,31.5534
1.38346,32.7093
1.39348,32.9821
1.40351,30.0931
1.41353,27.1672
1.42356,27.6943
1.43358,30.0199
1.44361,30.0396
1.45363,27.6885
1.46366,26.846
1.47368,28.8661
1.48371,30.138
1.49373,27.6699
1.50376,23.8564
1.51378,22.8157
1.52381,24.065
1.53383,23.5427
1.54386,20.2799
1.55388,18.0667
1.56391,19.4775
1.57393,21.8247
1.58396,21.4348
1.59398,19.3397
1.60401,19.3174
1.61404,21.5842
1.62406,22.3315
1.63409,19.7703
1.64411,16.9142
1.65414,16.751
1.66416,17.7036
1.67419,16.5652
1.68421,13.8789
1.69424,13.012
1.70426,14.6551
1.71429,15.8114
1.72431,14.7163
1.73434,13.4698
1.74436,14.2446
1.75439,15.6041
1.76441,14.9925
1.77444,13.0211
1.78446,12.3502
1.79449,13.2184
1.80451,13.2117
1.81454,11.5269
1.82456,10.3854
1.83459,11.2177
1.84461,12.1753
1.85464,11.2245
1.86466,9.552
1.87469,9.505
1.88471,10.6187
1.89474,10.5087
1.90476,9.05388
1.91479,8.66239
1.92481,10.1216
1.93484,11.1229
1.94486,10.0382
1.95489,8.58388
1.96491,8.87479
1.97494,9.86834
1.98496,9.18024
1.99499,7.13232
2.00501,6.21096
2.01504,6.98697
2.02506,7.43239
2.03509,6.58854
2.04511,6.15864
2.05514,7.38398
2.06516,8.73071
2.07519,8.3865
2.08521,7.20952
2.09524,7.09938
2.10526,7.7231
2.11529,7.24477
2.12531,5.63945
2.13534,4.79226
2.14536,5.32011
2.15539,5.7055
2.16541,5.10835
2.17544,4.78023
2.18546,5.64565
2.19549,6.46974
2.20551,5.93534
2.21554,4.95425
2.22556,5.09605
2.23559,5.88486
2.24561,5.70617
2.25564,4.68628
2.26566,4.4575
2.27569,5.25922
2.28571,5.50777
2.29574,4.56295
2.30576,3.79762
2.31579,4.14403
2.32581,4.51786
2.33584,3.8666
2.34586,3.12174
2.35589,3.56633
2.36591,4.55068
2.37594,4.62402
2.38596,4.04396
2.39599,4.20812
2.40602,5.06438
2.41604,5.12389
2.42607,4.03336
2.43609,3.15741
2.44612,3.23027
2.45614,3.28807
2.46617,2.6523
2.47619,2.25633
2.48622,2.92423
2.49624,3.77973
2.50627,3.69848
2.51629,3.19527
2.52632,3.38022
2.53634,3.92116
2.54637,3.69003
2.55639,2.87069
2.56642,2.68178
2.57644,3.22086
2.58647,3.32381
2.59649,2.66486
2.60652,2.2985
2.61654,2.71384
2.62657,2.9589
2.63659,2.39117
2.64662,1.84541
2.65664,2.12519
2.66667,2.59591
2.67669,2.413
2.68672,2.08963
2.69674,2.5254
2.70677,3.27969
2.71679,3.25187
2.72682,2.5563
2.73684,2.24328
2.74687,2.43689
2.75689,2.25491
2.76692,1.54954
2.77694,1.23326
2.78697,1.63863
2.79699,1.95845
2.80702,1.75533
2.81704,1.71477
2.82707,2.26644
2.83709,2.66317
2.84712,2.26092
2.85714,1.67606
2.86717,1.71143
2.87719,2.00231
2.88722,1.7963
2.89724,1.36131
2.90727,1.45156
2.91729,1.85692
2.92732,1.76531
2.93734,1.22509
2.94737,1.04038
2.95739,1.32532
2.96742,1.38737
2.97744,1.08791
2.98747,1.10746
2.99749,1.63793
3.00752,1.9624
3.01754,1.71578
3.02757,1.49357
3.03759,1.70196
