# 20260616_115542
qT,primespec
0,41988.5
0.004004,41653.9
0.00800801,41292
0.012012,40688.8
0.016016,39624.2
0.02002,38330.2
0.024024,36831.6
0.028028,35082
0.032032,33210.7
0.036036,31160.7
0.04004,29023.3
0.044044,26823.8
0.048048,24577
0.0520521,22356.2
0.0560561,20153.5
0.0600601,18026.2
0.0640641,15992.3
0.0680681,14065.8
0.0720721,12282.9
0.0760761,10634.1
0.0800801,9144.61
0.0840841,7810.25
0.0880881,6627.69
0.0920921,5604.17
0.0960961,4715.07
0.1001,3965.75
0.104104,3336.25
0.108108,2812.47
0.112112,2393.06
0.116116,2047.58
0.12012,1780.14
0.124124,1572.42
0.128128,1411.07
0.132132,1302.7
0.136136,1217.99
0.14014,1172.54
0.144144,1159.68
0.148148,1152.27
0.152152,1154.43
0.156156,1179.51
0.16016,1211.99
0.164164,1244.59
0.168168,1278.77
0.172172,1302.06
0.176176,1320.75
0.18018,1329.83
0.184184,1322.14
0.188188,1301.95
0.192192,1274.86
0.196196,1229.14
0.2002,1175.09
0.204204,1116.8
0.208208,1053.38
0.212212,993.628
0.216216,935.388
0.22022,883.987
0.224224,841.159
0.228228,804.352
0.232232,775.434
0.236236,752.754
0.24024,732.24
0.244244,712.838
0.248248,694.121
0.252252,672.127
0.256256,646.225
0.26026,617.658
0.264264,585.599
0.268268,551.142
0.272272,518.471
0.276276,486.071
0.28028,458.649
0.284284,437.007
0.288288,419.517
0.292292,410.015
0.296296,404.478
0.3003,400.646
0.304304,398.198
0.308308,396.3
0.312312,392.554
0.316316,383.91
0.32032,372.222
0.324324,357.135
0.328328,338.207
0.332332,319.676
0.336336,300.285
0.34034,283.939
0.344344,271.484
0.348348,261.687
0.352352,258.547
0.356356,257.641
0.36036,257.243
0.364364,257.203
0.368368,257.187
0.372372,256.572
0.376376,250.385
0.38038,241.131
0.384384,229.773
0.388388,215.399
0.392392,201.968
0.396396,188.322
0.4004,177.843
0.404404,171.563
0.408408,167.043
0.412412,166.219
0.416416,168.12
0.42042,169.767
0.424424,169.781
0.428428,169.667
0.432432,168.996
0.436436,163.193
0.44044,154.927
0.444444,145.881
0.448448,135.543
0.452452,127.324
0.456456,119.736
0.46046,115.462
0.464464,115.535
0.468468,116.156
0.472472,117.222
0.476476,120.264
0.48048,122.73
0.484484,122.194
0.488488,120.172
0.492492,117.139
0.496496,110.592
0.500501,102.948
0.504505,95.6655
0.508509,88.6206
0.512513,84.9043
0.516517,82.7981
0.520521,81.7418
0.524525,82.7906
0.528529,85.3625
0.532533,86.2427
0.536537,86.199
0.540541,86.1025
0.544545,84.1797
0.548549,78.8344
0.552553,73.2961
0.556557,66.8499
0.560561,61.4073
0.564565,58.0676
0.568569,55.5664
0.572573,55.0128
0.576577,56.4208
0.580581,58.3217
0.584585,59.7818
0.588589,61.1296
0.592593,61.4011
0.596597,59.4374
0.600601,56.3515
0.604605,52.5532
0.608609,47.8625
0.612613,44.6439
0.616617,42.2445
0.620621,40.8886
0.624625,41.4453
0.628629,43.3884
0.632633,45.3596
0.636637,47.6275
0.640641,49.2405
0.644645,48.9045
0.648649,47.4358
0.652653,45.4384
0.656657,41.7634
0.660661,37.9649
0.664665,35.1636
0.668669,32.804
0.672673,32.1585
0.676677,32.9175
0.680681,34.1368
0.684685,35.5792
0.688689,37.3516
0.692693,37.9257
0.696697,37.0827
0.700701,35.5672
0.704705,33.164
0.708709,29.4826
0.712713,26.4303
0.716717,23.5921
0.720721,21.8423
0.724725,21.9179
0.728729,22.5717
0.732733,23.441
0.736737,25.0935
0.740741,26.5348
0.744745,26.5015
0.748749,25.9678
0.752753,25.1322
0.756757,22.9404
0.760761,20.519
0.764765,18.8603
0.768769,17.4813
0.772773,17.0853
0.776777,17.8903
0.780781,19.2327
0.784785,20.7099
0.788789,22.5157
0.792793,23.186
0.796797,22.901
0.800801,22.327
0.804805,21.097
0.808809,18.7757
0.812813,16.9057
0.816817,15.3261
0.820821,14.3292
0.824825,14.4476
0.828829,15.1651
0.832833,15.9735
0.836837,17.0164
0.840841,17.8609
0.844845,17.7281
0.848849,16.9093
0.852853,15.8169
0.856857,13.8787
0.860861,11.9311
0.864865,10.6812
0.868869,9.69106
0.872873,9.38781
0.876877,9.98454
0.880881,10.9851
0.884885,11.9105
0.888889,12.9284
0.892893,13.316
0.896897,12.9298
0.900901,12.2224
0.904905,11.1744
0.908909,9.67352
0.912913,8.98215
0.916917,8.83168
0.920921,8.75615
0.924925,9.08753
0.928929,10.4524
0.932933,11.7494
0.936937,12.7465
0.940941,13.4539
0.944945,13.3332
0.948949,12.5443
0.952953,11.5698
0.956957,10.0919
0.960961,8.74593
0.964965,8.12783
0.968969,7.71964
0.972973,7.59568
0.976977,8.12298
0.980981,8.87056
0.984985,9.11075
0.988989,9.22978
0.992993,9.25469
0.996997,8.47251
1.001,7.21979
1.00501,5.98234
1.00901,4.66476
1.01301,4.1916
1.01702,4.21458
1.02102,4.27105
1.02503,4.54658
1.02903,5.47806
1.03303,6.211
1.03704,6.50257
1.04104,6.67647
1.04505,6.51342
1.04905,5.8018
1.05305,5.20899
1.05706,4.78311
1.06106,4.49739
1.06507,4.60649
1.06907,5.28887
1.07307,6.11792
1.07708,7.10233
1.08108,7.99763
1.08509,8.09922
1.08909,8.02657
1.09309,7.89462
1.0971,7.13536
1.1011,6.09471
1.10511,5.35633
1.10911,4.71177
1.11311,4.46523
1.11712,4.65427
1.12112,5.00233
1.12513,5.31804
1.12913,5.66601
1.13313,5.82197
1.13714,5.50716
1.14114,4.89987
1.14515,4.15486
1.14915,3.16692
1.15315,2.55753
1.15716,2.23721
1.16116,2.0465
1.16517,2.11871
1.16917,2.62155
1.17317,3.16006
1.17718,3.53491
1.18118,3.81802
1.18519,3.78716
