# 20260616_115650
# primespec:	data/PbPb276_cc_(0,5)plus10/primaryspec/spec_20260616_114344_098/spectr.txt
# qmax:	4
# ma:	0.845714
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.399009
# [=>] Eabc:	0.422857
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1300.82
0.0204082,1301.86
0.0408163,1308.32
0.0612245,1320.77
0.0816327,1337.06
0.102041,1358.5
0.122449,1383.99
0.142857,1413.68
0.163265,1449.25
0.183673,1487.99
0.204082,1532.48
0.22449,1580.24
0.244898,1636.65
0.265306,1698.28
0.285714,1773.91
0.306122,1859.55
0.326531,1937.55
0.346939,2128.24
0.367347,2460.65
0.387755,2414.02
0.408163,1719.17
0.428571,972.098
0.44898,511.377
0.469388,383.04
0.489796,322.311
0.510204,258.158
0.530612,206.323
0.55102,166.403
0.571429,138.129
0.591837,115.717
0.612245,98.0843
0.632653,82.7081
0.653061,70.6322
0.673469,60.6459
0.693878,52.5998
0.714286,45.5752
0.734694,39.7908
0.755102,34.6363
0.77551,30.3249
0.795918,26.5958
0.816327,23.4865
0.836735,20.935
0.857143,18.5699
0.877551,16.6963
0.897959,14.7292
0.918367,13.2537
0.938776,11.7647
0.959184,10.6492
0.979592,9.61876
1,8.78398
