# 20260616_114716
# initdata:	data/PbPb276_cc_(0,5)plus10/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)plus10/freezeout.csv
# particle mass:	1.56571
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,53587.7
0.0100251,52817.4
0.0200501,50555.4
0.0300752,46961.5
0.0401003,42285
0.0501253,36836.9
0.0601504,30966.8
0.0701754,25031.8
0.0802005,19366.8
0.0902256,14257.1
0.100251,9916.33
0.110276,6470.44
0.120301,3949.48
0.130326,2296.59
0.140351,1380.71
0.150376,1025.6
0.160401,1041.35
0.170426,1254.59
0.180451,1530.4
0.190476,1781.35
0.200501,1963.71
0.210526,2064.78
0.220551,2087.87
0.230576,2041.02
0.240602,1932.85
0.250627,1774.36
0.260652,1582.55
0.270677,1381.23
0.280702,1196.65
0.290727,1049.54
0.300752,947.847
0.310777,884.866
0.320802,844.207
0.330827,809.138
0.340852,770.963
0.350877,731.604
0.360902,699.204
0.370927,680.015
0.380952,672.29
0.390977,666.382
0.401003,650.936
0.411028,620.713
0.421053,580.284
0.431078,540.905
0.441103,512.563
0.451128,497.093
0.461153,487.314
0.471178,472.867
0.481203,448.25
0.491228,416.998
0.501253,388.762
0.511278,371.653
0.521303,365.899
0.531328,363.84
0.541353,356.221
0.551378,339.578
0.561404,318.76
0.571429,302.433
0.581454,295.542
0.591479,295.039
0.601504,292.568
0.611529,281.71
0.621554,263.519
0.631579,245.486
0.641604,234.866
0.651629,232.289
0.661654,231.357
0.671679,224.559
0.681704,210.138
0.691729,193.664
0.701754,182.902
0.711779,180.72
0.721805,182.594
0.73183,180.982
0.741855,172.385
0.75188,160.432
0.761905,152.137
0.77193,151.03
0.781955,153.804
0.79198,153.661
0.802005,146.971
0.81203,136.65
0.822055,129.003
0.83208,127.299
0.842105,128.599
0.85213,126.965
0.862155,119.681
0.87218,110.052
0.882206,103.928
0.892231,103.63
0.902256,105.627
0.912281,104.351
0.922306,98.1027
0.932331,90.7691
0.942356,87.5738
0.952381,89.4332
0.962406,91.9686
0.972431,90.2087
0.982456,83.8775
0.992481,77.5592
1.00251,75.6149
1.01253,77.442
1.02256,78.2484
1.03258,74.419
1.04261,67.5084
1.05263,62.4704
1.06266,62.1746
1.07268,64.3547
1.08271,64.3319
1.09273,60.3341
1.10276,55.3577
1.11278,53.5739
1.12281,55.4903
1.13283,57.4465
1.14286,55.9216
1.15288,51.5748
1.16291,48.3201
