# 20260616_120732
# initdata:	data/PbPb276_cc_(0,5)plus15/initdata.csv
# freezeout file: 	data/PbPb276_cc_(0,5)plus15/freezeout.csv
# particle mass:	0.885714
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,30727.7
0.0100251,30214.7
0.0200501,28722.5
0.0300752,26385.2
0.0401003,23407.3
0.0501253,20037.8
0.0601504,16538.5
0.0701754,13151.1
0.0802005,10070.3
0.0902256,7425.54
0.100251,5276.74
0.110276,3622.7
0.120301,2418.92
0.130326,1598.58
0.140351,1089.87
0.150376,825.413
0.160401,743.484
0.170426,784.718
0.180451,889.91
0.190476,1003.06
0.200501,1079.73
0.210526,1096.3
0.220551,1054.14
0.230576,974.544
0.240602,885.711
0.250627,808.21
0.260652,746.661
0.270677,692.06
0.280702,632.426
0.290727,564.122
0.300752,495.777
0.310777,442.279
0.320802,413.315
0.330827,405.427
0.340852,403.799
0.350877,392.682
0.360902,366.554
0.370927,333.31
0.380952,306.982
0.390977,295.866
0.401003,295.718
0.411028,293.577
0.421053,278.887
0.431078,252.419
0.441103,225.33
0.451128,209.258
0.461153,206.212
0.471178,207.182
0.481203,200.607
0.491228,182.921
0.501253,161.532
0.511278,147.611
0.521303,145.535
0.531328,148.962
0.541353,147.124
0.551378,135.193
0.561404,118.688
0.571429,107.773
0.581454,107.182
0.591479,111.739
0.601504,111.765
0.611529,102.791
0.621554,89.7424
0.631579,81.5685
0.641604,82.006
0.651629,86.0155
0.661654,85.351
0.671679,77.2102
0.681704,66.8639
0.691729,61.7363
0.701754,63.4821
0.711779,66.5385
0.721805,64.4446
0.73183,56.8391
0.741855,49.5309
0.75188,47.8324
0.761905,50.7168
0.77193,52.2252
0.781955,48.3154
0.79198,41.319
0.802005,37.0785
0.81203,38.2132
0.822055,41.2641
0.83208,40.8457
0.842105,35.8513
0.85213,30.5659
0.862155,29.5188
0.87218,32.2463
0.882206,34.0081
0.892231,31.4514
0.902256,26.4601
0.912281,23.7445
0.922306,25.1888
0.932331,27.7284
0.942356,27.1464
0.952381,23.1081
0.962406,19.4013
0.972431,19.261
0.982456,21.5357
0.992481,22.2674
1.00251,19.5978
1.01253,15.9575
1.02256,14.9685
1.03258,16.995
1.04261,18.8072
1.05263,17.6343
1.06266,14.5068
1.07268,12.819
1.08271,14.0466
1.09273,15.9924
1.10276,15.6314
1.11278,12.8679
1.12281,10.5189
1.13283,10.6996
1.14286,12.2594
1.15288,12.4256
1.16291,10.4
1.17293,8.31094
1.18296,8.38221
1.19298,10.0865
1.20301,10.8985
1.21303,9.58363
1.22306,7.73468
1.23308,7.63293
1.24311,9.27564
1.25313,10.4048
1.26316,9.42083
1.27318,7.3643
1.28321,6.46783
1.29323,7.26205
1.30326,8.00861
1.31328,7.08999
1.32331,5.14352
1.33333,4.17622
1.34336,4.92824
1.35338,5.99141
1.36341,5.77114
1.37343,4.60895
1.38346,4.25265
1.39348,5.44449
1.40351,6.87462
1.41353,6.87261
1.42356,5.55854
1.43358,4.61526
1.44361,5.04081
1.45363,5.88581
1.46366,5.59335
1.47368,4.08539
1.48371,2.82677
1.49373,2.8713
1.50376,3.55656
1.51378,3.53982
1.52381,2.67641
1.53383,2.17473
1.54386,2.87501
1.55388,4.04761
1.56391,4.34912
1.57393,3.61153
1.58396,3.02926
1.59398,3.51151
1.60401,4.44785
1.61404,4.53557
1.62406,3.51572
1.63409,2.47949
1.64411,2.39038
1.65414,2.86205
1.66416,2.80596
1.67419,1.98356
1.68421,1.31927
1.69424,1.59847
1.70426,2.38833
1.71429,2.6553
1.72431,2.18335
1.73434,1.82293
1.74436,2.25581
1.75439,3.01171
1.76441,3.09377
1.77444,2.33382
1.78446,1.61336
1.79449,1.67217
1.80451,2.15688
1.81454,2.1853
1.82456,1.59703
1.83459,1.15351
1.84461,1.44901
1.85464,2.07312
1.86466,2.17553
1.87469,1.6234
1.88471,1.14921
1.89474,1.31932
1.90476,1.77452
1.91479,1.76938
1.92481,1.21743
1.93484,0.78463
1.94486,0.94206
1.95489,1.33086
1.96491,1.31008
1.97494,0.88158
1.98496,0.682638
1.99499,1.0746
2.00501,1.62185
2.01504,1.68649
2.02506,1.29244
2.03509,1.05787
2.04511,1.31335
2.05514,1.64689
2.06516,1.4897
2.07519,0.900916
2.08521,0.468453
2.09524,0.506365
2.10526,0.68703
2.11529,0.583492
2.12531,0.303368
2.13534,0.308483
2.14536,0.709824
2.15539,1.07296
2.16541,1.01796
2.17544,0.751396
2.18546,0.766112
2.19549,1.13264
2.20551,1.38448
2.21554,1.15578
2.22556,0.677482
2.23559,0.450822
2.24561,0.577444
2.25564,0.678751
2.26566,0.478391
2.27569,0.196159
2.28571,0.209115
2.29574,0.496375
2.30576,0.671994
2.31579,0.542867
2.32581,0.375487
2.33584,0.490912
2.34586,0.782068
2.35589,0.854358
2.36591,0.587933
2.37594,0.314393
2.38596,0.356563
2.39599,0.589056
2.40602,0.639958
2.41604,0.43341
2.42607,0.294216
2.43609,0.47201
2.44612,0.771788
2.45614,0.817621
2.46617,0.570225
2.47619,0.366277
2.48622,0.437018
2.49624,0.597063
2.50627,0.532886
2.51629,0.260348
2.52632,0.0968923
2.53634,0.206682
2.54637,0.38316
2.55639,0.373525
2.56642,0.258771
2.57644,0.330131
2.58647,0.640747
2.59649,0.88809
2.60652,0.810986
2.61654,0.545885
2.62657,0.439415
2.63659,0.579361
2.64662,0.694697
2.65664,0.546659
2.66667,0.252138
2.67669,0.102639
2.68672,0.164111
2.69674,0.22749
2.70677,0.14887
2.71679,0.0627204
2.72682,0.162725
2.73684,0.388588
2.74687,0.489196
2.75689,0.374578
2.76692,0.24417
2.77694,0.302298
2.78697,0.467963
2.79699,0.492186
2.80702,0.311164
2.81704,0.132766
2.82707,0.143382
2.83709,0.25999
2.84712,0.271302
2.85714,0.148011
2.86717,0.0735005
2.87719,0.165058
2.88722,0.299601
2.89724,0.29129
2.90727,0.154141
2.91729,0.0705926
2.92732,0.124084
2.93734,0.191237
2.94737,0.141297
2.95739,0.0377257
2.96742,0.0429305
2.97744,0.172171
2.98747,0.265352
2.99749,0.221437
3.00752,0.150319
3.01754,0.21437
3.02757,0.384713
3.03759,0.464679
3.04762,0.351366
3.05764,0.168721
3.06767,0.0933957
3.07769,0.12862
3.08772,0.137324
3.09774,0.0618232
3.10777,0.000684758
3.11779,0.0444456
3.12782,0.13196
3.13784,0.146432
3.14787,0.101146
3.15789,0.126083
3.16792,0.265479
3.17794,0.386797
3.18797,0.348449
3.19799,0.195517
3.20802,0.103419
3.21805,0.145482
3.22807,0.208803
3.2381,0.167887
3.24812,0.0610177
3.25815,0.0230804
3.26817,0.0856831
3.2782,0.138602
3.28822,0.0996161
3.29825,0.0352209
3.30827,0.0558503
3.3183,0.145991
3.32832,0.182703
3.33835,0.114187
3.34837,0.0342107
3.3584,0.0443739
3.36842,0.109437
3.37845,0.118548
3.38847,0.0586288
3.3985,0.0399599
3.40852,0.132288
3.41855,0.251177
