# 20260616_113521
# primespec:	data/PbPb276_cc_(0,5)plus5/primaryspec/spec_20260616_110308_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1319.47
0.0204082,1319.93
0.0408163,1324.12
0.0612245,1332.52
0.0816327,1344.95
0.102041,1359.42
0.122449,1378.4
0.142857,1400.5
0.163265,1426.23
0.183673,1454.98
0.204082,1487.45
0.22449,1523.36
0.244898,1562.24
0.265306,1605.97
0.285714,1654.12
0.306122,1706.29
0.326531,1767.11
0.346939,1835.28
0.367347,1917.75
0.387755,2015.44
0.408163,2119.69
0.428571,2320.18
0.44898,2698.92
0.469388,2664.98
0.489796,1877.32
0.510204,1031.6
0.530612,569.494
0.55102,448.481
0.571429,370.541
0.591837,298.701
0.612245,241.812
0.632653,200.468
0.653061,168.844
0.673469,143.953
0.693878,123.034
0.714286,105.875
0.734694,91.5087
0.755102,79.6348
0.77551,69.4453
0.795918,60.8909
0.816327,53.6973
0.836735,47.3707
0.857143,41.8399
0.877551,37.4377
0.897959,33.2216
0.918367,29.7962
0.938776,26.5404
0.959184,23.8815
0.979592,21.4336
1,19.4152
