# 20251208_111059
qT,primespec
0,395872
0.004004,389200
0.00800801,382048
0.012012,370233
0.016016,349751
0.02002,325507
0.024024,298313
0.028028,267802
0.032032,236656
0.036036,204404
0.04004,172821
0.044044,142681
0.048048,114405
0.0520521,89012.3
0.0560561,66681.6
0.0600601,47617.4
0.0640641,32299.4
0.0680681,20161.9
0.0720721,10241.9
0.0760761,3464.13
0.0800801,1557.07
0.0840841,1128.94
0.0880881,921.195
0.0920921,1032.82
0.0960961,2574.46
0.1001,5908
0.104104,8255.6
0.108108,10411.6
0.112112,11937.5
0.116116,13207.6
0.12012,13812.3
0.124124,13676.7
0.128128,13314.5
0.132132,12749.1
0.136136,11578.3
0.14014,10224.4
0.144144,8847.23
0.148148,7423.81
0.152152,6130.86
0.156156,4932.34
0.16016,3954.05
0.164164,3152.73
0.168168,2541.26
0.172172,2195.2
0.176176,1950.83
0.18018,1843.09
0.184184,1875.65
0.188188,1958.79
0.192192,2058.55
0.196196,2204.33
0.2002,2340.24
0.204204,2436.47
0.208208,2511.18
0.212212,2522.74
0.216216,2494.47
0.22022,2448.69
0.224224,2367.8
0.228228,2245.1
0.232232,2121.4
0.236236,1988.18
0.24024,1861.83
0.244244,1749.31
0.248248,1648.26
0.252252,1570.31
0.256256,1507.28
0.26026,1458.4
0.264264,1423.93
0.268268,1396.49
0.272272,1369.14
0.276276,1343.36
0.28028,1315.09
0.284284,1279.66
0.288288,1238.67
0.292292,1194.96
0.296296,1146.45
0.3003,1099.19
0.304304,1055.57
0.308308,1015.22
0.312312,983.62
0.316316,958.06
0.32032,937.516
0.324324,922.415
0.328328,909.987
0.332332,895.76
0.336336,880.042
0.34034,861.854
0.344344,838.599
0.348348,810.934
0.352352,782.543
0.356356,751.872
0.36036,723.812
0.364364,700.298
0.368368,680.115
0.372372,667.664
0.376376,659.806
0.38038,653.892
0.384384,649.537
0.388388,645.962
0.392392,639.927
0.396396,628.235
0.4004,612.827
0.404404,593.292
0.408408,569.089
0.412412,545.682
0.416416,521.625
0.42042,501.267
0.424424,486.572
0.428428,474.937
0.432432,469.01
0.436436,466.403
0.44044,463.893
0.444444,459.909
0.448448,454.527
0.452452,446.648
0.456456,432.594
0.46046,415.619
0.464464,397.245
0.468468,377.435
0.472472,361.658
0.476476,347.479
0.48048,338.738
0.484484,336.928
0.488488,335.965
0.492492,335.835
0.496496,336.681
0.500501,337.445
0.504505,334.779
0.508509,326.633
0.512513,316.968
0.516517,303.441
0.520521,289.707
0.524525,277.82
0.528529,267.283
0.532533,264.096
0.536537,263.737
0.540541,263.584
0.544545,265.059
0.548549,268.593
0.552553,269.592
0.556557,266.135
0.560561,260.245
0.564565,251.42
0.568569,238.338
0.572573,226.297
0.576577,214.097
0.580581,205.201
0.584585,201.68
0.588589,199.441
0.592593,199.015
0.596597,200.796
0.600601,202.518
0.604605,201.417
0.608609,197.369
0.612613,191.933
0.616617,182.392
0.620621,171.929
0.624625,162.699
0.628629,154.192
0.632633,151.735
0.636637,152.195
0.640641,153.107
0.644645,155.921
0.648649,161.288
0.652653,163.214
0.656657,162.361
0.660661,160.668
0.664665,156.456
0.668669,148.134
0.672673,140.836
0.676677,133.734
0.680681,129.176
0.684685,129.168
0.688689,130.022
0.692693,131.192
0.696697,133.589
0.700701,135.603
0.704705,134.508
0.708709,130.16
0.712713,124.654
0.716717,116.002
0.720721,107.172
0.724725,100.58
0.728729,94.964
0.732733,93.3135
0.736737,94.6919
0.740741,96.9239
0.744745,99.4784
0.748749,102.587
0.752753,103.621
0.756757,101.706
0.760761,98.4501
0.764765,94.0353
0.768769,88.1528
0.772773,85.3453
0.776777,84.4854
0.780781,84.0545
0.784785,85.4725
0.788789,90.1001
0.792793,93.1046
0.796797,94.3743
0.800801,95.0784
0.804805,93.4653
0.808809,87.5927
0.812813,81.3984
0.816817,74.2436
0.820821,68.3449
0.824825,65.7847
0.828829,64.1202
0.832833,63.6798
0.836837,65.2034
0.840841,66.9366
0.844845,66.7863
0.848849,65.5017
0.852853,63.6349
0.856857,59.4198
0.860861,55.1031
0.864865,53.059
0.868869,51.656
0.872873,51.2919
0.876877,54.0291
0.880881,58.4166
0.884885,61.9861
0.888889,65.5466
0.892893,66.8443
0.896897,65.4273
0.900901,62.8464
0.904905,59.344
0.908909,54.3759
0.912913,51.2285
0.916917,49.5342
0.920921,48.5491
0.924925,48.9232
0.928929,50.4712
0.932933,51.2049
0.936937,50.3238
0.940941,48.5591
0.944945,45.6091
0.948949,40.5559
0.952953,36.5459
0.956957,33.3775
0.960961,31.3229
0.964965,31.7117
0.968969,34.1929
0.972973,37.0325
0.976977,40.4514
0.980981,43.357
0.984985,43.4916
0.988989,42.6708
0.992993,41.4797
0.996997,38.5656
1.001,35.8523
1.00501,35.571
1.00901,35.6548
1.01301,35.8303
1.01702,37.6618
1.02102,39.9565
1.02503,40.0805
1.02903,39.236
1.03303,37.9114
1.03704,34.3021
1.04104,29.8918
1.04505,26.7127
1.04905,23.944
1.05305,22.9241
1.05706,23.8953
1.06106,25.6686
1.06507,27.4047
1.06907,29.4427
