# 20251208_111321
# primespec:	data/XeXe544_cc_(0,5)/primaryspec/spec_20251208_110216_205/spectr.txt
# qmax:	4
# ma:	1.45714
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.714992
# [=>] Eabc:	0.72857
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1651.77
0.0204082,1652.64
0.0408163,1655.27
0.0612245,1659.76
0.0816327,1666.38
0.102041,1675.53
0.122449,1685.2
0.142857,1697.02
0.163265,1711.07
0.183673,1726.68
0.204082,1743.67
0.22449,1762.28
0.244898,1784.45
0.265306,1807.6
0.285714,1833.85
0.306122,1861.88
0.326531,1893.4
0.346939,1926.57
0.367347,1964.36
0.387755,2004.89
0.408163,2049.49
0.428571,2097.59
0.44898,2151.78
0.469388,2212.38
0.489796,2278.01
0.510204,2352.74
0.530612,2439.77
0.55102,2537.23
0.571429,2653.71
0.591837,2793.37
0.612245,2977.86
0.632653,3205.17
0.653061,3644.51
0.673469,3893.61
0.693878,5013.99
0.714286,4564.8
0.734694,1872.63
0.755102,960.713
0.77551,808.424
0.795918,463.945
0.816327,393.087
0.836735,332.154
0.857143,274.899
0.877551,237.033
0.897959,205.068
0.918367,178.096
0.938776,155.893
0.959184,137.264
0.979592,121.499
1,107.984
