# 20251208_105929
# initdata:	data/XeXe544_cc_(0,5)/initdata.csv
# freezeout file: 	data/XeXe544_cc_(0,5)/freezeout.csv
# particle mass:	0.994286
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,394234
0.0100251,375538
0.0200501,323780
0.0300752,250565
0.0401003,171137
0.0501253,99877.6
0.0601504,46564.5
0.0701754,14585.2
0.0802005,1430.39
0.0902256,912.895
0.100251,6002.58
0.110276,11160.5
0.120301,13484.5
0.130326,12593
0.140351,9675.28
0.150376,6335.16
0.160401,3745.82
0.170426,2333.71
0.180451,1913.85
0.190476,2030.95
0.200501,2265.46
0.210526,2380.06
0.220551,2315.13
0.230576,2113.88
0.240602,1852.43
0.250627,1602.26
0.260652,1413.41
0.270677,1302.33
0.280702,1246.88
0.290727,1200.71
0.300752,1125.76
0.310777,1020.11
0.320802,915.573
0.330827,845.359
0.340852,811.668
0.350877,785.096
0.360902,736.24
0.370927,666.251
0.380952,603.761
0.390977,571.898
0.401003,562.225
0.411028,544.922
0.421053,503.372
0.431078,452.961
0.441103,422.012
0.451128,417.451
0.461153,416.338
0.471178,393.535
0.481203,351.816
0.491228,317.465
0.501253,307.079
0.511278,307.326
0.521303,293.097
0.531328,260.454
0.541353,231.71
0.551378,226.12
0.561404,234.752
0.571429,232.561
0.581454,211.396
0.591479,189.469
0.601504,185.288
0.611529,191.822
0.621554,186.562
0.631579,163.106
0.641604,140.146
0.651629,135.529
0.661654,142.17
0.671679,139.556
0.681704,123.595
0.691729,111.628
0.701754,115.914
0.711779,124.894
0.721805,119.765
0.73183,101.694
0.741855,89.5195
0.75188,91.8726
0.761905,95.5799
0.77193,87.0509
0.781955,73.4442
0.79198,71.3611
0.802005,80.8704
0.81203,84.9498
0.822055,74.9372
0.83208,62.6491
0.842105,61.1817
0.85213,65.1426
0.862155,60.885
0.87218,49.371
0.882206,44.8737
0.892231,52.0496
0.902256,58.4313
0.912281,54.0187
0.922306,46.0423
0.932331,45.6362
0.942356,49.1641
0.952381,44.9233
0.962406,33.5533
0.972431,27.9911
0.982456,33.0303
0.992481,38.2468
1.00251,35.4688
1.01253,31.3137
1.02256,34.382
1.03258,39.5373
1.04261,36.0849
1.05263,25.8688
1.06266,20.6972
1.07268,23.6797
1.08271,25.7637
1.09273,22.1862
1.10276,20.0104
1.11278,24.4703
1.12281,28.735
1.13283,25.1164
1.14286,18.1056
1.15288,16.7179
1.16291,19.7633
1.17293,19.3436
1.18296,15.4416
1.19298,15.5172
1.20301,20.3307
1.21303,21.6958
1.22306,16.3694
1.23308,11.5777
1.24311,12.6652
1.25313,14.8278
1.26316,12.9078
1.27318,10.9055
1.28321,14.1196
1.29323,18.5755
1.30326,17.1586
1.31328,11.6164
1.32331,9.21618
1.33333,10.5039
1.34336,9.92829
1.35338,7.10243
1.36341,7.56273
1.37343,11.9378
1.38346,13.8767
1.39348,10.7865
1.40351,7.92988
1.41353,8.79278
1.42356,9.53795
1.43358,7.14389
1.44361,5.47078
1.45363,7.92701
1.46366,10.6521
1.47368,9.07823
1.48371,5.81998
1.49373,5.59044
1.50376,6.92471
1.51378,5.8684
1.52381,4.05812
1.53383,5.70425
1.54386,9.23029
1.55388,9.44645
1.56391,6.3974
1.57393,4.74491
1.58396,5.3576
1.59398,4.80075
1.60401,2.85798
1.61404,3.22396
1.62406,6.12637
1.63409,7.2517
1.64411,5.26948
1.65414,3.88241
1.66416,4.79259
1.67419,5.00492
1.68421,3.20083
1.69424,2.58489
1.70426,4.69209
1.71429,6.12121
1.72431,4.53608
1.73434,2.64866
1.74436,2.95434
1.75439,3.50162
1.76441,2.43145
1.77444,1.97208
1.78446,4.00173
1.79449,5.91379
1.80451,4.98736
1.81454,3.06856
1.82456,2.86771
1.83459,3.20705
1.84461,2.09379
1.85464,1.10814
1.86466,2.36048
1.87469,4.07718
1.88471,3.59652
1.89474,2.10574
1.90476,2.13296
1.91479,2.85925
1.92481,2.23854
1.93484,1.40438
1.94486,2.51112
1.95489,4.22805
1.96491,3.82102
1.97494,1.96166
1.98496,1.27339
1.99499,1.67194
2.00501,1.35942
2.01504,0.880806
2.02506,1.94726
2.03509,3.53793
2.04511,3.32876
2.05514,1.89106
2.06516,1.52805
2.07519,2.06119
2.08521,1.67141
2.09524,0.812352
2.10526,1.32017
2.11529,2.56954
2.12531,2.40943
2.13534,1.13365
2.14536,0.798683
2.15539,1.38751
2.16541,1.3062
2.17544,0.884728
2.18546,1.69204
2.19549,3.05419
2.20551,2.88304
2.21554,1.41967
2.22556,0.721171
2.23559,1.01295
2.24561,0.891285
2.25564,0.498123
2.26566,1.11942
2.27569,2.19285
2.28571,2.01454
2.29574,0.933791
2.30576,0.720417
2.31579,1.315
2.32581,1.26309
2.33584,0.749805
2.34586,1.123
2.35589,1.97742
2.36591,1.73906
2.37594,0.643885
2.38596,0.27174
2.39599,0.67263
2.40602,0.706504
2.41604,0.581179
2.42607,1.29617
2.43609,2.21444
2.44612,1.90331
2.45614,0.792006
2.46617,0.433409
2.47619,0.790973
2.48622,0.723344
2.49624,0.396072
2.50627,0.743285
2.51629,1.29493
2.52632,0.954538
2.53634,0.205066
2.54637,0.26623
2.55639,0.847342
2.56642,0.901373
2.57644,0.720442
2.58647,1.14366
2.59649,1.6133
2.60652,1.13415
2.61654,0.264263
2.62657,0.152838
2.63659,0.524959
2.64662,0.493012
2.65664,0.350589
2.66667,0.736409
2.67669,1.08069
2.68672,0.664032
2.69674,0.158592
2.70677,0.435032
2.71679,0.930304
2.72682,0.78287
2.73684,0.438147
2.74687,0.604224
2.75689,0.799286
2.76692,0.409723
2.77694,0.0124936
2.78697,0.261001
2.79699,0.628814
2.80702,0.521895
2.81704,0.424992
2.82707,0.77322
2.83709,0.94265
2.84712,0.476585
2.85714,0.0633469
2.86717,0.267738
2.87719,0.531857
2.88722,0.348984
2.89724,0.170269
2.90727,0.331251
2.91729,0.358352
2.92732,0.0721093
2.93734,0.0920044
2.94737,0.596961
2.95739,0.862103
2.96742,0.576874
2.97744,0.350061
2.98747,0.463247
2.99749,0.417765
3.00752,0.0906282
3.01754,0.0437805
3.02757,0.367157
3.03759,0.464812
3.04762,0.21581
3.05764,0.138685
3.06767,0.295874
3.07769,0.239104
3.08772,0.0546932
3.09774,0.254691
3.10777,0.676716
3.11779,0.670905
3.12782,0.273563
3.13784,0.0759749
3.14787,0.129797
3.15789,0.0672285
3.16792,0.0124312
3.17794,0.297611
3.18797,0.615825
3.19799,0.485366
3.20802,0.165775
3.21805,0.16077
3.22807,0.291269
3.2381,0.171366
3.24812,0.0453751
3.25815,0.259174
3.26817,0.486881
3.2782,0.323688
3.28822,0.0448189
3.29825,0.0314283
3.30827,0.0995986
3.3183,0.0552256
3.32832,0.180568
3.33835,0.559809
3.34837,0.698077
3.3584,0.370319
3.36842,0.0613583
3.37845,0.0948939
3.38847,0.15347
3.3985,0.0491387
3.40852,0.0869064
3.41855,0.319353
3.42857,0.337162
3.4386,0.0884394
3.44862,0.0214749
3.45865,0.217689
3.46867,0.277484
3.4787,0.170611
3.48872,0.273676
3.49875,0.520443
3.50877,0.454419
3.5188,0.123244
3.52882,0.00625603
3.53885,0.127674
3.54887,0.13164
3.5589,0.0731274
3.56892,0.242991
3.57895,0.438603
3.58897,0.292909
3.599,0.0457557
3.60902,0.134745
3.61905,0.366763
3.62907,0.321059
3.6391,0.161175
3.64912,0.238859
3.65915,0.354194
3.66917,0.193449
3.6792,0.00872475
3.68922,0.127174
3.69925,0.308886
3.70927,0.261361
3.7193,0.213609
3.72932,0.367543
