# 20251208_110419
# initdata:	data/XeXe544_cc_(0,5)/initdata.csv
# freezeout file: 	data/XeXe544_cc_(0,5)/freezeout.csv
# particle mass:	1.80571
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,492683
0.0100251,470154
0.0200501,407505
0.0300752,318103
0.0401003,219899
0.0501253,130487
0.0601504,62697.5
0.0701754,22038.9
0.0802005,6582.36
0.0902256,9000.16
0.100251,19826.4
0.110276,30454.7
0.120301,35675.2
0.130326,33937.3
0.140351,26816.9
0.150376,17454.8
0.160401,8955.74
0.170426,3285.7
0.180451,910.494
0.190476,1093.53
0.200501,2540.46
0.210526,4041.11
0.220551,4864.72
0.230576,4838.79
0.240602,4191.55
0.250627,3305.73
0.260652,2513.12
0.270677,1992.34
0.280702,1764.39
0.290727,1744.91
0.300752,1810.78
0.310777,1855.24
0.320802,1821.13
0.330827,1708.97
0.340852,1561.02
0.350877,1429.2
0.360902,1343.34
0.370927,1297.49
0.380952,1261.66
0.390977,1208.57
0.401003,1134.32
0.411028,1057.49
0.421053,999.394
0.431078,964.228
0.441103,936.579
0.451128,897.642
0.461153,843.923
0.471178,790.333
0.481203,754.992
0.491228,740.802
0.501253,732.006
0.511278,709.234
0.521303,668.143
0.531328,623.184
0.541353,592.757
0.551378,580.804
0.561404,573.415
0.571429,553.722
0.581454,519.564
0.591479,485.589
0.601504,467.683
0.611529,466.117
0.621554,465.215
0.631579,449.8
0.641604,420.841
0.651629,393.656
0.661654,380.897
0.671679,378.958
0.681704,372.571
0.691729,352.198
0.701754,324.798
0.711779,306.068
0.721805,303.104
0.73183,307.019
0.741855,303.515
0.75188,288.91
0.761905,273.224
0.77193,267.303
0.781955,269.565
0.79198,267.988
0.802005,254.568
0.81203,234.69
0.822055,220.339
0.83208,215.807
0.842105,213.474
0.85213,204.448
0.862155,190.371
0.87218,181.363
0.882206,182.875
0.892231,188.183
0.902256,186.357
0.912281,175.614
0.922306,165.025
0.932331,162.407
0.942356,164.053
0.952381,159.635
0.962406,145.965
0.972431,131.708
0.982456,126.813
0.992481,130.31
1.00251,132.3
1.01253,127.047
1.02256,119.941
1.03258,119.335
1.04261,124.687
1.05263,127.009
1.06266,120.718
1.07268,110.604
1.08271,104.731
1.09273,103.563
1.10276,100.465
1.11278,92.3629
1.12281,84.9513
1.13283,84.8059
1.14286,89.716
1.15288,91.3584
1.16291,86.7807
1.17293,82.2208
1.18296,83.567
1.19298,87.1389
1.20301,84.41
1.21303,74.3185
1.22306,65.4534
1.23308,64.6133
1.24311,67.8598
1.25313,66.8282
1.26316,61.0946
1.27318,58.6044
1.28321,63.5574
1.29323,69.5284
1.30326,68.0528
1.31328,60.2927
1.32331,54.9213
1.33333,55.5738
1.34336,56.3287
1.35338,51.444
1.36341,44.4344
1.37343,42.9612
1.38346,47.4826
1.39348,50.7374
1.40351,48.4732
1.41353,45.0114
1.42356,45.6397
1.43358,48.0883
1.44361,46.2829
1.45363,40.1826
1.46366,36.1506
1.47368,37.3461
1.48371,39.2455
1.49373,37.1547
1.50376,33.6391
1.51378,34.1075
1.52381,37.7376
1.53383,38.3703
1.54386,34.0732
1.55388,30.197
1.56391,31.0621
1.57393,33.481
1.58396,32.2645
1.59398,28.6335
1.60401,27.9679
1.61404,30.7139
1.62406,31.381
1.63409,27.368
1.64411,23.3008
1.65414,23.7706
1.66416,26.2136
