# 20260616_150916
qT,primespec
0,143026
0.004004,141161
0.00800801,139155
0.012012,135826
0.016016,130008
0.02002,123037
0.024024,115100
0.028028,106029
0.032032,96564.1
0.036036,86499.3
0.04004,76344
0.044044,66292.9
0.048048,56467.4
0.0520521,47214.8
0.0560561,38572.6
0.0600601,30724.6
0.0640641,23790.4
0.0680681,17770.3
0.0720721,12719
0.0760761,8654.34
0.0800801,5417.49
0.0840841,2906.09
0.0880881,1346.96
0.0920921,541.102
0.0960961,156.349
0.1001,78.6321
0.104104,173.208
0.108108,747.607
0.112112,1537.94
0.116116,2222.24
0.12012,2845.92
0.124124,3406.13
0.128128,3881.53
0.132132,4148.16
0.136136,4331.56
0.14014,4413.25
0.144144,4340.48
0.148148,4162.33
0.152152,3946.36
0.156156,3633.68
0.16016,3289.36
0.164164,2941.54
0.168168,2586.58
0.172172,2257.35
0.176176,1947.5
0.18018,1673.89
0.184184,1436.21
0.188188,1232.68
0.192192,1071.34
0.196196,936.741
0.2002,838.078
0.204204,766.275
0.208208,714
0.212212,696.151
0.216216,688.813
0.22022,685.819
0.224224,695.768
0.228228,719.269
0.232232,741.416
0.236236,765.927
0.24024,782.13
0.244244,786.016
0.248248,788.254
0.252252,786.253
0.256256,765.215
0.26026,735.469
0.264264,701.201
0.268268,659.679
0.272272,619.72
0.276276,579.2
0.28028,544.128
0.284284,516.132
0.288288,493.114
0.292292,479.255
0.296296,470.562
0.3003,463.916
0.304304,458.808
0.308308,454.443
0.312312,447.422
0.316316,435.13
0.32032,419.499
0.324324,399.974
0.328328,376.56
0.332332,354.102
0.336336,331.094
0.34034,312.216
0.344344,298.323
0.348348,287.621
0.352352,284.671
0.356356,284.268
0.36036,283.908
0.364364,283.338
0.368368,282.532
0.372372,280.446
0.376376,271.524
0.38038,258.984
0.384384,244.049
0.388388,226.061
0.392392,209.928
0.396396,193.884
0.4004,182.726
0.404404,177.86
0.408408,174.692
0.412412,174.431
0.416416,178.699
0.42042,182.967
0.424424,184.135
0.428428,184.838
0.432432,184.405
0.436436,177.664
0.44044,168.137
0.444444,157.868
0.448448,146.502
0.452452,138.796
0.456456,132.847
0.46046,129.661
0.464464,130.974
0.468468,134.896
0.472472,138.898
0.476476,143.792
0.48048,147.073
0.484484,145.946
0.488488,142.031
0.492492,136.583
0.496496,126.416
0.500501,115.107
0.504505,104.611
0.508509,94.8152
0.512513,89.9824
0.516517,87.4469
0.520521,86.2018
0.524525,87.5082
0.528529,90.718
0.532533,91.7868
0.536537,91.1879
0.540541,90.0022
0.544545,86.4059
0.548549,79.0459
0.552553,71.9117
0.556557,63.7598
0.560561,58.4186
0.564565,57.5746
0.568569,57.1793
0.572573,57.3825
0.576577,61.7325
0.580581,67.556
0.584585,71.3108
0.588589,74.4936
0.592593,75.2461
0.596597,72.8165
0.600601,68.9896
0.604605,64.121
0.608609,58.114
0.612613,54.5117
0.616617,52.2908
0.620621,51.0957
0.624625,52.0702
0.628629,55.0537
0.632633,57.2197
0.636637,58.6212
0.640641,59.4406
0.644645,58.0599
0.648649,53.4826
0.652653,48.3086
0.656657,41.4957
0.660661,35.4639
0.664665,31.5103
0.668669,28.4617
0.672673,27.6925
0.676677,29.2312
0.680681,31.5968
0.684685,33.8462
0.688689,36.2776
0.692693,37.0397
0.696697,35.9279
0.700701,34.064
0.704705,31.2625
0.708709,27.6001
0.712713,26.3993
0.716717,26.4435
0.720721,26.5456
0.724725,27.8621
0.728729,32.0158
0.732733,35.7321
0.736737,38.7643
0.740741,40.7919
0.744745,40.2921
0.748749,37.9936
0.752753,35.07
0.756757,30.3811
0.760761,25.8048
0.764765,22.6032
0.768769,20.0076
0.772773,19.2519
0.776777,19.9328
0.780781,20.9108
0.784785,21.5757
0.788789,22.1594
0.792793,22.2891
0.796797,20.5843
0.800801,17.9815
0.804805,15.1336
0.808809,12.0654
0.812813,11.0887
0.816817,11.3251
0.820821,11.8341
0.824825,13.1888
0.828829,16.5505
0.832833,19.5846
0.836837,21.8385
0.840841,23.3505
0.844845,23.0895
0.848849,21.6545
