# 20260616_144322
# initdata:	data/XeXe544_cc_(0,5)plus10/initdata.csv
# freezeout file: 	data/XeXe544_cc_(0,5)plus10/freezeout.csv
# particle mass:	1
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,169157
0.0100251,163266
0.0200501,146592
0.0300752,121903
0.0401003,93093.2
0.0501253,64322
0.0601504,39161.4
0.0701754,19966
0.0802005,7600.96
0.0902256,1548.87
0.100251,309.702
0.110276,1943.22
0.120301,4591.4
0.130326,6855.47
0.140351,7968.38
0.150376,7771.24
0.160401,6551.01
0.170426,4817.04
0.180451,3077.58
0.190476,1743.14
0.200501,947.243
0.210526,667.587
0.220551,738.717
0.230576,954.376
0.240602,1147.45
0.250627,1233.09
0.260652,1207.31
0.270677,1113.08
0.280702,998.197
0.290727,888.89
0.300752,788.398
0.310777,692.84
0.320802,606.454
0.330827,542.688
0.340852,511.802
0.350877,508.053
0.360902,509.892
0.370927,494.688
0.380952,455.864
0.390977,407.28
0.401003,370.492
0.411028,355.853
0.421053,354.208
0.431078,346.521
0.441103,322.199
0.451128,288.795
0.461153,263.98
0.471178,257.796
0.481203,262.67
0.491228,261.015
0.501253,242.735
0.511278,214.973
0.521303,194.309
0.531328,189.597
0.541353,193.211
0.551378,189.654
0.561404,172.209
0.571429,149.831
0.581454,137.102
0.591479,138.333
0.601504,143.221
0.611529,138.628
0.621554,123.225
0.631579,108.631
0.641604,105.95
0.651629,113.089
0.661654,117.252
0.671679,109.554
0.681704,94.8245
0.691729,85.4171
0.701754,86.5671
0.711779,90.6052
0.721805,86.6332
0.73183,73.8445
0.741855,62.4683
0.75188,61.3982
0.761905,67.6341
0.77193,70.2791
0.781955,63.9196
0.79198,54.8473
0.802005,52.6604
0.81203,57.9991
0.822055,61.7876
0.83208,56.7157
0.842105,46.3168
0.85213,40.2703
0.862155,42.1733
0.87218,45.4595
0.882206,42.4254
0.892231,34.4186
0.902256,29.9901
0.912281,33.6213
0.922306,39.8481
0.932331,40.3068
0.942356,34.27
0.952381,28.9236
0.962406,29.4482
0.972431,32.3387
0.982456,30.6678
0.992481,23.8206
1.00251,18.4556
1.01253,19.6025
1.02256,24.1485
1.03258,25.415
1.04261,22.2502
1.05263,20.0892
1.06266,22.7912
1.07268,26.8328
1.08271,25.9784
1.09273,19.8673
1.10276,14.5793
1.11278,14.4942
1.12281,16.8198
1.13283,16.1844
1.14286,12.514
1.15288,11.025
1.16291,14.5301
1.17293,19.1256
1.18296,19.3638
1.19298,15.5256
1.20301,12.7964
1.21303,13.7943
1.22306,15.1869
1.23308,12.9668
1.24311,8.49816
1.25313,6.63126
1.26316,8.83318
1.27318,11.3368
1.28321,10.7577
1.29323,8.78181
1.30326,9.18372
1.31328,11.8487
1.32331,12.7445
1.33333,9.83793
1.34336,6.17294
1.35338,5.61503
1.36341,7.5727
1.37343,8.3265
1.38346,6.71146
1.39348,5.61892
1.40351,7.27382
1.41353,9.57394
