# 20260616_144546
# initdata:	data/XeXe544_cc_(0,5)plus10/initdata.csv
# freezeout file: 	data/XeXe544_cc_(0,5)plus10/freezeout.csv
# particle mass:	1.41714
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,186866
0.0100251,180435
0.0200501,162199
0.0300752,135103
0.0401003,103339
0.0501253,71465.5
0.0601504,43508.1
0.0701754,22239.6
0.0802005,8808.85
0.0902256,2765.45
0.100251,2431.3
0.110276,5486.22
0.120301,9595.81
0.130326,12922.3
0.140351,14413.3
0.150376,13838
0.160401,11613.9
0.170426,8514.25
0.180451,5360.75
0.190476,2788.17
0.200501,1125.58
0.210526,395.524
0.220551,397.026
0.230576,823.887
0.240602,1373.58
0.250627,1819.8
0.260652,2041.67
0.270677,2017.85
0.280702,1799.96
0.290727,1478.27
0.300752,1148.65
0.310777,885.89
0.320802,727.271
0.330827,669.31
0.340852,677.972
0.350877,708.296
0.360902,724.882
0.370927,714.038
0.380952,682.575
0.390977,645.993
0.401003,614.847
0.411028,588.419
0.421053,558.785
0.431078,520.713
0.441103,478.343
0.451128,442.957
0.461153,423.685
0.471178,419.208
0.481203,417.869
0.491228,406.621
0.501253,381.472
0.511278,350.541
0.521303,326.941
0.531328,317.468
0.541353,316.939
0.551378,313.107
0.561404,297.79
0.571429,274.128
0.581454,253.507
0.591479,244.622
0.601504,245.422
0.611529,244.932
0.621554,233.679
0.631579,212.712
0.641604,192.659
0.651629,183.658
0.661654,185.852
0.671679,189.601
0.681704,185.099
0.691729,171.833
0.701754,158.564
0.711779,154.019
0.721805,157.843
0.73183,161.015
0.741855,155.199
0.75188,141.25
0.761905,128.083
0.77193,123.192
0.781955,124.903
0.79198,124.53
0.802005,116.019
0.81203,102.644
0.822055,93.5438
0.83208,93.9309
0.842105,99.6502
0.85213,101.922
0.862155,96.8992
0.87218,89.4196
0.882206,86.9434
0.892231,90.6995
0.902256,94.1311
0.912281,90.3455
0.922306,79.9927
0.932331,70.5395
0.942356,67.8487
0.952381,69.8063
0.962406,69.2897
0.972431,62.8203
0.982456,54.7008
0.992481,51.8497
1.00251,55.6007
1.01253,60.2217
