# 20260616_142644
# primespec:	data/XeXe544_cc_(0,5)plus5/primaryspec/spec_20260616_140703_125/spectr.txt
# qmax:	4
# ma:	1
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.48
# [=>] Eabc:	0.5
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,2020.12
0.0204082,2022.74
0.0408163,2028.71
0.0612245,2039.37
0.0816327,2055.56
0.102041,2075.93
0.122449,2102.73
0.142857,2134.02
0.163265,2171.05
0.183673,2213.62
0.204082,2262.3
0.22449,2318.67
0.244898,2381.05
0.265306,2453.58
0.285714,2536.73
0.306122,2631.41
0.326531,2743.61
0.346939,2876.85
0.367347,3047.25
0.387755,3236.1
0.408163,3608.96
0.428571,3882.54
0.44898,4679.38
0.469388,5524.68
0.489796,3251.51
0.510204,1078.32
0.530612,775.235
0.55102,590.061
0.571429,360.24
0.591837,302.221
0.612245,249.193
0.632653,200.442
0.653061,167.58
0.673469,141.538
0.693878,120.255
0.714286,102.823
0.734694,88.7219
0.755102,76.4753
0.77551,66.2001
0.795918,57.9316
0.816327,50.7151
0.836735,44.8226
0.857143,39.4402
0.877551,35.2332
0.897959,30.8621
0.918367,27.7151
0.938776,24.6083
0.959184,22.3082
0.979592,19.9323
1,17.9808
