# 20260616_143110
# primespec:	data/XeXe544_cc_(0,5)plus5/primaryspec/spec_20260616_141225_280/spectr.txt
# qmax:	4
# ma:	1.88571
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.932403
# [=>] Eabc:	0.942855
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,995.166
0.0204082,995.467
0.0408163,996.355
0.0612245,997.846
0.0816327,999.954
0.102041,1002.71
0.122449,1006.14
0.142857,1010.3
0.163265,1015.3
0.183673,1021.4
0.204082,1028.52
0.22449,1036.57
0.244898,1044.68
0.265306,1053.27
0.285714,1062.29
0.306122,1072.12
0.326531,1082.7
0.346939,1094.03
0.367347,1106.01
0.387755,1119.29
0.408163,1133.03
0.428571,1147.63
0.44898,1163.04
0.469388,1179.98
0.489796,1198.59
0.510204,1217.39
0.530612,1238.67
0.55102,1260.31
0.571429,1284.14
0.591837,1310.05
0.612245,1337.19
0.632653,1367.3
0.653061,1400.82
0.673469,1437.2
0.693878,1477.22
0.714286,1521.18
0.734694,1571.96
0.755102,1630.13
0.77551,1698.34
0.795918,1780.57
0.816327,1900.39
0.836735,2001.35
0.857143,2283.51
0.877551,2422.51
0.897959,2539.4
0.918367,2942.04
0.938776,2180.89
0.959184,1087.41
0.979592,847.597
1,603.217
