# 20260616_140523
# initdata:	data/XeXe544_cc_(0,5)plus5/initdata.csv
# freezeout file: 	data/XeXe544_cc_(0,5)plus5/freezeout.csv
# particle mass:	0.714286
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,220044
0.0100251,210659
0.0200501,184476
0.0300752,146827
0.0401003,104884
0.0501253,65704.3
0.0601504,34524.5
0.0701754,13783.2
0.0802005,3099.3
0.0902256,50.2225
0.100251,1357.88
0.110276,4021.55
0.120301,6046.92
0.130326,6638.28
0.140351,5942.78
0.150376,4574.07
0.160401,3162.24
0.170426,2091.97
0.180451,1460.44
0.190476,1179.49
0.200501,1107.35
0.210526,1128.59
0.220551,1168.15
0.230576,1175.7
0.240602,1120.29
0.250627,1002.13
0.260652,858.353
0.270677,741.392
0.280702,680.093
0.290727,657.864
0.300752,630.938
0.310777,571.197
0.320802,491.823
0.330827,430.154
0.340852,406.36
0.350877,402.375
0.360902,383.489
0.370927,337.821
0.380952,288.866
0.390977,267.089
0.401003,273.962
0.411028,280.576
0.421053,262.007
0.431078,225.881
0.441103,200.938
0.451128,200.447
0.461153,206.147
0.471178,192.252
0.481203,158.491
0.491228,130.073
0.501253,125.356
0.511278,133.516
0.521303,130.712
0.531328,112.205
0.541353,97.392
0.551378,101.871
0.561404,115.218
0.571429,114.748
0.581454,95.8336
0.591479,77.0277
0.601504,73.796
0.611529,78.2052
0.621554,72.4577
0.631579,55.7423
0.641604,45.5878
0.651629,52.3541
0.661654,64.1899
0.671679,63.9368
0.681704,52.8337
0.691729,46.7368
0.701754,51.592
0.711779,54.9553
0.721805,45.4669
0.73183,30.3947
0.741855,25.1352
0.75188,31.1468
0.761905,35.4067
0.77193,30.9402
0.781955,26.3834
0.79198,30.7363
0.802005,38.0899
0.81203,36.2807
0.822055,25.5672
0.83208,18.158
0.842105,19.867
0.85213,22.7242
0.862155,19.15
0.87218,14.2381
0.882206,16.756
0.892231,24.055
0.902256,25.4493
0.912281,18.546
0.922306,12.4796
0.932331,13.4256
0.942356,15.9801
0.952381,13.4066
0.962406,9.11579
0.972431,10.632
0.982456,16.6057
0.992481,18.4549
1.00251,13.7235
1.01253,9.28116
1.02256,9.79998
1.03258,10.9527
1.04261,7.98206
1.05263,4.44083
1.06266,6.28837
1.07268,11.5675
1.08271,13.1432
1.09273,9.84413
1.10276,7.5398
1.11278,8.94596
1.12281,9.5723
1.13283,6.14562
1.14286,2.67036
1.15288,3.86103
1.16291,7.34333
1.17293,7.75161
1.18296,5.41954
1.19298,4.99689
1.20301,7.00149
1.21303,7.0841
1.22306,3.95648
1.23308,1.97705
1.24311,3.92499
1.25313,6.45623
1.26316,5.85141
1.27318,3.95505
1.28321,4.34719
1.29323,5.88757
1.30326,4.91053
1.31328,1.92694
1.32331,0.993681
1.33333,2.959
1.34336,4.3378
1.35338,3.46346
1.36341,2.99399
1.37343,4.66335
1.38346,5.84987
1.39348,4.05414
1.40351,1.34275
1.41353,1.01249
1.42356,2.38154
1.43358,2.56743
1.44361,1.6483
1.45363,2.05273
1.46366,3.68232
1.47368,3.78418
1.48371,1.8211
1.49373,0.587109
1.50376,1.55969
1.51378,2.66163
1.52381,2.15857
1.53383,1.58417
1.54386,2.62801
1.55388,3.80068
1.56391,2.91007
1.57393,0.898364
1.58396,0.276418
1.59398,1.06321
1.60401,1.3119
1.61404,0.866963
1.62406,1.4151
1.63409,2.94284
1.64411,3.29413
1.65414,1.80055
1.66416,0.511349
1.67419,0.821851
1.68421,1.43676
1.69424,1.03127
1.70426,0.598981
1.71429,1.35807
1.72431,2.26256
1.73434,1.73601
1.74436,0.464282
1.75439,0.21369
1.76441,0.874749
1.77444,0.9967
1.78446,0.607167
1.79449,1.06412
1.80451,2.289
1.81454,2.56549
1.82456,1.3901
1.83459,0.314774
1.84461,0.357261
1.85464,0.615883
1.86466,0.311021
1.87469,0.266032
1.88471,1.14438
1.89474,1.88393
1.90476,1.37545
1.91479,0.393412
1.92481,0.276404
1.93484,0.740189
1.94486,0.681659
1.95489,0.325907
1.96491,0.73205
1.97494,1.64408
1.98496,1.7175
1.99499,0.775487
2.00501,0.0699342
2.01504,0.180081
2.02506,0.344101
2.03509,0.189493
2.04511,0.448278
2.05514,1.34324
2.06516,1.80378
2.07519,1.15662
2.08521,0.301379
2.09524,0.231077
2.10526,0.520877
2.11529,0.36727
2.12531,0.111189
2.13534,0.466763
2.14536,1.02269
2.15539,0.876132
2.16541,0.237722
2.17544,0.0530948
2.18546,0.367404
2.19549,0.421453
2.20551,0.192178
2.21554,0.43899
2.22556,1.16704
2.23559,1.40637
2.24561,0.799834
2.25564,0.176038
2.26566,0.138429
2.27569,0.237874
2.28571,0.0689454
2.29574,0.082593
2.30576,0.603005
2.31579,1.00321
2.32581,0.698029
2.33584,0.17276
2.34586,0.147031
2.35589,0.389198
2.36591,0.298799
2.37594,0.093507
2.38596,0.375684
2.39599,0.911997
2.40602,0.922857
2.41604,0.386076
2.42607,0.0224484
2.43609,0.0735599
2.44612,0.105485
2.45614,0.034917
2.46617,0.312298
2.47619,0.907993
2.48622,1.10615
2.49624,0.640474
2.50627,0.158413
2.51629,0.156781
2.52632,0.275413
2.53634,0.124501
2.54637,0.0282093
2.55639,0.333669
2.56642,0.651416
2.57644,0.485941
2.58647,0.0974442
2.59649,0.021465
2.60652,0.168234
2.61654,0.142796
2.62657,0.093313
2.63659,0.428326
2.64662,0.922589
2.65664,0.937538
2.66667,0.448094
2.67669,0.0690406
2.68672,0.0661014
2.69674,0.0988869
2.70677,0.00853206
2.71679,0.0916167
2.72682,0.405318
2.73684,0.520299
2.74687,0.254587
2.75689,0.0215208
2.76692,0.117116
2.77694,0.245629
2.78697,0.13345
2.79699,0.0613357
2.80702,0.320166
2.81704,0.609871
2.82707,0.506481
2.83709,0.161217
2.84712,0.00148477
2.85714,0.0398827
2.86717,0.023723
2.87719,0.019435
2.88722,0.260583
2.89724,0.573733
2.90727,0.550705
2.91729,0.230115
2.92732,0.0486489
2.93734,0.12788
2.94737,0.159115
2.95739,0.0348354
2.96742,0.0358798
2.97744,0.261247
2.98747,0.393493
2.99749,0.236687
3.00752,0.033602
3.01754,0.0153236
3.02757,0.0523152
3.03759,0.0156772
3.04762,0.0879691
3.05764,0.389215
3.06767,0.630692
3.07769,0.508181
3.08772,0.184357
3.09774,0.0201287
3.10777,0.0413025
3.11779,0.0378062
3.12782,0.00780118
3.13784,0.104128
3.14787,0.254873
3.15789,0.235701
3.16792,0.0716945
3.17794,0.00211099
3.18797,0.0660683
3.19799,0.0771589
3.20802,0.0156352
3.21805,0.0842327
3.22807,0.310988
3.2381,0.435603
3.24812,0.305398
3.25815,0.0948628
3.26817,0.0043705
3.2782,0.00315942
3.28822,0.00988275
3.29825,0.0763776
3.30827,0.219118
3.3183,0.284087
3.32832,0.171847
3.33835,0.0257717
3.34837,0.0123311
3.3584,0.0674245
3.36842,0.0489423
3.37845,0.000607667
3.38847,0.0546477
3.3985,0.174753
3.40852,0.207718
3.41855,0.129096
3.42857,0.0478581
3.4386,0.014306
3.44862,0.000893352
3.45865,0.0322722
3.46867,0.15211
3.4787,0.279142
3.48872,0.27075
3.49875,0.133613
3.50877,0.0189445
3.5188,0.00387423
3.52882,0.0233913
3.53885,0.025936
3.54887,0.0455988
3.5589,0.0925543
3.56892,0.109806
3.57895,0.0789137
3.58897,0.0524637
3.599,0.0492298
3.60902,0.0302524
3.61905,0.00805549
3.62907,0.0587036
3.6391,0.18153
3.64912,0.26036
3.65915,0.218524
3.66917,0.114997
3.6792,0.0389709
3.68922,0.00641168
3.69925,0.00869211
3.70927,0.0597287
3.7193,0.133007
3.72932,0.147235
3.73935,0.0824315
3.74937,0.0252183
3.7594,0.0354671
3.76942,0.0569075
3.77945,0.0300219
3.78947,0.00224016
3.7995,0.039971
3.80952,0.109836
3.81955,0.13818
3.82957,0.122425
3.8396,0.0980563
3.84962,0.0622702
3.85965,0.018867
3.86967,0.0292157
3.8797,0.118124
3.88972,0.191361
3.89975,0.153769
3.90977,0.0550503
3.9198,0.00890298
3.92982,0.0212209
3.93985,0.0189054
3.94987,0.000906213
3.9599,0.0247817
3.96992,0.0738331
3.97995,0.0775062
3.98997,0.0481131
4,0.0589346
