# 20250617_160729
# primespec:	data/examplescenario/primaryspec/spec_20250617_160312_083/spectr.txt
# qmax:	4
# ma:	0.76
# mb:	0.14
# mc:	0.14
# [=>] pabc:	0.35327
# [=>] Eabc:	0.38
# B:	1
# Q:	1
# epsrel:	1e-05
# epsabs:	0
# iter:	100000
pT,decayspec
0,1339.16
0.0204082,1340.62
0.0408163,1350.9
0.0612245,1367.66
0.0816327,1390.62
0.102041,1419.54
0.122449,1454.3
0.142857,1492.66
0.163265,1535.43
0.183673,1579.03
0.204082,1629.97
0.22449,1681.29
0.244898,1734.47
0.265306,1789.82
0.285714,1856.93
0.306122,1952.89
0.326531,1947.4
0.346939,1709.63
0.367347,1309.1
0.387755,899.027
0.408163,613.986
0.428571,454.164
0.44898,354.486
0.469388,284.753
0.489796,231.704
0.510204,188.274
0.530612,155.819
0.55102,128.711
0.571429,107.828
0.591837,90.7841
0.612245,77.5161
0.632653,66.1063
0.653061,56.8243
0.673469,49.0502
0.693878,42.4386
0.714286,36.7926
0.734694,31.8469
0.755102,27.9103
0.77551,24.3055
0.795918,21.6183
0.816327,18.9314
0.836735,16.9226
0.857143,14.9728
0.877551,13.3165
0.897959,11.7969
0.918367,10.5438
0.938776,9.4624
0.959184,8.53636
0.979592,7.73313
1,6.95459
