# 20250803_185545
qT,primespec
0,13280
0.004004,13248.7
0.00800801,13214.7
0.012012,13157.6
0.016016,13055.8
0.02002,12929.7
0.024024,12780.6
0.028028,12601.7
0.032032,12404.3
0.036036,12179.9
0.04004,11935.5
0.044044,11671.3
0.048048,11385.9
0.0520521,11085.3
0.0560561,10766
0.0600601,10432.4
0.0640641,10085.4
0.0680681,9725.07
0.0720721,9355.74
0.0760761,8975.93
0.0800801,8590
0.0840841,8199.05
0.0880881,7804.44
0.0920921,7410.98
0.0960961,7017.72
0.1001,6630.12
0.104104,6249.47
0.108108,5877.5
0.112112,5519.7
0.116116,5174.23
0.12012,4846.69
0.124124,4537.57
0.128128,4247
0.132132,3979.5
0.136136,3731.36
0.14014,3505.54
0.144144,3301.34
0.148148,3116.1
0.152152,2951.05
0.156156,2802.82
0.16016,2669.78
0.164164,2550.78
0.168168,2443.11
0.172172,2344.18
0.176176,2253.59
0.18018,2168.49
0.184184,2087.53
0.188188,2010.61
0.192192,1936.04
0.196196,1863.82
0.2002,1794.34
0.204204,1727.22
0.208208,1662.94
0.212212,1602.95
0.216216,1546.3
0.22022,1494.63
0.224224,1448.21
0.228228,1406.25
0.232232,1369.89
0.236236,1338.03
0.24024,1309.83
0.244244,1285.21
0.248248,1263.05
0.252252,1241.36
0.256256,1220.68
0.26026,1199.33
0.264264,1176.14
0.268268,1151.47
0.272272,1124.8
0.276276,1095.61
0.28028,1065.1
0.284284,1033.43
0.288288,1000.94
0.292292,969.687
0.296296,939.027
0.3003,910.769
0.304304,885.584
0.308308,862.893
0.312312,844.115
0.316316,828.278
0.32032,814.834
0.324324,803.814
0.328328,794.273
0.332332,784.556
0.336336,775.029
0.34034,764.671
0.344344,752.363
0.348348,738.321
0.352352,722.771
0.356356,705.022
0.36036,686.376
0.364364,667.329
0.368368,648
0.372372,630.32
0.376376,613.65
0.38038,599.25
0.384384,587.675
0.388388,577.942
0.392392,570.723
0.396396,565.425
0.4004,560.801
0.404404,556.445
0.408408,552.311
0.412412,547.03
0.416416,540.054
0.42042,531.679
0.424424,521.51
0.428428,509.386
0.432432,496.735
0.436436,483.037
0.44044,469.694
0.444444,457.466
0.448448,446.133
0.452452,437.339
0.456456,430.145
0.46046,424.816
0.464464,421.663
0.468468,419.397
0.472472,417.19
0.476476,415.236
0.48048,412.898
0.484484,409.073
0.488488,403.528
0.492492,396.891
0.496496,388.26
0.500501,378.671
0.504505,368.788
0.508509,358.515
0.512513,349.524
0.516517,341.272
0.520521,334.696
