PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.017,1090.8124563193971
0.067,1007.6113402776205
0.117,869.5156839998488
0.167,723.6087773490142
0.217,592.6197141470076
0.267,482.8747585742999
0.317,393.4634471988612
0.367,321.42725618120664
0.417,263.52518445515534
0.467,216.89405426934857
0.517,179.1847544955944
0.5670000000000001,148.55333020233712
0.6170000000000001,123.55166859646867
0.667,103.05164631063448
0.7170000000000001,86.17220729353171
0.767,72.22037833116227
0.8170000000000001,60.64917616092434
0.8670000000000001,51.02340710545583
0.917,42.99437938868319
0.967,36.28138529965124
1.017,30.65707081059155
1.067,25.932967405019117
1.117,21.95987391523241
1.167,18.615066978562567
1.217,15.79291969510558
1.267,13.40853947594662
1.317,11.3952946483162
1.367,9.687449748084074
1.417,8.24387032128859
1.467,7.017120828695855
1.517,5.978942441045636
1.567,5.094166270133208
1.617,4.345633227681112
1.667,3.705558779218207
1.717,3.163085120066724
1.767,2.700995890024834
1.817,2.30603881860354
1.867,1.9716858254858685
1.917,1.684761528541908
1.967,1.43979849820855
2.017,1.2325136216243235
2.067,1.0544364145161207
2.117,0.901370746722443
2.167,0.7718426491976722
2.217,0.6624440982458225
2.267,0.5660516309027285
2.317,0.4842348586303617
2.367,0.4151676744891439
2.4170000000000003,0.3570109030047895
2.467,0.3052413796903296
2.517,0.2609256308341985
2.567,0.2235348818633293
2.617,0.1921622023451701
2.6670000000000003,0.1657673188293532
2.717,0.1413889988134709
2.767,0.1206906667565803
2.817,0.1032728751698258
2.867,0.0887361765643524
2.9170000000000003,0.0766811234513044
2.967,0.066165207559491
