# 20250602_134204
# initdata:	data/examplescenario/initdata.csv
# freezeout file: 	data/examplescenario/freezeout.csv
# particle mass:	1.82886
# NpT:	300
# pTmax:	3
# epsabs:	0
# epsrel:	1e-05
# integr iter:	1000
pT,spec
0,12682.1
0.0100334,12590.2
0.0200669,12321.4
0.0301003,11895.4
0.0401338,11340.9
0.0501672,10690.8
0.0602007,9976.57
0.0702341,9225.29
0.0802676,8457.35
0.090301,7687.24
0.100334,6925.77
0.110368,6183.03
0.120401,5470.85
0.130435,4803.66
0.140468,4197.34
0.150502,3666.3
0.160535,3219.8
0.170569,2858.98
0.180602,2575.69
0.190635,2354.18
0.200669,2174.94
0.210702,2019.9
0.220736,1876.84
0.230769,1741.48
0.240803,1616.5
0.250836,1507.86
0.26087,1420.12
0.270903,1352.84
0.280936,1299.83
0.29097,1251.43
0.301003,1198.77
0.311037,1137.84
0.32107,1071.09
0.331104,1005.9
0.341137,950.396
0.351171,908.979
0.361204,879.93
0.371237,856.362
0.381271,830.079
0.391304,796.125
0.401338,755.434
0.411371,714.025
0.421405,679.202
0.431438,655.047
0.441472,639.909
0.451505,627.464
0.461538,610.697
0.471572,586.274
0.481605,556.56
0.491639,527.943
0.501672,506.551
0.511706,494.165
0.521739,487.076
0.531773,478.633
0.541806,463.785
0.551839,442.482
0.561873,419.584
0.571906,401.333
0.58194,390.885
0.591973,386.087
0.602007,381.107
0.61204,370.732
0.622074,354.176
0.632107,335.572
0.64214,320.78
0.652174,312.931
0.662207,310.076
0.672241,306.769
0.682274,298.323
0.692308,284.437
0.702341,269.342
0.712375,258.347
0.722408,253.57
0.732441,252.287
0.742475,249.222
0.752508,240.899
0.762542,228.46
0.772575,216.635
0.782609,209.72
0.792642,207.974
0.802676,207.482
0.812709,203.571
0.822742,194.836
0.832776,184.298
0.842809,176.683
0.852843,174.258
0.862876,174.867
0.87291,173.92
0.882943,168.529
0.892977,160.054
0.90301,152.791
0.913043,150
0.923077,150.93
0.93311,151.556
0.943144,148.332
0.953177,141.456
0.963211,134.599
0.973244,131.378
0.983278,131.928
0.993311,132.823
1.00334,130.382
1.01338,124.181
1.02341,117.395
1.03344,113.655
1.04348,113.528
1.05351,114.03
1.06355,111.64
1.07358,105.786
1.08361,99.3646
1.09365,95.809
1.10368,95.6721
1.11371,96.1631
1.12375,94.0576
1.13378,88.9848
1.14381,83.7569
1.15385,81.4316
1.16388,82.1663
1.17391,83.1172
1.18395,81.4396
1.19398,77.236
1.20401,73.363
1.21405,72.365
1.22408,73.7733
1.23411,74.6334
1.24415,72.6544
1.25418,68.6128
1.26421,65.4429
1.27425,65.0339
1.28428,66.2187
1.29431,66.0917
1.30435,63.1808
1.31438,59.0247
1.32441,56.4435
1.33445,56.4532
1.34448,57.2165
1.35452,56.156
1.36455,52.8417
1.37458,49.4269
1.38462,48.22
1.39465,49.1134
1.40468,49.7685
1.41472,48.2899
1.42475,45.3477
1.43478,43.3511
1.44482,43.6554
1.45485,45.0245
1.46488,45.0626
1.47492,42.9511
1.48495,40.332
1.49498,39.353
1.50502,40.1765
1.51505,40.8219
1.52508,39.5103
1.53512,36.7264
1.54515,34.6162
1.55518,34.4722
1.56522,35.2664
1.57525,34.9373
1.58528,32.8604
1.59532,30.5679
1.60535,29.8986
1.61538,30.8147
1.62542,31.4854
1.63545,30.5018
1.64548,28.5308
1.65552,27.4567
1.66555,28.0661
1.67559,29.0976
1.68562,28.7803
1.69565,26.9619
1.70569,25.2483
1.71572,25.02
1.72575,25.7696
1.73579,25.7763
1.74582,24.2487
1.75585,22.2915
1.76589,21.5325
1.77592,22.1353
1.78595,22.6529
1.79599,21.8621
1.80602,20.2754
1.81605,19.4623
1.82609,20.063
1.83612,20.9889
1.84615,20.789
1.85619,19.4415
1.86622,18.333
1.87625,18.4748
1.88629,19.2346
1.89632,19.1603
1.90635,17.8267
1.91639,16.3603
1.92642,16.0039
1.93645,16.5715
1.94649,16.7412
1.95652,15.7857
1.96656,14.4959
1.97659,14.1477
1.98662,14.8591
1.99666,15.4521
2.00669,14.9732
2.01672,13.8904
2.02676,13.4412
2.03679,14.0025
2.04682,14.601
2.05686,14.1801
2.06689,12.9591
2.07692,12.128
2.08696,12.3026
2.09699,12.7628
2.10702,12.4418
2.11706,11.3439
2.12709,10.533
2.13712,10.733
2.14716,11.3944
2.15719,11.4387
2.16722,10.6744
2.17726,10.0152
2.18729,10.2342
2.19732,10.925
2.20736,11.0359
2.21739,10.2535
2.22742,9.39346
2.23746,9.30422
2.24749,9.75721
2.25753,9.79042
2.26756,9.01893
2.27759,8.15232
2.28763,8.0442
2.29766,8.56543
2.30769,8.80455
2.31773,8.3018
2.32776,7.64669
2.33779,7.65203
2.34783,8.23758
2.35786,8.53488
2.36789,8.04645
2.37793,7.29916
2.38796,7.11081
2.39799,7.4924
2.40803,7.65887
2.41806,7.12256
2.42809,6.36087
2.43813,6.16607
