# 20250803_184831
# initdata:	data/examplescenario/initdata.csv
# freezeout file: 	data/examplescenario/freezeout.csv
# particle mass:	1.67429
# NpT:	400
# pTmax:	4
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,spec
0,12399.8
0.0100251,12337.2
0.0200501,12148.6
0.0300752,11832.3
0.0401003,11387.8
0.0501253,10819
0.0601504,10136.9
0.0701754,9361.79
0.0802005,8523.47
0.0902256,7658.76
0.100251,6807.15
0.110276,6004.93
0.120301,5279.41
0.130326,4645.1
0.140351,4102.82
0.150376,3642.37
0.160401,3247.7
0.170426,2903.08
0.180451,2597.92
0.190476,2328.77
0.200501,2097.79
0.210526,1908.67
0.220551,1762
0.230576,1652.18
0.240602,1567.55
0.250627,1493.64
0.260652,1418.14
0.270677,1335.25
0.280702,1247.14
0.290727,1161.81
0.300752,1088.32
0.310777,1031.69
0.320802,990.17
0.330827,956.232
0.340852,920.694
0.350877,877.743
0.360902,827.973
0.370927,777.709
0.380952,735.01
0.390977,704.664
0.401003,685.228
0.411028,669.891
0.421053,650.656
0.431078,623.263
0.441103,589.711
0.451128,556.78
0.461153,531.456
0.471178,516.278
0.481203,507.683
0.491228,498.473
0.501253,482.751
0.511278,459.913
0.521303,434.924
0.531328,414.673
0.541353,402.991
0.551378,397.907
0.561404,393.152
0.571429,382.809
0.581454,365.673
0.591479,346.045
0.601504,330.375
0.611529,322.289
0.621554,319.831
0.631579,317.065
0.641604,308.777
0.651629,294.561
0.661654,279.039
0.671679,268.043
0.681704,263.845
0.691729,263.348
0.701754,260.694
0.711779,252.152
0.721805,239.168
0.73183,227.04
0.741855,220.346
0.75188,219.036
0.761905,218.554
0.77193,213.851
0.781955,203.785
0.79198,192.045
0.802005,183.795
0.81203,181.057
0.822055,180.979
0.83208,178.501
0.842105,171.001
0.85213,160.632
0.862155,152.258
0.87218,148.911
0.882206,149.032
0.892231,148.037
0.902256,142.707
0.912281,134.209
0.922306,126.895
0.932331,124.069
0.942356,124.825
0.952381,125.016
0.962406,121.349
0.972431,114.584
0.982456,108.682
0.992481,106.808
1.00251,108.178
1.01253,108.9
1.02256,105.915
1.03258,100.04
1.04261,95.0415
1.05263,93.726
1.06266,95.0762
1.07268,95.3608
1.08271,92.0175
1.09273,86.2704
1.10276,81.7765
1.11278,80.7638
1.12281,81.7472
1.13283,81.1904
1.14286,77.3035
1.15288,71.9131
1.16291,68.4501
1.17293,68.2695
1.18296,69.2645
1.19298,68.2439
1.20301,64.4233
1.21303,60.2281
1.22306,58.5641
1.23308,59.6232
1.24311,60.7175
1.25313,59.2957
1.26316,55.7431
1.27318,52.8629
1.28321,52.6745
1.29323,54.1407
1.30326,54.3822
1.31328,51.9294
1.32331,48.3368
1.33333,46.3504
1.34336,46.7717
1.35338,47.6019
1.36341,46.4106
1.37343,43.1501
1.38346,40.1682
1.39348,39.4705
1.40351,40.4359
1.41353,40.6256
1.42356,38.6813
1.43358,35.8868
1.44361,34.6023
1.45363,35.4484
1.46366,36.5997
1.47368,35.9721
1.48371,33.6689
1.49373,31.7828
1.50376,31.8392
1.51378,32.9717
1.52381,32.9986
1.53383,31.0585
1.54386,28.6146
1.55388,27.6529
1.56391,28.2978
1.57393,28.7355
1.58396,27.4872
1.59398,25.2185
1.60401,23.8933
1.61404,24.3543
1.62406,25.3236
1.63409,25.0182
1.64411,23.3448
1.65414,21.956
1.66416,22.1446
1.67419,23.2243
1.68421,23.398
1.69424,21.9938
1.70426,20.263
1.71429,19.7718
1.72431,20.4508
1.73434,20.7336
1.74436,19.5781
1.75439,17.7832
1.76441,16.9614
1.77444,17.5055
1.78446,18.1407
1.79449,17.59
1.80451,16.196
1.81454,15.438
1.82456,16.0004
1.83459,16.8901
1.84461,16.7188
1.85464,15.4583
1.86466,14.4338
1.87469,14.5822
1.88471,15.2521
1.89474,15.0905
1.90476,13.8135
1.91479,12.5662
1.92481,12.4307
1.93484,13.0552
1.94486,13.1632
1.95489,12.259
1.96491,11.2566
1.97494,11.2489
1.98496,12.0551
1.99499,12.4661
2.00501,11.8211
2.01504,10.8455
2.02506,10.6462
2.03509,11.2339
2.04511,11.5262
2.05514,10.8026
2.06516,9.65226
2.07519,9.18839
2.08521,9.58556
2.09524,9.89946
2.10526,9.37081
2.11529,8.44626
2.12531,8.15872
2.13534,8.72855
2.14536,9.2708
2.15539,8.9851
2.16541,8.20291
2.17544,7.90054
2.18546,8.35632
2.19549,8.77871
2.20551,8.38354
2.21554,7.45588
2.22556,6.95015
2.23559,7.21288
2.24561,7.55273
2.25564,7.22303
2.26566,6.45037
2.27569,6.11275
2.28571,6.53081
2.29574,7.03436
2.30576,6.8798
2.31579,6.24856
2.32581,5.96156
2.33584,6.32929
2.34586,6.72406
2.35589,6.45047
2.36591,5.69794
2.37594,5.27301
2.38596,5.49915
2.39599,5.80613
2.40602,5.55373
2.41604,4.9286
2.42607,4.67494
2.43609,5.05411
2.44612,5.4835
2.45614,5.34412
2.46617,4.82054
2.47619,4.61318
2.48622,4.9442
2.49624,5.24856
2.50627,4.9687
2.51629,4.32988
2.52632,4.0234
2.53634,4.25418
2.54637,4.4886
2.55639,4.23256
2.56642,3.73193
2.57644,3.6167
2.58647,4.00693
2.59649,4.34181
2.60652,4.16149
2.61654,3.73243
2.62657,3.64555
2.63659,3.96986
2.64662,4.1585
2.65664,3.82611
2.66667,3.29206
2.67669,3.13074
2.68672,3.37836
2.69674,3.51425
2.70677,3.22311
2.71679,2.84387
2.72682,2.87656
2.73684,3.26298
2.74687,3.46432
2.75689,3.21692
2.76692,2.88549
2.77694,2.92324
2.78697,3.22062
2.79699,3.26779
2.80702,2.88803
2.81704,2.49028
2.82707,2.49202
2.83709,2.74356
2.84712,2.76946
2.85714,2.46288
2.86717,2.23285
2.87719,2.40427
2.88722,2.74255
2.89724,2.78261
2.90727,2.48239
2.91729,2.26409
2.92732,2.39568
2.93734,2.61124
2.94737,2.50329
2.95739,2.11868
2.96742,1.89306
2.97744,2.03305
2.98747,2.23873
2.99749,2.15461
3.00752,1.88554
3.01754,1.83272
3.02757,2.0984
3.03759,2.32737
3.04762,2.20965
3.05764,1.91462
3.06767,1.83258
3.07769,2.01042
3.08772,2.09652
3.09774,1.86493
3.10777,1.54993
3.11779,1.51047
3.12782,1.72021
3.13784,1.82216
3.14787,1.6554
3.15789,1.48155
3.16792,1.58729
3.17794,1.85242
3.18797,1.91471
3.19799,1.68696
3.20802,1.47343
3.21805,1.52341
3.22807,1.67848
3.2381,1.62085
3.24812,1.35002
3.25815,1.18711
3.26817,1.31008
3.2782,1.5022
3.28822,1.47588
3.29825,1.29004
3.30827,1.24878
3.3183,1.4411
3.32832,1.60058
3.33835,1.48951
3.34837,1.24039
3.3584,1.15853
3.36842,1.28228
3.37845,1.34468
3.38847,1.18235
3.3985,0.982132
3.40852,1.00615
3.41855,1.20651
3.42857,1.29736
3.4386,1.17196
3.44862,1.04799
3.45865,1.13279
3.46867,1.309
3.4787,1.30387
3.48872,1.08896
3.49875,0.920655
3.50877,0.968321
3.5188,1.08061
3.52882,1.02727
3.53885,0.84879
3.54887,0.795126
3.5589,0.950883
3.56892,1.10601
3.57895,1.06142
3.58897,0.913496
3.599,0.89931
3.60902,1.03818
3.61905,1.10278
3.62907,0.958174
3.6391,0.763445
3.64912,0.74053
3.65915,0.856807
3.66917,0.88935
3.6792,0.765809
3.68922,0.67074
3.69925,0.763635
3.70927,0.933274
3.7193,0.955967
3.72932,0.818951
3.73935,0.729938
3.74937,0.803706
3.7594,0.894947
3.76942,0.821998
3.77945,0.642666
3.78947,0.571894
3.7995,0.668164
3.80952,0.75694
3.81955,0.698715
3.82957,0.595902
3.8396,0.631027
3.84962,0.783615
3.85965,0.851902
3.86967,0.746153
3.8797,0.615845
3.88972,0.624669
3.89975,0.712523
3.90977,0.696675
3.9198,0.553853
3.92982,0.458895
3.93985,0.52561
3.94987,0.640974
3.9599,0.637964
3.96992,0.543347
3.97995,0.528816
3.98997,0.643525
4,0.732823
